comment_text,comment_speed,comment_service,comment_taste,comment_time
Gecenin saatinde on numara beşyıldız gidiyor midyelerde çok tazeydi hersy için çok teşekkürler.,10.0,10.0,10.0,1606348447
Trşekkürler.,10.0,10.0,10.0,1606348447
Yaşamkentte güzel koko yok.,10.0,10.0,5.0,1606348447
Şahaneydi.,10.0,10.0,10.0,1606262047
Ustamızın ellerine sağlık mükemmel lezzet ve bunun yanında ince düşünceleri gerçekten çok iyi bu restoranın müptelası oldum. Genelde gece sipariş veriyorum ve her seferinde beni şaşırtan bir testoran.,9.0,10.0,10.0,1606175647
Favori mekanım 10/10.,10.0,10.0,10.0,1606175647
Son zamanlarda yediğim en güzel kokoreç diyebilirim özellikle iri kıyım harika.,10.0,10.0,10.0,1605830047
Ustaya teşekkür ederiz. Notları dikkate almıslar ve güzeldi.,10.0,10.0,10.0,1605830047
En sevdiğim restoran.,10.0,10.0,10.0,1605657247
Civardaki en iyi kokorecci hakkini veriyor.,10.0,10.0,10.0,1605570847
Perfect 10-10-10.,10.0,10.0,10.0,1605570847
10 numara ama 5 yıldız veremedim.,10.0,10.0,10.0,1605484447
Muhteşem. Pişman olmayacaksınız.,10.0,10.0,10.0,1605398047
İri kiyim acili n1.,10.0,10.0,10.0,1605398047
"Süperdi, teşekkür ederim.",10.0,10.0,10.0,1605311647
"Sipariş notuna özellikle zile basmayın yazmama rağmen zile basıldı, 6 tane ünlem koymuşum daha ne yapayım ben bilmiyorum, gece saat 3te özellikle yazmışım belirtmişim zile basılmasın diye. Lezzeti de hiç iyi değildi, soğuk geldi. Elemanın arkasından yetişebilsem geri gönderirdim.",1.0,1.0,1.0,1605225247
Gecelerin kurtaricisi.,10.0,10.0,10.0,1605225247
Midyeler kötüydü. Kokoreçi beğendim.,8.0,8.0,7.0,1605138847
"Gecenin 5inde hizli bi sekilde geldi. Cayyolunda yedigim en iyi kokorecti, iri kiyim tavsiye ederim.",10.0,10.0,10.0,1605138847
Kokoreçin tadını hiç beğenmedim ama köftesi güzeldi.,8.0,10.0,5.0,1605052447
