comment_text,comment_speed,comment_service,comment_taste,comment_time
Her zamanki gibi en sevdiğim yer burası.,10.0,10.0,10.0,1606528730
Ezogelin çorbası domates çorbası gibiydi. Alternatif dükkanlar daha düşük fiyata mezeler ile birlikte çorba getirirken. Bu fiyata ezogelin çorbası içmek bilemedim.,7.0,8.0,4.0,1606442330
10/10 corbalar harika.,10.0,10.0,10.0,1606442330
Corbanız cok güzel gerdekten.,10.0,10.0,10.0,1606355930
Malesef çorbaniz güzel değil biraz daha özen gösterirseniz iyi olur.,10.0,10.0,1.0,1606269530
İyiydi.,10.0,10.0,10.0,1606269530
Geçen gün başka bir yerden çorba söylemiştim ve bu sayede sizin çorbanızın değerini daha iyi anladım :d.,10.0,10.0,10.0,1606183130
Çok güzeldi ama çok azdı normal bir porsiyon değildi.,8.0,8.0,8.0,1606183130
Güzel.,10.0,10.0,10.0,1606183130
Rezilgillerden.,1.0,1.0,1.0,1606096730
Yazılan notlara dikkat etmiyorlar.,1.0,1.0,4.0,1606096730
"Hızlı, lezzetli ellerinize sağlık yapıyorsunuz bu sporu :-).",10.0,10.0,10.0,1606096730
İlk defa beğenmedim.,8.0,1.0,1.0,1606096730
Kepezin en iyisi herşeyde.,10.0,10.0,10.0,1606010330
Hayatımda bu kadar kötü bir mercimek çorbası içmedim.,9.0,9.0,1.0,1606010330
Cok güzldi corbanız tavukta ezoda pacada denedım cok beyendım.,10.0,10.0,10.0,1606010330
Sabah sabah çok güzel bir tavuk çorbası içtik. Ellerinize sağlık.,10.0,10.0,10.0,1606010330
Tavuk corbasi inanilmaz lezzetli.,10.0,10.0,10.0,1606010330
Acil diye yazmıştım notu dikkate aldılar ve 10 dk içerisinde siparişim geldi servis lezzet hız süper süper keşke 20 puan olsada verebilsem.,10.0,10.0,10.0,1605923930
Tavuklu çorba müthiş ayrıca çok hizli geldi teşekkürler.,10.0,10.0,10.0,1605923930
Lezzetli.,8.0,8.0,8.0,1605837530
Gönderi notunda yeşillik bol olsun lütfen demiştim bi sürü ekmek gelmiş yesillik az kafama takılan şey ise ancak çorba isteyen kişiye neden kaşık koymak gereği duymuyorsunuz hepimiz kafaya diktik.,8.0,4.0,8.0,1605751130
Güzeldi ama bir tabak çorba için 14 lira çok değil mi sizce de be? :).,9.0,9.0,9.0,1605751130
İyiydi.,10.0,10.0,10.0,1605664730
Notları dikkate alıyorlar hızlı ve temiz.,10.0,10.0,10.0,1605664730
Marketten alın sıcak suda pişiriniz daha güzel ezogelin çorbası için söylüyorum diğerlerini bilmiyorum.,3.0,1.0,1.0,1605578330
Yavaş olması dışında gayet güzeldi.,1.0,10.0,10.0,1605578330
Sirke ve sarımsak sosu ikramı olmalı.,7.0,3.0,6.0,1605491930
Güzeldi.,9.0,9.0,9.0,1605405530
Tadı pek güzel değildi.,10.0,10.0,6.0,1605405530
Gayet güzeldi. Elinize sağlık.,10.0,10.0,10.0,1605319130
Elinize sağlık lezzetliydi.,10.0,10.0,10.0,1605232730
Bulguru çok çok iyiydi.,10.0,10.0,10.0,1604973530
Güzel lezzetli ama fiyatı biraz pahalı.,10.0,10.0,10.0,1604973530
Müko çorba.,10.0,10.0,10.0,1604973530
Lezzetli.,7.0,8.0,9.0,1604887130
Kelle paçanin lezzeti çok çok iyidi. Tek sıkıntı sarımsak gondermemisler.,9.0,10.0,10.0,1604887130
Hızı bi tık arttırmaları lazım.,1.0,1.0,8.0,1604800730
Güzeldi.,9.0,9.0,9.0,1604800730
Gercekte cok güzel.,10.0,10.0,10.0,1604800730
Gerçekten güzeldi emeğinize sağlık.,8.0,9.0,10.0,1604800730
"İyiki ilk defa 1 dürüm söyleyelim dedik, hem 200 metre mesafeye 55 dakika sonra geldi hemde soğuk ve bayat geldi yazıklar olsun ya.",1.0,1.0,1.0,1604714330
Lezzet hız harika.,10.0,10.0,10.0,1604714330
En lezzetli çorbanız ezogelin. Mercimek ise çok kötü tarif değiştirmenizi öneririm.,10.0,10.0,10.0,1604714330
Guzeldi.,10.0,10.0,10.0,1604627930
Ellerinize sağlık boğazım acıyordu kendime geldim sıcacıktı.,10.0,10.0,10.0,1604541530
Süper.,10.0,10.0,10.0,1604541530
Tarhana çorbası şifa şifa. Ellerinize sağlık. Kurye beyde çok hızlıydı.,10.0,10.0,10.0,1604541530
Başka çorba söyledim başka geldi ama gelen çorbada garikaydı naapsam bilemedim.,9.0,9.0,10.0,1604455130
Harikaydı.,10.0,10.0,10.0,1604455130
Tavuk çorbası efsane.,10.0,10.0,10.0,1604368730
Öptüm.,10.0,10.0,8.0,1604368730
İnsan 22 tlye çorba içince en azından yanında şöyle düzgün bir söğüş bekliyor domatesli falan. Şu getirdiğiniz maydanoz yığınını koyuna versem dönüp bakmaz ayıptır ya.,9.0,1.0,9.0,1604368730
Herzamanki gibi iyi ve hızlı.,10.0,10.0,10.0,1604368730
Çok kötüydü birdaha aslaaaaa.,1.0,1.0,1.0,1604368730
Normal.,5.0,5.0,5.0,1604282330
Israrla soğansız istedim bol soğanlı gelmiş dürümü yiyemedim notumu dikkate almamışlar.,8.0,4.0,1.0,1604195930
Herşey çok iyiydi. Seviyoruz sizi.,8.0,8.0,9.0,1604195931
Çorba biraz ılıktı onun dışında her şey çok iyiydi.,10.0,8.0,10.0,1604195931
Kötü.,1.0,1.0,1.0,1604195931
Çok lezzetliydi bayıldım ellerinize sağlık kültür de çorba içilecek en güzel yer diyebilirim. Sadece yeşilliğe domates ekleseniz tadından yenmezdi teşekkürler.,10.0,10.0,10.0,1604109531
Ellerinize saglık edows tosttan selamlar.,10.0,10.0,10.0,1604109531
Corba cok güzel elinze sağlık.,10.0,10.0,10.0,1604109531
Herşeyiyle muhteşemmm...,10.0,10.0,10.0,1603985385
Hep 10 numara.,10.0,10.0,10.0,1603985385
Boğazım şişti sağolun şifa buldum.,10.0,10.0,10.0,1603985385
Çorbacı gibi çorbacı.,10.0,10.0,10.0,1603985385
Kelle pça miss.,10.0,10.0,10.0,1603985385
Kuryeniz çok iyi bi insan 100 olsa 100 veririm :).,10.0,10.0,10.0,1603985385
Hız konusunda iyi ama biraz daha lezzetli olabilir.,10.0,8.0,8.0,1603985385
Hızlı geliyo olması güzel.,10.0,8.0,8.0,1603985385
Kelle paça çorbacı o kadar güzel ki ve içindeki etler dolu dolu. Keşke porsiyon biraz daha büyük olsaydı.,8.0,8.0,10.0,1603985385
Tarhana güzeldi ama sıcak gelmiyor.,10.0,10.0,10.0,1603985385
Başarılı.,10.0,10.0,10.0,1603985385
Corbanız cok lezetli elinıze sağlık.,10.0,10.0,10.0,1603985385
Harikasınız.,10.0,10.0,10.0,1603985385
Hakettiniz bu pıanları.,1.0,1.0,1.0,1603985385
Mercimekçorbası söyledim usta ezogelin yapmaktan vazgeçip mercimeği çevirmiş son anda çorbayı... Bir poşet bayat ekmek geldi.,5.0,1.0,1.0,1603985385
Sıcak ve güzel çorba.,10.0,10.0,10.0,1603985385
Nota dikkat ediyorlar ellerinize sağlık.,10.0,10.0,10.0,1603985385
Herzamanki gibi mükemmel ellerinize sağlık.,10.0,10.0,10.0,1603985385
Çok aşırı tuzlu geldi bana keske tuzunu biraz daha az atsanız.,9.0,8.0,5.0,1603985385
Fena değil.,8.0,8.0,8.0,1603985385
Güzeldi.,10.0,10.0,10.0,1603985385
Harikaa.,10.0,10.0,10.0,1603985385
Tavuk çorbasını en beğendiğim yer porsiyon biraz daha fazla olsa ya da yanında aperatif bazı yiyecekler gönderilse çok güzel bir öğün olabilir.,9.0,9.0,10.0,1603985385
Mükemelsiniz. Elinize sağlık tek geçiyorum sizi...,10.0,10.0,10.0,1603985385
Çorba çok güzeldi fakat tavuk sis lezzeti kötüydü.,10.0,2.0,1.0,1603985385
Corbası cok güzel.,10.0,10.0,10.0,1603985385
Yine aynı şey oldu. Dil çorbası istedim ama başka bir şey geldi.. Az para da vermiyoruz.,10.0,5.0,5.0,1603985385
Seviyorz bu tadı.,10.0,10.0,10.0,1603985385
Dil istedim ama dil gelmedi.,10.0,5.0,5.0,1603985385
Mercimek corbası harika.,10.0,10.0,10.0,1603985385
Çok lezzetli ve bol taneliydi kelle paça teşekkürler.,10.0,10.0,10.0,1603985385
Başarılı.,8.0,8.0,10.0,1603985385
Güzel corbalar.,10.0,10.0,10.0,1603985385
Arkadaşlar zile basmayın filan yazmayın çünkü basıyolar hatta herhangi bir not yazmayın çünkü okumuyolar.,5.0,1.0,6.0,1603985385
"Soda 2 söylemiştim 1 geldi önemşi değil, sadece az daha dikkat... Ellerinize sağlık çorbalar müthiş.",10.0,10.0,10.0,1603985385
Elinize sağlık.,10.0,10.0,10.0,1603985385
"Buradan sadece ezogelin söylüyorum ve istemeyeceğiniz kadar ekmek getiriyorlar, elinize sağlık.",10.0,10.0,10.0,1603985385
Güzel.,10.0,10.0,10.0,1603985385
On numara.,10.0,10.0,10.0,1603985385
Çok çok iyi.,10.0,10.0,10.0,1603985385
Yorum okunsa keske.,1.0,1.0,1.0,1603985385
Herzamanki gibi güzeldi.,10.0,10.0,10.0,1603985385
Teşekkürler.,8.0,8.0,8.0,1601355639
Teşekkürler.,8.0,8.0,8.0,1601355639
Çorbayı getiren arkadaş çok kibardı.,10.0,10.0,10.0,1601355639
Yeşillik çürüktü ama baya ekmek geldi. Güzel.,8.0,3.0,9.0,1601355639
Cok güzel elinize sağlık.,10.0,10.0,10.0,1601355639
Teşekkürler.,9.0,9.0,9.0,1601355639
Eski lezzet yok artık.,10.0,10.0,7.0,1601355639
İyiydi.,8.0,9.0,9.0,1601355639
Elinize sağlık.,8.0,9.0,10.0,1601355639
Teşekkürler.,8.0,8.0,8.0,1601355639
İlk hata yanlışlıktır 2. Ci hata dalginliktir 3 su dikkate almamaktadır az kalsın dışımı kırıyordu künefenin içindeki ceviz kabuğu ve bu ilk değil! Ve aradığımda kaba ca tabirler.,10.0,5.0,1.0,1601355639
Ezogelin diye bol baharatlisindan salca corbasi geldi. Ezogelin daneli olur. Ekmeklerde bayat geldi.,1.0,1.0,1.0,1601355639
Herşey çok iyiydi.,10.0,9.0,10.0,1601355640
Çok güzeldi mercimek çorbasına bayıldım sadece iki yerine bir kaşık koymuşlardı :(.,9.0,9.0,9.0,1601355640
"Bulyon tadı baskın içimi hoş değil, bir çorbacı özellikle mercimekte iddalı olmalı! Geliştirilmeli.",7.0,8.0,5.0,1601355640
O kadar güzeldi ki.. Şimdi sırada dil çorbası var umarım o da beyin çorbası kadar güzeldir.,10.0,10.0,10.0,1601355640
Mükemmel.,10.0,10.0,10.0,1601355640
Ezogelin çorbası sipariş ettim ezogelin çorbası ile yakından uzaktan alakası yoktu lezzetide bir o kadar kötüydü arkadaşımla beraber midemiz çok kötü oldu.,7.0,1.0,1.0,1601355640
"Çorba harika, porisyon daha büyüktü eskiden sadece.",10.0,10.0,9.0,1601355640
Çok hızlı çorbalar lezzetli.,10.0,10.0,10.0,1601355640
