comment_text,comment_speed,comment_service,comment_taste,comment_time
"Süper hızlı, sıcak geldi. Ben bile şaşırdım. Teşekkürler.",10.0,10.0,10.0,1606599485
Guzel.,10.0,10.0,10.0,1606599485
Herşey mükemmeldi sıcacık hızlı ellerinize sağlık.,10.0,10.0,10.0,1606599485
Ardaya teşekkürler 10 numara paketçi.,10.0,10.0,10.0,1606599485
Patatesin biraz pişmemiş olması dışında herşeyi çok iyidi 10dk da siparişim geldi.,10.0,10.0,9.0,1606599485
İri kıyım kurye için bile hergün sipariş verilir.,10.0,10.0,10.0,1606599485
Servis elemanı arda. Lezzeti ismi geride bırakan bir paketçi. Güler yüzlü pratik ve bi okadar hızlı. Sayın mcdonalds kıymeti bilinmesi gereken bi eleman haberiniz olsun!,10.0,10.0,10.0,1606513085
"Kuryeniz cengiz bey çok güleryüzlüydü, teşekkür ederiz ilgisinden dolayı ve sıcacık geldi teşekkürler.",10.0,10.0,10.0,1606513085
Güzel ama 2 defadır baharatlı patates istememe rağmen baharatsız yolluyolar oradan puan kırdım.,9.0,9.0,9.0,1606513085
İyi.,7.0,9.0,10.0,1606513085
Berbat.,1.0,1.0,1.0,1606513085
Sade söyledim karışık geldi chicken mcbites söyledim gelmedi.,1.0,1.0,1.0,1606513085
Güzeldi.,10.0,10.0,10.0,1606426685
Kola istedim icetea gelmiş patatesler lastik gibi olmuş 40-50 dakikada gelecek sipariş 1 saaten uzun süre sonra geldi yapamayacaksanız işi bari bizi boşa uğraştırmayın.,1.0,1.0,1.0,1606426685
"Geç teslimat, soğuk yiyecek, maskesiz kurye.",1.0,2.0,3.0,1606426685
İyi.,8.0,8.0,8.0,1606426685
Güzel.,10.0,10.0,10.0,1606426685
Çok düşik puanlar verdiğim zamanlar da olmuştu fakat son birkaç aydır her yönden başarılı.,10.0,10.0,10.0,1606426685
Ketçap mayonez eksik geldi onun dışında iyiydi.,10.0,8.0,9.0,1606426685
Buz gibi.,10.0,10.0,1.0,1606426685
Ümit beye teşekkürler. Siparişimde bir harikaydı. Bu restorandan vazgeçemiyorum. Restorandan aldığımız siparişlerde de aynı şekilde çok iyi ilgileniyorlar. Türkiyenin en iyi mcdonalds ı.,10.0,10.0,10.0,1606340285
Sıcacık ve hızlı herşey mükemmeldi sürücü cengiz bey uçarak mı geldi ne :) bu kadar hızlısını görmemiştim.,10.0,10.0,10.0,1606340285
Çok ama çook hızlı geldi.,10.0,10.0,9.0,1606340285
Tatlı ve dondurmamız gelmedi parası alındığı halde ve tekrar aradığımızda kapalı dendi.,10.0,1.0,8.0,1606340285
Siparişim çok hizli geldi 10 dk da geldi kurye arkadaş(ümit bey) da çok güler yüzlü son zamanlardaki en iyi siparişim.,10.0,10.0,10.0,1606340285
Güzeldi.,9.0,9.0,9.0,1606340285
Her şey çok güzeldi teşekkürler mc donalds arda kardeşime ayrıca teşekkür ederim tuşa bastım siparişi verir vermez zil çaldı.,10.0,10.0,10.0,1606340285
Perfect.,10.0,10.0,10.0,1606340285
Patatesler eskiden kızartılmış gibiydi çocuk menüsünün köftesi sanki ısırılmışda konulmuş gibiydi kenarı koparılmış gibi bu yüzden kırıyorum puanı yoksa çok hızlı geldi ayranda unutulmuştu sonradan getirildi.,10.0,2.0,3.0,1606340285
"Pişmemiş et, patates. 1 saate gelen yemek...",1.0,7.0,3.0,1606167486
Mc mi bidaha asla.,8.0,8.0,8.0,1606167486
Paketi getiren arkadaş çok efendi sağolsun.,10.0,10.0,10.0,1606167486
Mcdonalds ın gülü fatih beye teşekkür ederim.,10.0,10.0,10.0,1606167486
İri kıyım kurye beni bul.,10.0,10.0,10.0,1606167486
Cok lezzetliydi ayrıca soner bey cok kibardı çarpıldım resmen.,10.0,10.0,10.0,1606167486
Ömer adamdır teşekkürler. Kuryeleriniz çok efendi.,10.0,10.0,10.0,1606167486
Siparişimi 10 dakkada getirdiğiniz için teşekür ederim. Bazen geç geliyor ama olsun biliyorum ki sipariş veren sadece ben değilim.,10.0,10.0,10.0,1606167486
Güzel.,10.0,10.0,10.0,1606167486
Süper ötesi.,10.0,10.0,10.0,1606167486
Sipariş ettiğim soslar gelmemişti ve patatesler eskisinden farklı bir şekildeydi.,9.0,1.0,5.0,1606167486
Arda beye teşekkür ederim iyi çalışmalar.,10.0,10.0,10.0,1606081086
Hayatımda daha kötü mc yememiştim geceleri getrmeseniz mi?,1.0,1.0,1.0,1606081086
Food was cold as always. We waited ıver an hour for delivery.,4.0,8.0,7.0,1606081086
Çok soğuk geldi nuggetlar çok kuruydu.,10.0,10.0,5.0,1606081086
İyiydi.,8.0,8.0,9.0,1605994686
Gelen hiçbirşey pişmemişti. Kova söyledik. Patatesler soğan halkaları nuggetlar hersey çiğdi. Sanki üzerine su dökülmüş gibi ıslaktı hersey. Rezillik resmen.,4.0,1.0,1.0,1605994686
"Menünün soğan halkasını unuttunuz, üstelik 4550 dk geç gelerek. Tebrikler mc donalds.",5.0,5.0,5.0,1605994686
Sürücünüz çok kibardı kezzet mükemmeldi elinize sağlık.,10.0,10.0,10.0,1605994686
Hızlı servis ve güzeldi lezzetliydi.,10.0,10.0,10.0,1605994686
Patateslere dikkat edelim.,10.0,10.0,9.0,1605908286
İyi.,7.0,6.0,7.0,1605908286
Lezzetli.,10.0,10.0,10.0,1605908286
