comment_text,comment_speed,comment_service,comment_taste,comment_time
Goat.,8.0,9.0,9.0,1606340795
He.,8.0,8.0,9.0,1606340795
Tad olarak çok güzel getiren elamanda cok efendi memnunuz teşekkürler.,10.0,9.0,10.0,1606340795
Yanına ekstra malzeme daha çok konulmali. Cig köfte oranı arttırılmalı.,7.0,5.0,8.0,1606167995
Ellerinize sağlık.,10.0,10.0,10.0,1606167995
Efsaneee gerçekten hakkını verdii.,10.0,10.0,10.0,1606081595
Midye gerçekten çok kötüydü.,8.0,8.0,5.0,1605908795
Lezzeti fena degil fakat çok şiddetli mide yanması yapıyor.,10.0,10.0,5.0,1605735995
Kalitenizi devam ettiriyorsunuz çok iyi mükemmel!,10.0,10.0,10.0,1605563195
Herşey mükemmeldi ellerinize sağlık.,10.0,10.0,10.0,1605563195
Mükemmel bir tattı paket servisi süperdi çok teşekkür ederim kolay gelsin:)).,10.0,10.0,10.0,1605303995
Harika ya gerçekten işinizi hakkını veriyorsunuz malzemeden kısmamanız ekstra güzel..,10.0,10.0,10.0,1605131195
Alanya da yediğim en iyi çiğ köfte diyebilirim çok başarılı.,10.0,10.0,10.0,1604958395
Böyle özenli bi paket görmedim. Soslara bayıldım. Çok lezzetliydi. Çok hızlı geldi. Ellerinize sağlık.,10.0,10.0,10.0,1604958395
Daha önce de aynı siparis vermiştim hersey mükemmel servis zamanlaması harika güler yüz hizmet teşekkür ediyorum.,10.0,10.0,10.0,1604958395
Dikkat! Bağımlılık yapar :)).,10.0,10.0,10.0,1604871995
Çiğköftenin içinde karanfil mi tarçın mıdır değişik bir baharat var ve çiğ köftenin tadını tamamen bozmuş.,10.0,10.0,1.0,1604871995
Süperdi miğdeni rahatsız etmiyor.,10.0,10.0,10.0,1604785595
Gjjgttrr.,9.0,9.0,8.0,1604699195
Çok iyi. Her şey çok taze.,10.0,10.0,10.0,1604699195
Süperdi ellerinize saglik.,10.0,10.0,10.0,1604612795
Çok güzel bir lezzeti vardı içinin malzemeside gayet yeterliydi teşekkürler.,10.0,10.0,10.0,1604439995
"İlk defa siparis verdim diger firmalara göre cok lezzetli, getiren eleman çok nazik ve hızlıydı artik burayi tercih edecegiz tesekkurler..",10.0,10.0,10.0,1604180795
500 gr. Söyledik marul çok azdı 2 lavaşlık marul göndermişler 500gr çiğ köfte için. Diğer herşey güzeldi lezzeti felan. Paketçi arkadaş çok güler yüzlüydü bu arada onada slm olsun.,10.0,4.0,9.0,1604094395
Acı sos ve nar ekşisini biraz daha fazla koysaydınız daha iyi olurdu.,8.0,10.0,7.0,1603970249
"Sipariş çok hızlı geldi ve siparişi getiren çalışan harika birisi. Üslubu, davranışları çok nazik bir beyefendiydi. Puanı sırf bu yüzden verdim.",10.0,9.0,9.0,1603970249
Süper.,10.0,10.0,10.0,1603970249
Tatsızdı.,1.0,1.0,1.0,1603970249
Mükemmellllll.,10.0,10.0,10.0,1603970249
Baya iyi.,9.0,9.0,9.0,1603970249
Çok begendim.,10.0,10.0,10.0,1603970249
Çok lezzetli gerçekten tavsiye ederim paketçide çok hızlı geldi ilginiz için teşekkür ederim...,9.0,9.0,9.0,1603970249
Çok hızlıydı bütün malzemelerden bol keseden koymuşlardı lezzetliydi.,10.0,10.0,10.0,1603970249
Gjkjhff.,7.0,7.0,7.0,1603970249
"Sipraiş çok hızlı geldi, kurye çok kibardı. Teşekkür ederiz.",10.0,10.0,10.0,1603970249
Joker diye herşeyin yarısını göndermek nedir ya madem böyle yapacaksınız girmeyin yemeksepetine ya da anlaşmanızı ona göre yapın helal etmiyorum hakkımı.,1.0,1.0,1.0,1603970249
Nr eksisi 1 tane acı 1 tane hem de yarim kilo söylememe ragmen.,1.0,1.0,1.0,1603970249
Lezzetli ve hızlıydı :)).,10.0,10.0,10.0,1603970249
Olmamış.,9.0,7.0,3.0,1603970249
Midye dolmalar aşırı kötü soğuk ve bayat. Dürümler güzel ama turşu seçeneği koymalısınız ben turşu istemiyecekdim.,10.0,10.0,4.0,1603970249
Zamanında geldi lezzetli hizmet icin tesekkurler.,10.0,10.0,10.0,1603970249
Eyijjjggikkk.,8.0,8.0,7.0,1603970249
Cok hizli geldi ve cok lezzetliydi.,10.0,10.0,10.0,1603970249
