comment_text,comment_speed,comment_service,comment_taste,comment_time
Formundan dusmeyen isletme.,10.0,10.0,10.0,1606601244
"Kokorecler cok lezzetliydi, gelen kurye arkadasta cok iyi ve kibar bir insandi. Hem isletmenize hem de kurye arkadasa bol kazanc dilerim.",10.0,10.0,10.0,1606601244
"Köfteye kokoreç kokusu sinmişti ne yazık ki, tadını da pek beğenmedim. Hız gayet iyiydi notu dikkate alıyorlar.",10.0,10.0,4.0,1606514844
Baharatları kum tanecikleri.,9.0,6.0,1.0,1606082844
Çok begendık ellerınıze saglık.,10.0,10.0,10.0,1605996444
Gerçekten harikaydı ellerinize sağlık.,10.0,10.0,10.0,1605910044
Bugünkü kokorecte normalden farklı bir tat vardı ve acıydı yine de elinize sağlık.,7.0,7.0,7.0,1605823644
Tavuğu çok iyi.,8.0,9.0,10.0,1605737244
Aslında çok güzel bir kokoreç ama gerçekten çok yağlı olmuş belki bana denk geldi bilmiyorum ama ekmek sırılsıklam yağdı.,8.0,8.0,7.0,1605391644
Herseyiyle on numaraydi. Yapiyorsunuz bu isi.,10.0,10.0,10.0,1605305244
Efso.,10.0,10.0,10.0,1605218844
Yemin ederim rezil bi kokoreçti. 45 dkka da geldi buz gibi donmustu. Paranıza yazık.,1.0,1.0,1.0,1603971498
Acısı azdı ama tadı mükemmel.,7.0,9.0,10.0,1603971498
Kokoreç müthiş. Elinize sağlık.,10.0,10.0,10.0,1603971498
Benim ikram pudingim gelmedi.,7.0,7.0,7.0,1603971498
Tuzu azdı. Onun dışında da içi boldu teşekkürler.,10.0,9.0,8.0,1603971498
Puding için teşekkür ederiz kokorecinize aşığım.,10.0,10.0,10.0,1603971498
Notu eklendiğimden haberniz bile yoktu :).,8.0,2.0,9.0,1603971498
Lezzeti gayet yerinde bence...,10.0,10.0,10.0,1603971498
Çok güzeldi tavuk döneri.,8.0,8.0,9.0,1603971498
Cuma usta değil bunu yapan. Büyük ve acıydı lezzet eksikliği vardı.,1.0,4.0,4.0,1603971498
Artık puding gondermiyorsunuz üzülüyorum.,9.0,9.0,9.0,1603971498
İyinin hakkını vermek lazım. Ellerinize sağlık. Kesinlikle sipariş verebilirsiniz.,10.0,10.0,10.0,1603971498
Kokoreçler çok iyiydi.,8.0,9.0,10.0,1603971498
İyi.,10.0,10.0,10.0,1603971498
 iyi.,10.0,10.0,10.0,1603971498
Lezet guzel.,10.0,10.0,10.0,1603971498
