comment_text,comment_speed,comment_service,comment_taste,comment_time
Biraz bekledik ama zaten kaç dakikaya geleceklerini yazmışlar çok lezzeti gayet önemsemişler teşekkürler.,10.0,10.0,10.0,1606601387
Ciğer çok iri lezzetsizdi ve tuzluydu.,10.0,8.0,6.0,1606601387
Efsane.,10.0,10.0,10.0,1606428587
Efsane.,10.0,10.0,10.0,1605996587
On numara 10.,10.0,10.0,10.0,1605996587
Memnun kaldım teşşekürler.,10.0,10.0,10.0,1605823787
Çok güzel.,10.0,10.0,10.0,1605737387
Yine çok güzel yine harika ellerine saglik usdacim.,10.0,10.0,10.0,1605737387
Adana güzeldi.,10.0,10.0,10.0,1605650987
Çorbası güzeldi serviside güzeldi ekmeği salatası boldu ama ekmeği normal ekmekti çorba yanına koyulan bazlama ekmekten olsa daha iyi olurdu.,6.0,9.0,8.0,1605650987
Yaşım 40 30 senelik adanalıyım böyle adana yemedim efsane denemenizde fauda var.,10.0,10.0,10.0,1605564587
Çorbaları hem sıcak hemde lezzetli tavsiye ederim elinize sağlık.,10.0,10.0,10.0,1605564587
Gayet lezetli.,10.0,10.0,10.0,1605564587
Lezetli teşşekürler.,10.0,10.0,10.0,1605564587
Güzel mekan.,10.0,10.0,10.0,1605478187
Fevkalade.,10.0,10.0,10.0,1605478187
Beğendik teşekkürler canım.,10.0,10.0,10.0,1605391787
Güzeldi.,10.0,10.0,10.0,1605391787
Lezzet güzel erken geldi bide.,10.0,10.0,10.0,1605391787
Ciğer güzel.,10.0,10.0,10.0,1605305387
Kuzı şiş güzeldi.,10.0,10.0,10.0,1605305387
10 numara 5 yildiz künefe harikaydi tam isdedigim gibi geldi sicak bol. Serbetli ellerinize saglik paketcinizde çok güler yüzlüydü tşk ederim.,10.0,10.0,10.0,1605218987
Beğendik.,10.0,10.0,10.0,1605218987
Kanat cok güzeldi.,10.0,10.0,10.0,1605218987
Ellerinize saglık.,10.0,10.0,10.0,1605132587
Köfte güzel.,10.0,10.0,10.0,1605046187
Gayet güzel ve titiz bir işletme.,10.0,10.0,10.0,1605046187
İyi lezetli.,10.0,10.0,10.0,1604873387
Çiğer çok güzeldi bulgur pilavı ayrı güzel.,10.0,10.0,10.0,1604873387
Elinize sağlık muhtesemdi.,10.0,10.0,10.0,1604700587
Çok iyi.,10.0,10.0,10.0,1604700588
Künefe efsane sadece serbest az biraz fazla olursa çok iyi olur elinize sağlık.,10.0,10.0,10.0,1604700588
Duble adana efsane.,10.0,10.0,10.0,1604614188
Begenmedim soğuk ve hamurlasmisti.,1.0,1.0,1.0,1604527788
Ellerinize saglık istedigim gibi geldi.,10.0,10.0,10.0,1604527788
Güzel.,10.0,10.0,10.0,1604354988
Güzel.,10.0,10.0,10.0,1604268588
