comment_text,comment_speed,comment_service,comment_taste,comment_time
Seviyoruz sizi.,10.0,10.0,10.0,1606257012
10 dan başkasına basmaya parmaklarım el vermez hep söylüyorum helal hoş olsun zevkle yerken kulaklarınız çok çınlıyordur överek yiyorum.,10.0,10.0,10.0,1605997812
Cansınız sonuna kadar helal hoş olsun inşallah kazandığınız.,10.0,10.0,10.0,1605738612
Aci sos nar eksisi yoktu ama tadi guzeldi.,10.0,5.0,10.0,1605565812
"Sadece çiğ köfte değil, neye ihtiyaç varsa hemen gönderirler.",10.0,10.0,10.0,1605479412
Hız ve servis çok iyi lezzette fena değil.,10.0,10.0,9.0,1604788212
"Hızlı geldi, yemek paketlenmesi güzeldi, ciğ köftede lezzetli.",10.0,10.0,10.0,1604442612
Gayet güzel elinize sağlık biraz daha ucuz yaparsanız seviniriz çiğköfte sonuçta.,9.0,8.0,8.0,1604356212
Harika.,10.0,10.0,10.0,1604183412
Mükemmeeeellll.,10.0,10.0,10.0,1603972866
Böyle güzel bir restoran gizli kalmamalıı elinize emeğinize sağlıkk bundan sonra çiğköfte de tek adresss.,10.0,10.0,10.0,1603972866
Güzeldi.,10.0,10.0,10.0,1603972866
İlk defa sipariş verdim ama sanırım bundan sonra çiğköfte krizlerimin adresi olacak. Çok beğendim. Notlara dikkat ediyo olmaları da ayrıca hoş..,9.0,10.0,9.0,1603972866
Yeşillik çok abartılı olmuş.,7.0,8.0,5.0,1603972866
"Sizden hiç vazgeçmem, harikasınız.",10.0,10.0,10.0,1603972866
İyi.,10.0,9.0,9.0,1603972866
Mikemmelsiniz:).,10.0,10.0,10.0,1603972866
Güzeldi.,10.0,10.0,10.0,1603972866
Emeğinize sağlık harikaydi.,10.0,10.0,10.0,1601343120
Bazlama tostta köfte de çok güzeldi elinize emeğinize sağlık harika sıcacık mis gibi lezzetli.,10.0,10.0,10.0,1601343120
Guzeldi.,10.0,10.0,6.0,1601343120
Artık güzel çiğ köfte yeme işi tamamen şans bu ama en farklısı çıktı ama çiğ köfte harbiden çiğ. Bulgurlar cok sertti az acılı istedim cok acılıdan bile acı antalya nın havası galiba çiğ köfte yemeğe müsait değil.,10.0,6.0,1.0,1601343120
Yeşillikler hiç beklediğim gibi gelmedi.,8.0,7.0,7.0,1601343120
Gerçekten çok lezzetli temiz güzel paketlenmiş. İnsan müptelası oluyor.,10.0,10.0,10.0,1601343120
Söylediğim menüde karışık kızartma vardı içerik olarak ama gelmedi. İçli köfteler çok sıcak ve lezzetliydi. Çiğköfte biraz tatlı gibiydi bana hitap etmedi. Ama temiz özenli bir paketti teşekkürler.,6.0,8.0,7.0,1601343120
Çigköfte baya iyiydi ama yetmedi güzeldi daha fazlası lazımdı ama paramız yoktu neyse hepsine 10 verip yatim ben.,10.0,10.0,10.0,1601343120
"Notu okuduğunuz için teşekkür ederim, bölgede işini en iyi yapan çiğköfte mekanı olduğunuzu düşünüyorum.",10.0,10.0,10.0,1598713374
Adam akıllı bir kızartma yemek mutlu etti açıkcası. Bir de daha fazla patates olsaydı tadından yenmezdi.,10.0,9.0,9.0,1598713374
Yalnız siz baya iyisiniz..,10.0,10.0,10.0,1598713374
"Yapıyorsunuz bu işi, kurye çok iyiydi güler yüzlü, peygamber yese ömrü uzardı.",10.0,10.0,10.0,1598713374
Hersey cok güzeldi fakat cigkoftenin sadece 2 tanesinin ustu boyle kahverengimsi bi sekilde sulanmıstı. Herhangi bi kotu koku yoktu ne oldugunu cozemedim ama biraz daha dikkat ederseniz iyi olur.,10.0,8.0,9.0,1598713374
Çok lezetli.,10.0,10.0,10.0,1598713374
Çiğ köftesi yenmeye değmez ama patso beklentileri karşıladı.,10.0,8.0,5.0,1596083628
Güzellll.,10.0,9.0,8.0,1596083628
Memnun kaldık.,10.0,10.0,10.0,1596083628
Lavaşlar bayattı onun dışında işte çiğköfte.,9.0,9.0,9.0,1596083628
Vazgeçilmez yerlerimden biri kaliteyi hiç bozmadı.,10.0,10.0,10.0,1596083628
Bin kat daha güzel yedim.,1.0,1.0,1.0,1596083628
Tadı gayet güzeldi ve hızlı geldi başarılı.,10.0,10.0,10.0,1596083628
Lezzetli ve iyi paketlenmişti. Teşekkürler.,10.0,10.0,10.0,1593453882
İyi.,8.0,8.0,8.0,1593453882
"İlk defa içli köftesi iyi gelmedi. 11 tane içli köfte söylemiştik, yumuşak hamur gibiydi. Belli ki buzlu buzlu kızartıp göndermişler.",10.0,4.0,4.0,1593453882
Gerçekten çok güzel kaliteli taze ve hızlı bir siparişti deneyimiydi hijyen kurallarına fazlasıyla uyulmuş ve bol bol konulmuş bir paketti. Güler yüzleri hızlı ve lezzetleri için çoook teşekkür eder ve herkese tavsiye ederim... :)).,10.0,10.0,10.0,1593453882
Köfte ekmek mükemmel. Çiğ köftede ufak bir değişiklik var ama güzel olmuş.,10.0,10.0,10.0,1593453882
Her zaman ki gibi.,10.0,10.0,10.0,1593453882
Gayet güzel. Hızlı teslimat.,10.0,9.0,9.0,1593453882
Zamanında geldi çok sevdiğim bir isyeriydi ancak hoşuma gitmeyen şeyler oldu. Paketi getiren arkadaş çiğköfteyi motorun altından oturduğu yerden çıkardı nimete saygisizliktir bu. Dürumu açtım çorba gibi akmaya başladı soslar eksiler. Su damlaya damlaya yedim resmen pekte bişey anlamadim.,10.0,1.0,1.0,1593453882
Mükemmel mükemmel mükemmel.,10.0,10.0,10.0,1593453882
Çiğköftesi güzel gercekten.,9.0,10.0,10.0,1593453882
Çiğköfte harika. Notlara dıkkat ediyorlar. Hızlı geldi. Paketlemesı harikaydı. Parasını kuruşu kuruşuna hakediyor. Yapıcı eleştiri olarak lavaslarda bır dagılma var. Üretici firmaya haber verırsenız gerekli tedbırı alacaklardır.,10.0,10.0,10.0,1593453882
Güzel.,10.0,10.0,10.0,1593453882
Çök güzeldi.,10.0,10.0,10.0,1590824136
