comment_text,comment_speed,comment_service,comment_taste,comment_time
"Hızlı, herşey özenli, yeşillik bol, kurye beyefendi daha ne olsun.",10.0,10.0,10.0,1606516675
Çiğköfte baya hoştu servisci abide iyiydi.,10.0,10.0,10.0,1606343875
"Elinize, ayağınıza sağlık.",10.0,10.0,10.0,1606343875
Teşekkürler elinize sağlık.,10.0,10.0,10.0,1606343875
Paket servis işine bakan arkadaş çok naziksin...,10.0,10.0,10.0,1605134275
Berk çok tatlısınnn gerçektennnn abonesiyim buranın artık.,10.0,10.0,10.0,1604961475
Berk diyorum başka söze gerek yok.,10.0,10.0,5.0,1604529475
Güzel.,10.0,10.0,10.0,1604443075
Herşey için teşekkür ederim berk bey.,10.0,10.0,10.0,1604356675
Berk kardeşim hızır gibi yetişti valla helal olsun ve elinize emeğinize sağlık 10 numara 5 yıldız herşey.,10.0,10.0,10.0,1604270275
Paketçi arkadaş hızlı olduğu kadar çok efendi biri. Hayırlı işleriniz olsun.,10.0,10.0,10.0,1604270275
Paketçi kardeşim hızlı ve öfkeli de oynadımı acaba bu hız ne :).,10.0,8.0,8.0,1604183875
"Yeni taşındım ve ilk kez sipariş verdim buradan. Herseyi çok güzeldi servisi ve yan ürünlerin bollugu muazzamdı. Ayrıca paketçi arkadaşı da es geçmemek gerekir ilgisi, kibarlıgı ve güler yüzü için teşekkür ederim.",10.0,10.0,10.0,1604183875
Lezzet ve servis 10 numara tavsiye ederim.,10.0,10.0,10.0,1604097475
"Çiğköftesi çok sağlam, yeşilliği taze tutulursa her gün söylerim.",10.0,9.0,9.0,1604011075
Herşey güzeldi elinize sağlık paketci arkadaş çok kibardi hız konusundada iyiydi.,10.0,10.0,10.0,1603973329
Her sey cok guzeldi tesekkurler.,10.0,10.0,10.0,1603973329
Berk beye teşekkür ediyorum çok güler yüzlü bir insan siparişimi çok hızlı bir şekilde getirdiler.,10.0,10.0,10.0,1603973329
Kurye berk arkadaşıma ayrıca teşekkür ediyorum :) bu mekandaki usta da kurye de adamdır. Dertli bir akşam çiğköfte söyledim. Dertlerinizi de bana gönderin dedim. Size şeker gönderdik dediler. Burdan gece vakti dertlenip çiğköfte yemek isteyen herkese selam olsun.,10.0,10.0,10.0,1603973329
"Servisi getiren eleman 10 numara, guleryuzlu, sicak, hizli ve yemekte guzeldi. Tesekkurler.",10.0,10.0,10.0,1603973329
Paketçi berk kardeşime selam işini severek yapıyor iyi çalışmalar.,10.0,10.0,10.0,1603973329
Berk kardeşim güler yüzün için teşekkürker elinize sağlık çok güzeldi.,10.0,10.0,10.0,1603973329
Gelen kişi gayet güler yüzlüydü ve çiğ köftelerin tadı çok güzeldi ama maske taksanız daha güzel olur size puanım hepsinden on.,10.0,10.0,10.0,1603973329
Her zamanki gibi harika.,10.0,10.0,10.0,1603973329
Getiren cok tatlı konuşması filan onu için her vakit buldum da sipariş vericem.,10.0,10.0,10.0,1603973329
Tadı güzeldi hız cok iyi servise genlen berk kardeşime cok iyi servisti.,10.0,10.0,9.0,1603973329
Tost söyledim gecenin 3 ünde hem çok hızlı hemde çok lezzetliydi paket servisi yapan berk beye de çok tesekur eder paket serviscileride çok iyi ve mülayim insanlar.,10.0,10.0,10.0,1603973329
Güzel ikramınız için teşekkürler sadece paketleme kısmı daha hijyenik olur ise kutu vs gibi çok daha güzel olur.,9.0,7.0,9.0,1603973329
Işıktan bile hızlı bu kadarını beklemiyordum.,10.0,10.0,10.0,1603973329
Sipariş çok çabuk geldi lezzeti çok iyi ayrıca berk beye süper servis ve kibarığı sebebiyle çok teşekkür ederim gönül rahatlığıyla sipariş verebilirsiniz.,10.0,10.0,10.0,1603973329
