comment_text,comment_speed,comment_service,comment_taste,comment_time
Biraz daha iyi olabilir.,5.0,5.0,5.0,1606603156
Kuryenin maskesi yoktu. Kuryenin neden maskesi yoktu?,10.0,5.0,10.0,1606603156
Lütfen kuryeniz maske taksın...,6.0,9.0,7.0,1606430356
Eh işte arada yenir.. Eskiden daha iyiydi. Fiyata degmez.,3.0,1.0,5.0,1606430356
Notu dikkate alıyorlar bunun için ayrıca teşekkürler. Sosislerin biraz bayat gibi olduğunu söylemeden geçemeyeceğim. Beklemiş de ısınmıştı. Ama gece gece süper gitti lezzeti yine iyiydi. Teşekkürler.,10.0,10.0,8.0,1606430356
Sürekli keyif alarak yemek yediğim bir yer ama bugün hazırlayan ustanın keyfi yerinde değildi sanırım rus salatasını tostun bir kenarına turşuları toplayıp bir kenara koymuş.,10.0,10.0,4.0,1606430356
Servis kötü lezzet çok iyi.,9.0,1.0,9.0,1606343956
Her zamnki gibi mukemmel ve cok hızlılar.,10.0,10.0,10.0,1606343956
Hiç bozmadı.,10.0,10.0,10.0,1606343956
Emeğinize sağlık.,10.0,10.0,10.0,1606171156
Servis biraz daha iyi olabilirdi.,9.0,8.0,9.0,1606171156
"Ayvalık tostu istedim, bana normal ekmeğe yapillmis sıradan tost geldi, biz sizi neden tercih edelim.",1.0,1.0,1.0,1606171156
Ya usta mi değiştirdiniz yoksa malzememi bu seferki yediğim mega süper karışık hiç size yakışmadı insallah bir sonraki sefer düzelmiş olur.,9.0,9.0,6.0,1606084756
Kavurmalı tost güzel ama sosisler çok kötü sosis daha kaliteli olmalı lütfen değiştirin.,8.0,8.0,8.0,1606084756
İçinde yazan malzemelerin sadece ikisi vardı sosis ve rus salatası pardon 1 adet de sucuk vardı salatalık turşusu bol olsun diye belirttiğim halde içinden 1 tane bile çıkmadı..,1.0,1.0,1.0,1606084756
Rus salatası daha çok olursa iyi olur bence.,8.0,8.0,7.0,1605998356
İçinde seçmediğim şeyler vardı ve çok iyi pişmemişti.,8.0,1.0,1.0,1605998356
İç karartıcı.,7.0,2.0,2.0,1605998356
Yoğunluk ve hava şartları nedeniyle biraz geç geldi ama lezzeti hala 10 numara.,10.0,10.0,10.0,1605998356
Hıza 10 verdim servis ve lezzet 1. Hızlı getirmek için ne paketlenmiş ne de pişirilmişti.,10.0,1.0,1.0,1605911956
Çok iyi.,10.0,10.0,10.0,1605911956
Hemen her zamanki gibi.,9.0,8.0,8.0,1605911956
Yemeyen meraklı yiyen bin pişman.,7.0,3.0,2.0,1605911956
Her zaman ki gibi lezzetli.,10.0,10.0,10.0,1605911956
"Malzeme bol, başarılı.",10.0,10.0,10.0,1605911956
İçeceği unutuyorlar.,4.0,5.0,5.0,1605911956
Gayet hizli sicak lezzetliydi.,10.0,10.0,10.0,1605911956
Muhteşemdi hatta çok bile geldi bana bitiremedim. Kesinlikle aç doyurur :).,10.0,10.0,10.0,1605911956
Başarılı.,10.0,10.0,10.0,1605825556
Ayvalık tost pişmanlıktır eksik spariş mi desem çiğ sucuk mu desem pişmanlık işte.,8.0,2.0,2.0,1605825556
Daha öncede kahvaltı tabağı söylemiştim yine doyurucuydu sadece ekmeği biraz fazla koysaniz daha iyi olur ve kuryeye çok teşekkür ediyorum bu yağmurda hızlı getirdi :).,10.0,10.0,10.0,1605739157
Eski ayvalık tadı yok.,5.0,5.0,5.0,1605739157
Hızı gayet iyiydi ama yazılan nota dikkat edilmesi ve ürünün içindeki malzemenin ciddi oranda azaltılması düşük puan vermeme sebeb oldu. Sosislerde fazla pişirilmişti.,8.0,6.0,4.0,1605739157
Super.,10.0,10.0,10.0,1605739157
İyi güzel.,10.0,7.0,9.0,1605652757
Klasik tostu denemeyin cok sıradan.,1.0,1.0,1.0,1605652757
