comment_text,comment_speed,comment_service,comment_taste,comment_time
Biraz bekledik ama zaten kaç dakikaya geleceklerini yazmışlar çok lezzeti gayet önemsemişler teşekkürler.,10.0,10.0,10.0,1606603499
Ciğer çok iri lezzetsizdi ve tuzluydu.,10.0,8.0,6.0,1606603499
Efsane.,10.0,10.0,10.0,1606430699
Efsane.,10.0,10.0,10.0,1605998699
On numara 10.,10.0,10.0,10.0,1605998699
Memnun kaldım teşşekürler.,10.0,10.0,10.0,1605825899
Çok güzel.,10.0,10.0,10.0,1605739499
Yine çok güzel yine harika ellerine saglik usdacim.,10.0,10.0,10.0,1605739499
Adana güzeldi.,10.0,10.0,10.0,1605653099
Çorbası güzeldi serviside güzeldi ekmeği salatası boldu ama ekmeği normal ekmekti çorba yanına koyulan bazlama ekmekten olsa daha iyi olurdu.,6.0,9.0,8.0,1605653099
Yaşım 40 30 senelik adanalıyım böyle adana yemedim efsane denemenizde fauda var.,10.0,10.0,10.0,1605566699
Çorbaları hem sıcak hemde lezzetli tavsiye ederim elinize sağlık.,10.0,10.0,10.0,1605566699
Gayet lezetli.,10.0,10.0,10.0,1605566699
Lezetli teşşekürler.,10.0,10.0,10.0,1605566699
Güzel mekan.,10.0,10.0,10.0,1605480299
Fevkalade.,10.0,10.0,10.0,1605480299
Beğendik teşekkürler canım.,10.0,10.0,10.0,1605393899
Güzeldi.,10.0,10.0,10.0,1605393899
Lezzet güzel erken geldi bide.,10.0,10.0,10.0,1605393899
Ciğer güzel.,10.0,10.0,10.0,1605307499
Kuzı şiş güzeldi.,10.0,10.0,10.0,1605307499
10 numara 5 yildiz künefe harikaydi tam isdedigim gibi geldi sicak bol. Serbetli ellerinize saglik paketcinizde çok güler yüzlüydü tşk ederim.,10.0,10.0,10.0,1605221099
Beğendik.,10.0,10.0,10.0,1605221099
Kanat cok güzeldi.,10.0,10.0,10.0,1605221099
Ellerinize saglık.,10.0,10.0,10.0,1605134699
Köfte güzel.,10.0,10.0,10.0,1605048299
Gayet güzel ve titiz bir işletme.,10.0,10.0,10.0,1605048299
İyi lezetli.,10.0,10.0,10.0,1604875499
Çiğer çok güzeldi bulgur pilavı ayrı güzel.,10.0,10.0,10.0,1604875499
Elinize sağlık muhtesemdi.,10.0,10.0,10.0,1604702699
Çok iyi.,10.0,10.0,10.0,1604702699
Künefe efsane sadece serbest az biraz fazla olursa çok iyi olur elinize sağlık.,10.0,10.0,10.0,1604702699
Duble adana efsane.,10.0,10.0,10.0,1604616299
Begenmedim soğuk ve hamurlasmisti.,1.0,1.0,1.0,1604529899
Ellerinize saglık istedigim gibi geldi.,10.0,10.0,10.0,1604529899
Güzel.,10.0,10.0,10.0,1604357099
Güzel.,10.0,10.0,10.0,1604270699
Paket hızlıda çiğ geliyor aceleniz varsa çiğ seviyorsanız söyleyin20 dakikada geliyor keşke çok acele etmeseydiniz hem çiğ hem soğuk buzdan beter 13 yıldır yediğim en kötü adanalarda ilk sırada.,10.0,1.0,1.0,1604184299
Hızlı ve sıcak geldi elinize sağlık.,10.0,10.0,10.0,1604097899
Ustam eline sağlık tavsiye edlyorum.,10.0,10.0,10.0,1603973753
Güneş mahalesine 35 dk gelmesi çok iyiydi.,10.0,10.0,10.0,1603973753
Buz gibi geldi ve 1 saatte geldi siparişim.,1.0,1.0,1.0,1603973753
Elinize emeğinize sağlık.,10.0,10.0,10.0,1603973753
Güzeldi ellerinize saglık.,10.0,10.0,10.0,1603973753
Kuzu şiş lastik gibiydi. Daha iyisini yapabilirsiniz.,8.0,7.0,4.0,1603973753
Müşteri memnuniyetini esas alan bir yer olmadığı kesin o yüzden uzun uzun bir şey yazmayacağım.,5.0,4.0,1.0,1603973753
İyiydi geç gelmesi dışında.,7.0,9.0,9.0,1603973753
Ellerğnize saglık.,10.0,10.0,10.0,1603973753
Güzel.,10.0,10.0,10.0,1603973753
Yediğim ennn rezalet adanaydı resmen lavaşa sarılı soğan yedim lezzeti geçtim bari lavaş yumuşak olsaymış aldığınız para bütünüyle haram olsun birde kart yollamışlar dürümün yanına tabi canım ararım bidahaki sefere.,1.0,1.0,1.0,1603973753
60dk da geldi ve künefe hiç güzel diğil di su tadı vardı.,1.0,5.0,6.0,1603973753
Ellerinize saglık ustasından paketcisine hersey mükemmel.,10.0,10.0,10.0,1603973753
Bir kelebek yapıyorlar resmen parmaklarınızı yersiniz o kadar muhteşem üzerine basa basa tavsiye ederim pişman olmazsınız.,10.0,10.0,10.0,1603973753
Güzel.,9.0,8.0,8.0,1603973753
Gayet güzeldi.,10.0,10.0,10.0,1603973753
Hızlı lezzetli temiz.,10.0,10.0,10.0,1603973753
Beğendik hep beraber.,10.0,10.0,10.0,1603973753
 pişmemiş çig bir adana yollamissiniz ayip ya gercekten ayip lutfen dikkat edin boyle seylere para veriyoruz sonuçta.,1.0,1.0,1.0,1603973753
"Bir saatte geldi, künefeyi çöpe attım esnaflıkla alakaları yok,.",1.0,1.0,1.0,1603973753
Künefe efsane.,10.0,10.0,10.0,1603973754
Ciğer güzel.,10.0,10.0,10.0,1603973754
Beğendikk.,10.0,10.0,10.0,1603973754
Antalya da tek adres.,10.0,10.0,10.0,1603973754
Daha iyi olabilirdi.,7.0,7.0,9.0,1603973754
Kız arkadaşımdan vazgeçerim sizden vazgeçmem seviliyorsunuz ))).,10.0,10.0,10.0,1603973754
Buz gibi geldi et tadı yoktur kupkuru asla ve asla tavsiye etmem.,1.0,1.0,1.0,1603973754
Güzel beyendim.,10.0,10.0,10.0,1603973754
Durumun içinde et ararken kayboldum.,1.0,1.0,1.0,1603973754
Kebap güzeldi.,10.0,10.0,10.0,1603973754
"İşkembe çok kötü kokuyor hiç yenilecek gibi değil, ciiğerin içinden kemik çıktı.",5.0,7.0,1.0,1603973754
Dükkanın yeri çok güzel bence tuhafiyeci açın daha çok para kazanırsınız rezillik asla sipariş vermem bir daha.,1.0,2.0,1.0,1603973754
Ustu yanik gelmisdi verdigm paraya yazk yiyemedim bile.,1.0,1.0,1.0,1603973754
Tadı iyi fakat geç geldi.,7.0,7.0,7.0,1603973754
Hız biraz geçikti. Servis ortaydı biber közlenip verilebilirdi lezzet ise et yok gibiydi çok az vardı et.,4.0,5.0,4.0,1603973754
Adanası biraz azdı.,9.0,7.0,9.0,1603973754
Güzel.,10.0,10.0,10.0,1603973754
"Tek kelime ile muhteşem deneyim. Annem için ciğer şiş söyledim. Ciğer yemeyen ben, ciğer yedim.",10.0,10.0,10.0,1603973754
Gerçekten sizi taktir edyurum yemekleriniz çok güzel.,10.0,10.0,10.0,1603973754
Başarılı.,10.0,10.0,10.0,1603973754
Tavuk kanat ve adana kebap harikaydi hem. Sicak geldi hemde hızlı colanin yanina bardak koymalari harikaydi paketciniz kibar ve güler yüzlüydü en onemlisi bu lezzet gececi usdanin ellerinden cikti hersey harikaydi yakisiklim benim ellerine saglik.,10.0,10.0,10.0,1603973754
