comment_text,comment_speed,comment_service,comment_taste,comment_time
Her zamanki gibi harika.,10.0,10.0,10.0,1606518125
Her zamanki gibi.,10.0,10.0,10.0,1606518125
Eskisi gibi değil ufalmis baya çok pahalı deymez.,1.0,1.0,1.0,1606431725
Sıcak ve güzeldi.,9.0,9.0,9.0,1606431725
Notum dikkate alinmis tesekkurler(acisiz istemistim).,10.0,10.0,10.0,1606431725
Soğuk geldi.,8.0,8.0,8.0,1606345325
Aşırı bir adana dürüm bağımlısı olarak antalyada bir çok yerde yedim ama en iyisi gerçekten bedir usta ama tabiki şubelerin içindede en iyisi dokuma :)) elinize sağlık.,10.0,10.0,10.0,1606345325
Yemek hafif soğuk geldi onun dışında güzeldi.,10.0,10.0,8.0,1606345325
Notları çoğu işletme dikkate almıyor ama siz tam istediğimiz gibi yapmışsınız favorisiniz.,10.0,10.0,10.0,1606258925
Güzeldi.,8.0,9.0,8.0,1606172525
Biraz daha sıcak olabilir di. Onun haricinde gayet lezzetli.,10.0,10.0,9.0,1606172525
Adana dürüm çok lezzetli.,10.0,10.0,10.0,1606086125
Varolsun yoldaşlar hakkını vermişler.,10.0,10.0,10.0,1605999725
Teşekkürler...,1.0,1.0,1.0,1605999725
"Cok lezzetli, hizli, kaliteli.",10.0,10.0,10.0,1605913325
Tüm bedir ustaların içinde en iyisi.,9.0,9.0,10.0,1605826925
Güzel.,9.0,9.0,9.0,1605826925
Ben seviyorum burayı.,10.0,10.0,10.0,1605826925
Favorim oldu lezzetli servis filan güzel.,10.0,10.0,10.0,1605740525
Harikaydı teşekkürler..,10.0,10.0,10.0,1605567725
Daha önce çok beğenerek yiyorduk bu defa etler çok iri ve sinirli sertti.,10.0,5.0,3.0,1605481325
Normaldi elinize sağlık.,9.0,8.0,8.0,1605481325
3 ay önce sipariş verdiğimizde çok iyiydi gayet doyurucu ve lezzetliydi ama şu an hiç beğenmedik.,8.0,2.0,2.0,1605394925
Dürümler güzeldi hız servis lezzet 10 numara teşekkürler.,10.0,10.0,10.0,1605394925
Et pişmemişti.,10.0,8.0,4.0,1605394925
Teşekkürler.,10.0,10.0,10.0,1605222125
