comment_text,comment_speed,comment_service,comment_taste,comment_time
Her zamanki gibi harika.,10.0,10.0,10.0,1606519196
Her zamanki gibi.,10.0,10.0,10.0,1606519196
Eskisi gibi değil ufalmis baya çok pahalı deymez.,1.0,1.0,1.0,1606432796
Sıcak ve güzeldi.,9.0,9.0,9.0,1606432796
Notum dikkate alinmis tesekkurler(acisiz istemistim).,10.0,10.0,10.0,1606432796
Soğuk geldi.,8.0,8.0,8.0,1606346396
Aşırı bir adana dürüm bağımlısı olarak antalyada bir çok yerde yedim ama en iyisi gerçekten bedir usta ama tabiki şubelerin içindede en iyisi dokuma :)) elinize sağlık.,10.0,10.0,10.0,1606346396
Yemek hafif soğuk geldi onun dışında güzeldi.,10.0,10.0,8.0,1606346396
Notları çoğu işletme dikkate almıyor ama siz tam istediğimiz gibi yapmışsınız favorisiniz.,10.0,10.0,10.0,1606259996
Güzeldi.,8.0,9.0,8.0,1606173596
Biraz daha sıcak olabilir di. Onun haricinde gayet lezzetli.,10.0,10.0,9.0,1606173596
Adana dürüm çok lezzetli.,10.0,10.0,10.0,1606087196
Varolsun yoldaşlar hakkını vermişler.,10.0,10.0,10.0,1606000796
Teşekkürler...,1.0,1.0,1.0,1606000796
"Cok lezzetli, hizli, kaliteli.",10.0,10.0,10.0,1605914396
Tüm bedir ustaların içinde en iyisi.,9.0,9.0,10.0,1605827996
Güzel.,9.0,9.0,9.0,1605827996
Ben seviyorum burayı.,10.0,10.0,10.0,1605827996
Favorim oldu lezzetli servis filan güzel.,10.0,10.0,10.0,1605741596
Harikaydı teşekkürler..,10.0,10.0,10.0,1605568796
Daha önce çok beğenerek yiyorduk bu defa etler çok iri ve sinirli sertti.,10.0,5.0,3.0,1605482396
Normaldi elinize sağlık.,9.0,8.0,8.0,1605482396
3 ay önce sipariş verdiğimizde çok iyiydi gayet doyurucu ve lezzetliydi ama şu an hiç beğenmedik.,8.0,2.0,2.0,1605395996
Dürümler güzeldi hız servis lezzet 10 numara teşekkürler.,10.0,10.0,10.0,1605395996
Et pişmemişti.,10.0,8.0,4.0,1605395996
Teşekkürler.,10.0,10.0,10.0,1605223196
Lavaş lar yanık dı ve dürümler buz gibiydi.,1.0,1.0,1.0,1605136796
Kurye arkadasimiz cok seri pratik daha kapiyi acar acmaz post cihazina miktari girmis karti cikarttim bastim afiyet olsun dedi gitti 15 saniye bile surmedi isine boyle yapan insanlar her zaman deger gormeli isletme sahiplerinin bunu gormesi icin yaziyorum iyi calismalar.,10.0,10.0,10.0,1605136796
Yavaş geliyor 40 dk olmuş arıyorum nerde diye şimdi çıkacak diyorlar dürüm içine sadece domates koymuşlar maydonoz falan yok hayret insan bir yeşillik ya da en azından közlenmiş biber koyar. Neden koymadınız diye arıyorum aa koymamış mıyız diyorsunuz ben yormam tekrar ama siz gönderelim demelisiniz.,3.0,1.0,3.0,1604963996
On numara et şiş dürüm.,10.0,10.0,10.0,1604877596
Dürümcü bedir kanal şubesi daha iyi bura kötü acilen düzeltilmesi gerek.,1.0,1.0,1.0,1604877596
Çok geç ve soğuk geldi.,1.0,3.0,2.0,1604877596
Salgami çok kötü.,6.0,6.0,6.0,1604877596
Etler biraz daha pişmeli.,9.0,8.0,7.0,1604877596
Soğan olmasın dedim soğan koymuşsunuz ve geç geldi.,5.0,5.0,4.0,1604791196
2 tane yediğinde doyuruyo.,9.0,9.0,9.0,1604704796
"Ciğeri değişirmişsiniz iyi olmuş, adana guzeldi.",8.0,8.0,8.0,1604704796
Dürüm güzeldi ama tuzu az ve soğanlar çok acıydı..,9.0,9.0,9.0,1604618396
10/10 lezzet.,10.0,10.0,10.0,1604531996
Lavaşı biraz yanmıştı ondan tatıdını bozmuştu.,10.0,8.0,6.0,1604531996
Favorim kesinlikle deneyin.,10.0,10.0,10.0,1604531996
Gayet iyiydi.,8.0,7.0,9.0,1604186396
Güzeldi.,8.0,9.0,8.0,1604186396
Hızlı geldi. Bedir usta bu işi biliyor.,9.0,9.0,10.0,1603975850
İdeal.,9.0,9.0,9.0,1603975850
"Cok soğuktu, etin de soğuk yenmesi pek keyifli değil malesef.",7.0,9.0,6.0,1603975850
Pismemis urunleri yollamissiniz allahin zoruna gitmesin cope attim dikkat ederseniz iyi olur.,1.0,1.0,1.0,1603975850
Her zaman ki gibi harika.,10.0,10.0,10.0,1603975850
Her zamanki gibi mükemmel. Ellerinize sağlık.,10.0,10.0,10.0,1603975850
Biraz daha hızlı gelse 10/10 tat olarak her zamanki gibi şahane dbu...,8.0,10.0,10.0,1603975850
Eskiden daha güzel yapıyordunuz.,8.0,6.0,7.0,1603975850
Ilk bedir usta ile tanışmamizda kapıda sanirim şöyle bir yazı vardı. Dikkat bağımlılık yapabilir yada dikkat yine geleceksiniz gibisinden birşeydi. Aradan yıllar geçmiş bir çok şube açmış ve kalitesini kesinlikle bozmuş bir isletme haline gelmiş.,10.0,10.0,10.0,1603975850
Adanayı on numara yapıyosunuz et şişi beğenmedim.,10.0,8.0,5.0,1603975850
Çok acı koymuşsunuz acı hiç istemediğim halde.,8.0,8.0,8.0,1603975850
Her türlü 10 puan ama şunuda unutmayın herşey yerinde daha güzel.,10.0,10.0,10.0,1603975850
İdeal bir adana dürüm.,9.0,7.0,8.0,1603975850
Dürümün yanına söylediğim içecek unutulmuştu. Önemli değil yanında su icerim dedim. Yemeye başlayınca farkettim ki soğansız söylediğim dürüme soğanı doldurmuşlar. Anlayacaginiz sadece akşam yemeğinde sadece su içtim. Bir daha kesinlikle tercih etmeyecegim.,3.0,1.0,5.0,1603975850
Hhv.,10.0,10.0,10.0,1603975850
Lezzet eskisi gibi değil.,1.0,1.0,1.0,1603975851
"Dürümlerin içine et diye fısıldamışsınız galiba içerisinde sadece maydanoz geldi, 2. 5litre kola ücretine 1 litrelik geldi:d.",8.0,1.0,1.0,1603975851
Beklediğim gibi gelmedi lavaş çok kuruydu.,1.0,1.0,1.0,1603975851
Lezzet ustası.,10.0,10.0,10.0,1603975851
Et hiç pişmemişti.,10.0,10.0,1.0,1603975851
Geceleri canınız adanamı çekti yarım saate kapında.,10.0,10.0,10.0,1603975851
Dokuma subesi mukemmel bir magaza butun calisanlarin eline koluna saglik sonnderece kibar hizli servis yemegin lezzeti bir harika bedri usta bile bu kadar lezzetli yapamaz belki.,10.0,10.0,10.0,1603975851
Guzeldi.,10.0,10.0,10.0,1603975851
Kesinlike son siparişim oldu.. Ciğeri yiyemedim o derece.,8.0,5.0,2.0,1603975851
İyiydi.,2.0,2.0,2.0,1603975851
Dokumadan ulusa 40 dakikada gelmemeli. Elemanınız maske kullanmıyor. Soğansız olsun dedim ama geç saatte istedik diye yığmışsınız sanırım soğanı. Bozdunuz.,5.0,5.0,5.0,1603975851
Dürüm bildiğin.,7.0,7.0,7.0,1603975851
İyi.,9.0,9.0,9.0,1603975851
Lezzeti tadı herseyi guzel de adana cok acı oluyor biraz az acı atsanız süper olur bu ara çok hızlı geldi yemegimiz.,10.0,10.0,10.0,1603975851
İyi.,10.0,10.0,10.0,1603975851
Güzeldi.,10.0,10.0,10.0,1603975851
Güzel.,10.0,10.0,10.0,1603975851
İi.,9.0,9.0,8.0,1603975851
Gecelerin dürümcüsü.,8.0,8.0,8.0,1603975851
Dürümleri yedim diğer gün midem ağrıdı ve bulandı.,10.0,10.0,3.0,1603975851
"Harikaydı, özellikle acı sevenler notta belirtsin hakkını verdiler acının.",10.0,10.0,10.0,1601346105
Güzeldi.,10.0,10.0,10.0,1601346105
Lezzetinde hiç bir sorun yok mükemmel. Yalnız kaçıncı siparişim olmasına rağmen hala 45 50 dakikadan önce gelmiyo. Hıza 0 veremiyor muyuz?,1.0,8.0,10.0,1601346105
Lavas degistirin ve çok kuru yapıyorsun 3 kere sipariş verdim içinde de berbat geldi kusura bakmayınca ne tat vardı.,1.0,1.0,1.0,1601346105
Yıllardır bozulmayan lezzet.,10.0,10.0,10.0,1601346105
Etii yok gibiydi içinde beğenmedim fiyatı da diğer restoranlara göre pahalı birdaha sipariş vermeyeceğim.,1.0,1.0,1.0,1601346105
Kurye murat bey teşekkürler seni yorduk yağmurda.,10.0,8.0,8.0,1601346105
Nice.,10.0,10.0,10.0,1601346105
Muhteşem di ellerinize sağlık.,10.0,10.0,10.0,1601346106
Künefe soğuktu.,10.0,10.0,10.0,1601346106
Kuzu şiş çok kötüydü ciğerde eh iste.,9.0,9.0,3.0,1601346106
Efsane.,10.0,10.0,10.0,1601346106
Paketçi :((.,1.0,1.0,1.0,1601346106
Elinize sağlık.,10.0,10.0,10.0,1601346106
Eh.,1.0,1.0,1.0,1601346106
Güzel.,10.0,10.0,10.0,1601346106
Lavasi yakmistiniz.,8.0,9.0,8.0,1601346106
On numara hizmet.,10.0,10.0,10.0,1601346106
"Urfa yedim güzeldi, tavsiye ederim.",9.0,10.0,10.0,1601346106
Lezzetin başkenti adeta.,10.0,10.0,10.0,1601346106
İlk defa puan kırdım sebebi tavuğa yapışan közler ve bunların temizlenmemesi. Siz hazirlarken görürsünüz ama biz yerken göremiyoruz içini açınca dürüm dağılıyor biraz daha dikkat lütfen.,10.0,5.0,5.0,1601346106
Güzeldi.,10.0,10.0,10.0,1601346106
Süper.,10.0,10.0,10.0,1601346106
Defalarca sipariş verdiğim yer hiç bu kadar kötü gelmemişti adana sütümün içerisine sadece kocaman kocaman doğranmış domates koymuşlar ve domatesler bozuk gibi kokuyordu yanında içerim diye kola söyledim dışardan getirmişler ateş gibiydi içemedim dürümüde yiyemedim arayınca da sdece k. Bkmayn dyorlar.,1.0,1.0,1.0,1601346106
Güzel.,8.0,8.0,10.0,1601346106
Her zmaanki bedir usta lezzette sorun yok.,8.0,8.0,8.0,1601346106
Herzamnki gibi efsane ve çok hızlı.,10.0,10.0,10.0,1601346106
Zile basmayın diyorum adam kornaya basıyor motor ile :) şaka gibi.,1.0,7.0,8.0,1601346106
Güzeldi.,8.0,8.0,8.0,1601346106
Fena değil yoklukta 10 numara akar.,9.0,8.0,8.0,1601346106
Herşet on numara bitek ciğer dürüm tuzsuzdu o kadarıda olur. Hayırlı işler.,10.0,10.0,9.0,1601346106
2 urfa 1 ciğer dürüm söyledim urfalar iyiydi ama ilk defa ciğer şişin dana ciğerden yapıldığını gördüm ve attım çöpe bunun danadan olduğunu belirtmeniz lazım ciğer hariç yenebilir.,8.0,8.0,5.0,1601346106
Gayet başarılıydı.,10.0,10.0,10.0,1601346106
Lavaşı çok kuruydu ve lezzet diye birşey yoktu.,5.0,5.0,5.0,1601346106
Yazık içinde et göremedik tutulan her lezzet gibi buda bitmiş.,1.0,1.0,1.0,1601346106
