food_id,food_name,food_price,food_category,food_score
d12e8666-8b9f-42a2-ab9d-4d9181c85a63,Adana Kebap,"28,00 TL",Kebaplar & Izgaralar,5.0
81c68385-7e89-4181-851b-f560e3955ea0,Urfa Kebap,"28,00 TL",Kebaplar & Izgaralar,4.0
22c20f85-8d92-4d79-a2bc-73142425c054,Et Şiş,"28,00 TL",Kebaplar & Izgaralar,0.0
6d4e8580-83d2-4224-8870-7ff48a599c8e,Tavuk Şiş,"28,00 TL",Kebaplar & Izgaralar,5.0
283ea644-a778-4eb5-bd42-3c2f75e9372d,Ciğer Şiş,"28,00 TL",Kebaplar & Izgaralar,4.0
9308e05c-931a-4770-92ab-a6b4080688f7,Tavuk Kanat,"28,00 TL",Kebaplar & Izgaralar,5.0
0f987614-f05b-49d0-9582-58e8ca85a836,Adana Dürüm,"14,00 TL",Dürümler,15.0
36e74c19-ec38-45a6-9854-1b4b88b3b07a,Urfa Dürüm,"14,00 TL",Dürümler,14.0
849cb368-524a-461a-b006-574c5e701d97,Et Şiş Dürüm,"14,00 TL",Dürümler,5.0
1dbe0435-34c3-433b-bb1a-107b05c641b3,Tavuk Şiş Dürüm,"14,00 TL",Dürümler,15.0
be96ad13-a3eb-4620-9874-c7cb30ea703c,Ciğer Şiş Dürüm,"14,00 TL",Dürümler,9.0
5ba7fb2f-e0c0-4cff-8c40-26bfd926bf09,Künefe,"10,00 TL",Tatlılar,7.0
ac3e46e4-4f9d-40e5-be1a-04322b45774e,Poşet,"0,25 TL",Poşet,5.0
