comment_text,comment_speed,comment_service,comment_taste,comment_time
Güzeldi.,9.0,9.0,9.0,1606607919
Paketci abimiz çok efendi. Lezzetli ve hızlı geldi.,10.0,10.0,10.0,1606435119
Everything perfect.,10.0,10.0,10.0,1606435119
Malzemeer. Cigdi dom pişmeden koymuşlar.,3.0,3.0,3.0,1606348719
Siparis notlarina bakilsin artik.,10.0,1.0,10.0,1606348719
Lezzet.,9.0,10.0,10.0,1606262319
Tam zamanında geldiler ama biraz erken bekliyordum ama lezzet servis mükemmeli. Herkeze öneriyorum.,8.0,10.0,10.0,1606262319
Perfect and very good tasty and quickly delivery.,10.0,10.0,10.0,1606175919
Güzel.,10.0,9.0,9.0,1606175919
Buz gibi geldi.,1.0,4.0,2.0,1606175919
Fena deil.,10.0,10.0,10.0,1606175919
Patates dürüm buz gibi geldi. Light cola istedim normal geldi.,1.0,1.0,1.0,1606089519
"Lezzet öle süper ötesi değil, idare ederdi.",10.0,10.0,8.0,1606089519
"1, 5 porsiyon buysa teki nasıl olurdu anlamadım...",10.0,1.0,8.0,1606003119
Hız ve paketleme iyiydi. Fakat lezzeti alacele yapılmış gibiydi.,10.0,8.0,5.0,1606003119
Herzamanki gibi hızlı ve lezzetli.,10.0,10.0,10.0,1606003119
Coook iydii ama hamburger etini daha kaliteli bir kıymadan yapabilirsiniz.,10.0,10.0,8.0,1605916719
Efsane güzeldi.,10.0,10.0,10.0,1605916719
Hem hızlı hem lezzetli.,10.0,10.0,10.0,1605830319
Güzel her zamanki gibi.,10.0,10.0,10.0,1605743919
Sipariş notunu yazmayı unutmuştum 10 dj sonra farkettim. Papates ve pul biber koyulmasını istedim. Daha paket restaurantan çıkmamışken istedediklerimi koymadilari çünkü hazırlanmış :) ekmegin içini açıp ürün eklemek zor geldi herhalde.,1.0,1.0,1.0,1605743919
Very nays.,10.0,10.0,10.0,1605657519
Servis kurye konusunda degisiklik sart.,10.0,2.0,9.0,1605657519
Tost getirdiniz içine peçete.,2.0,2.0,2.0,1605657519
Fhena.,9.0,9.0,9.0,1605657519
Ekmek sevenlere özel tavuk dürüm sadece ekmek yiyebilirsiniz.,10.0,8.0,1.0,1605571119
Her şey muhteşem bir de notları dikkate alsanız keşke.,9.0,9.0,9.0,1605571119
Galatasaray eşofmanıyla kapıya ürünü getiren çalışanınız bütün kaliteyi bitirdi. Bir daha sipariş vermeyi düşünmüyorum.. Biz de böyle fenerbahçeliyiz.,10.0,1.0,5.0,1605484719
Birqz tatsız gibiydi.,8.0,8.0,8.0,1605484719
Nice.,9.0,9.0,9.0,1605484720
Valla. Super eksizisik hazırlıyorlar nktlqri okuyolar lezzetli.,10.0,10.0,10.0,1605398320
Çok lezzetli hızlı kibar.,10.0,10.0,10.0,1605311920
Hız artarsa mükemmel olur.,7.0,9.0,9.0,1605311920
Sosisli patsoda sosis yok...,10.0,10.0,5.0,1605225520
Süper.,10.0,10.0,10.0,1605225520
Tavuk döner yanmıştı.,8.0,4.0,3.0,1605225520
Güzeldi.,10.0,10.0,10.0,1605225520
Allahım sana geliorum.,10.0,10.0,10.0,1605225520
Adamlar jet hızında getiriyor.,10.0,10.0,10.0,1605225520
Eskiye göre içindeki malzeme azalmış. Yanında sadece ıslak mendil geldi. Notlara dikkat ettikleri için teşekkürler.,10.0,1.0,5.0,1605139120
"Kumruyu 20 tl yapmışsınız eyvallah ama buz gibi de yollamazsınız. Kaşar sertti, üstündeki sucukların içi donmuştu. Artık eski bir kumrumu yolladınız bilemem. Ya her şeyi geçtim paketin içine bir tane bile turşu koymamışsınız. Son zamanlarda yediğim ve para verirken içimin sızladığı en rezil yemekti.",4.0,1.0,1.0,1605139120
Soğuk geldi.,6.0,8.0,7.0,1605139120
On numara.,10.0,10.0,10.0,1605052720
Ohh.,10.0,10.0,10.0,1604879920
Güzell.,10.0,10.0,10.0,1604879920
Güzeldi fena değildi patates kızartmasını kağıda değilde bir ambalaja koyarsanız daha iyi olur kağıta yapışmıştı ıslak mendilde koyunuz lütfen.,10.0,10.0,10.0,1604879920
Lezzetli.,8.0,8.0,8.0,1604793520
Lezzetli.,8.0,8.0,8.0,1604793520
Evimle restaurantın arası 5 dk mesafe olmasına rağmen siparişimi 1 saati geçkin sürede teslim ettiler.,1.0,6.0,6.0,1604707120
Bakır isimli paketçiniz güler yüzle bi kardeşimiz sunumu güzeldi teşekkürler.,10.0,10.0,10.0,1604707120
Çok fazla pişmiş eti.,10.0,10.0,6.0,1604620720
Deri cikti hos degildi durum.,10.0,10.0,1.0,1604620720
Sipariş verdiğinizde pişman olmayacaginiz bir işletme.,10.0,10.0,10.0,1604620720
Lezzetli.,8.0,8.0,8.0,1604620720
Lezzetli.,8.0,8.0,8.0,1604534320
Kötü...,1.0,1.0,1.0,1604447920
Lezzetli.,8.0,8.0,8.0,1604447920
Tam 1 saat 10 dk bekledik.,1.0,1.0,1.0,1604361520
Süper.,10.0,10.0,10.0,1604361520
Not kısmını okuyorlar arkadaşlar... İlk defa görenler fav.. Teşekkürler.,10.0,10.0,10.0,1604361521
Açıklamalar kısmında ki isteklere dikkat ettiğiniz için teşekkür ederiz.,10.0,10.0,10.0,1604361521
Lezzetli.,8.0,9.0,8.0,1604275121
Tost diye kumru getirmeyin.,1.0,1.0,1.0,1604275121
"Bir çok kez sipariş verdim buradan fakat ilk defa bu kadar kötü servis ile karşılaştım. Kısa sürede gelmesine rağmen soğuktu, turşu istedim yoktu, peçete aradım içinde o da yoktu. Sadece tost ve küçücük turşu paketi yollanmisti. Normalde her zaman memnun kaldım fakat bugün ne yazık ki beğenmedim.",10.0,2.0,6.0,1604275121
"Yazdığım not okunmuyor, siparişin içinden çıkarılmasını istediğim şey çıkarılmamış ve hamburger ekmeği soğuktu. Pos arızanız yüzünden kuryenizle kapıda 20 dk bekledik. Sunduğum çözümler için oralı bile olmadı. Yıllardır sipariş verdiğim yersiniz ama son zamanlarda maalesef hizmetiniz çok düştü...",10.0,1.0,1.0,1604275121
Çok iyiydi.,10.0,10.0,10.0,1604188721
Geç geldi patates rezaletti peçete ketçap mayonez yoktu ekmekte iyi değildi.,1.0,1.0,1.0,1604188721
