comment_text,comment_speed,comment_service,comment_taste,comment_time
Güzel.,10.0,10.0,10.0,1606610821
Pilavın tadı tavuğun tadı her şey çok güzeldi ellerinize sağlık.,10.0,10.0,10.0,1606524421
Pilav cok yagliydi havva abla kusura bakma dusuk puan vermek zorunda kaldim.,8.0,9.0,6.0,1606351621
Tavuk biraz kuruydu ve biraz daha nohutu fazla olabilirdi onun dışında gayet güzel keyifli ve güler yüzlü paketçileri var deneyin derim pişman olmazsınız.,10.0,10.0,8.0,1606265221
Sporcu menüsü son derece doyurucu.,9.0,9.0,9.0,1605919621
Başarılı.,9.0,9.0,9.0,1605833221
Porsiyon yine azdı söylediğime göre.,7.0,6.0,7.0,1605660421
Pilav pişseymiş çok lezzetli olacakmış ama pişememiş. Halbuki sipariş gelene kadar geçen sürede pilav 5 kez baştan pişerdi. Boğazımda kala kala yedim.,3.0,6.0,4.0,1605660421
Soguk geldi pilav.,10.0,9.0,9.0,1605574021
Nohutlu pilavda neredeyse nohut yoktu. Pilavın üstüne birkaç tane konmuş ve geçilmiş. Ve dibinde inanılmaz yağ vardı. Ödeme de çok sorun yaşadık. Cihaz bir türlü ödemeyi almadı.,8.0,6.0,3.0,1605574021
Süper lezzet.,10.0,10.0,10.0,1605487621
Rahatsız edecek kadar yağlı. Ayrica menüde yazan tavuk gramajı kesinlikle doğru değil.,7.0,3.0,2.0,1605228421
Kokoreç baya lezzetli.,10.0,10.0,10.0,1605142021
Gayet lezzetli ve doyurucu. Hızlı geldi.,9.0,9.0,8.0,1605142021
Güzel.,8.0,8.0,8.0,1605142021
Sozun bıtıgı yer damak tadının basladıgı andayız.,10.0,10.0,10.0,1605142021
Tavuklu pilavı kıvamında ve doyurucu.,8.0,8.0,9.0,1604969221
Corbaları cok lezettlı idi ve cok yağli değildi gibi geldi hatda birdaha deneyeceğim :).,9.0,9.0,9.0,1604969221
Eh.,7.0,7.0,7.0,1604882821
Kokoreçi lezzetli :).,8.0,9.0,10.0,1604882821
Fena değil.,8.0,8.0,8.0,1604623621
Cok lezzetli yapiyolar bagimlisi olduk artik.,10.0,10.0,10.0,1604537221
Bazen pilav tam pişmemiş geliyor.,1.0,10.0,1.0,1604450821
Güzeldi.,10.0,10.0,10.0,1604364421
Lezztolarak her zamanki gibi güzeldi fakat notlar hiç okunmuyor.,7.0,4.0,9.0,1604278021
Muhtesem..,10.0,10.0,10.0,1604278021
Pilav biraz kuruydu ama lezzetli beğendik.,10.0,10.0,10.0,1604278021
Fena değildi.,7.0,7.0,7.0,1604191621
Çok iyi sadece yemeği koyduğumuz alüminyum tabak küçük.,9.0,9.0,10.0,1604105221
Lezzet güzel ama tavuğu 75 gr tavuk seçmeme rağmen normalde ki 50gr dan az geldi biraz daha dikkat edilebilir.,8.0,8.0,8.0,1604018821
Bi tuhaf bi pilav. Diri biraz. Yani daha iyi beklerdim ilk denememdi.,5.0,7.0,2.0,1604018821
Bu sefer biraz fazla yavaş geldi.,7.0,10.0,10.0,1604018821
Harikasınız.,10.0,10.0,10.0,1604018821
Güzeldi.,9.0,9.0,9.0,1604018821
Atom tost ve kahveci tostu siparis ettik ve cok lezzetliydi ellerinize saglik herkese tavsiye ederim. Serviste gayet hizliydi.,9.0,9.0,10.0,1604018821
Pilav biraz kuruydu gayet doyurucu ve güzeldi.,10.0,10.0,8.0,1603981075
