comment_text,comment_speed,comment_service,comment_taste,comment_time
Özellikle patatesler o kadar güzel kızarmışki sanki anne eli değmiş kadar lezzetliydi...,10.0,10.0,10.0,1606526988
Süper.,10.0,10.0,10.0,1606440588
Çok iyi başkan.,10.0,10.0,10.0,1606354188
Müko.,10.0,10.0,10.0,1606354188
Süper.,10.0,10.0,10.0,1606354188
Hiç bizza yememişim bu zaman kadar efsane.,10.0,10.0,10.0,1606354188
İyiydi..,10.0,10.0,10.0,1606267788
Pizzanın külünü getirmişler sanki ful yanıktı.,10.0,1.0,1.0,1606267788
Herşey çok güzeldi patatesler bir harikaydı anne eli değmiş gibi. Sabahımızı aydınlattınız teşekkür ederiz.,10.0,10.0,10.0,1606267788
"Sıcak ve lezzetli pizzadan, getiren kurye arkadaşa kadar herşey 10 numaraydı. Kesinlikle tavsiye ederim.",10.0,10.0,10.0,1606181388
Güzeldi her şey. Sıcacık gelmişti.,10.0,10.0,10.0,1606094988
Resmen kuryeleri elle secmissiniz hepsi mi kibar efendi olur tekerinize taş değmesin gencler.,10.0,10.0,10.0,1606008588
The dough tasted like burnt bread.,10.0,8.0,6.0,1606008588
Çok iyiydi baharatı ve mendilide fazladan koymuşlar sağolun.,10.0,9.0,9.0,1605922188
On numara beş yıldız.,10.0,10.0,10.0,1605922188
Olması gerektiği gibiydi :).,10.0,10.0,10.0,1605922188
Her zaman en iyi.,10.0,10.0,10.0,1605922188
"Göksel beye çok teşekkür ediyorum elektrik olmamasına rağmen hava şartlarının zorluğuna rağmen kalitesi ve kibarlığı için, bu arada bizim güvenlik pizzaya bayılmış -).",10.0,10.0,10.0,1605835788
Hamuru aşırı ince ve sossuz.,8.0,8.0,7.0,1605835788
Servisiniz cidden çok zayıf ne ketçap ne mayanez koymuyorsunuz pizzalarin yanlarında da çok yanık her gün söylüyoruz sizden ama biraz dikkat edin lütfen.,9.0,1.0,9.0,1605749388
Herşey muhteşemdi teşekkürler.,10.0,10.0,10.0,1605662988
Türkiyede ki pizzalar yurt dışında ki pizzalara göre daha lezzetli ayrıca müşteriye ilgi alakada çok mükemmeller.,10.0,10.0,10.0,1605490188
Harika.,10.0,10.0,10.0,1605490188
Makarna fena değil ama standart tariften biraz farklı bir bolonez.,10.0,10.0,8.0,1605403788
Her zamanki gibi harikaydi başka bir yerden pizza yemiyorum.,10.0,10.0,10.0,1605403788
"Gecenin bir yarısı gelen güleryüzlü bir arkadaş, sıcak ve lezzetli bir pizza. Daha ne olsun? Teşekkürler.",10.0,10.0,10.0,1605403788
"Kesinlikle iyi bir tercih, pizzanın boyutu diğer markalara göre daha büyük gibi geldi. Lezzet açısından da iyi olarak nitelendirilebilir.",10.0,10.0,8.0,1605317388
100.,10.0,10.0,10.0,1605230988
Kavurmalı guzel degıldı.,5.0,5.0,5.0,1605144588
Yediğim en güzel pizza mısın...,10.0,10.0,10.0,1605144588
Pizza cok kotuydu.,1.0,1.0,1.0,1605144588
Sıcak geldi. Güzeldi.,10.0,10.0,10.0,1604971788
Herşey için ayrı ayrı teşekkür ediyorum herşey çok güzel ilgi alaka lezzet tekrar tekrar teşekkürler...,10.0,10.0,10.0,1604971788
Fena değil.,8.0,9.0,8.0,1604971788
Öncelikle notumu okuyup ricami yaptığınız teşekkür ederim. Gelen pizzalar çok güzeldi. Patatesler sıcak ve tazeydi. Çokta hızlı geldi. Herkes çok beğendi. Teşekkürler.,10.0,10.0,10.0,1604798988
Kurye bey harika insan.,10.0,10.0,10.0,1604798988
"Pizzanız leziz dominostan bıkan ben yeni lezzet bulduğum için çok mutlu oldum, sadece yanına söylediğimiz patatesler hamurlaşmış halde gelmişti başka bir problem yok. Elinize sağlık.",10.0,10.0,10.0,1604798988
Herşey gayet güzeldi hep sipariş veriyorum ama lütfen pizzaları kesin ya bıçağını kör ya aceleye geliyor 3 büyük pizzanın 3 ünüde tek tek kesmek zorunda kaldım bıçakla buz gibi oldu çok eziyetli dikkat etmenizi öneririm haricen hız ve lezzet gayet güzel.,10.0,6.0,10.0,1604712588
Aslında pizzalarınızı çok seviyoruz sürekli burdan sipariş veriyoruz ancak son 2 siparişimde mantardan kaynaklı sanırım mide sıkıntısı yaşıyoruz.,10.0,10.0,7.0,1604626188
Uzun zamandir yediğim en lezzetli pizzaydi.,10.0,10.0,10.0,1604539788
"Gayet güzel pişmiş, lezzetli ve çok hızlı geldi.",10.0,10.0,10.0,1604539788
Büyük boy pizzalar gerçekten doyurucu ve lezzetli tavsiye ederim.,10.0,10.0,10.0,1604453388
