comment_text,comment_speed,comment_service,comment_taste,comment_time
İyi calismalar.,10.0,10.0,10.0,1606614878
Kesinlikle tavsiye ediyorum herşey güzeldi.,10.0,10.0,10.0,1606528478
Çiğ köfte gayet iyi abimizde bi o kadar güleryüzlüydü. ).,10.0,10.0,10.0,1606355678
Çok az ve lezzetsiz.,1.0,1.0,1.0,1606269278
Tad güzeldi gelme hızıda iyiydi ki çoğu yerin getirme hızı berbat servis normaldi paketlenmiş bir şekildeydi ben sevdim.,10.0,10.0,10.0,1606182878
Hız iyiydi fakat lezzet ve serviste aynısını söyleyemeyeceğim saman yiyor gibiydim.,8.0,6.0,3.0,1606182878
Böyle mükemmel bi tat yok çok beğendim kuryede hızlı geldi serviste aynıydı çok teşekkürler.,10.0,10.0,10.0,1606182878
Lezzet mükemmel yeşillik bol ve taze kesinlikle öneririm.,10.0,10.0,10.0,1606010078
"Ayanları unutmuşsunuz, limon ve marullar çürüktü, lavaslar bayattı.",9.0,5.0,9.0,1606010078
Çok iyiydi tadı sosları marulda gayet iyiydi lavaşta iyiydi kuru değildi baya sevdim yorumların bence çoğunun alayı karalama çalışması kendinize dikkat edin herhangi dükkan size çizik atmaya çalışıyor.,10.0,10.0,10.0,1606010078
Çok güzeldi ilk yememe ramen lezzetli ve hızlı geldi.,10.0,10.0,10.0,1605923678
Severek yiyoruz :).,9.0,9.0,9.0,1605837278
"Servis kusursuz, kurye hızlı. Lezzet ise 10 numara. Acılı ve acısız seçeneği mevcut ve acılısı gerçekten acılı. Uzun süredir hazır çiğköftelerde gerçekten acılı bulamamıştım. Ha bu arada garnitürü fazla fazla koyan ustaya sevgiler selamlar :).",10.0,10.0,10.0,1605837278
Yemekler harika lezzet süper.,10.0,10.0,10.0,1605750878
Ellerinize saglık abim benim hem temiz hem leziz.,10.0,10.0,10.0,1605664478
Vodofena menü siparişi verdim menü olduğu ayranın parasıda içinde olduğu halde ayran gelmemiş birde ayranın olmadığını söyleyince ben hep böyle götürüyorum bir ara bu tarafa geldiğimde getiririm dendi ayran menüde olmasaydı ayran sipariş ederdik sonra ayranı napalım üslup hiç hoş değil.,1.0,1.0,1.0,1605664478
Yorumlara aldanmayın arkadaşlar genelde baya yorumlara göre alışveriş yaparım fakat nedense ben yorumlarda olan hiçbir şikayetin aynısı bende oluşmadı tamamiyle beğendim ellerinize sağlık.,10.0,10.0,10.0,1605491678
Sen adamsın abi.,10.0,10.0,10.0,1605405278
"Bir saatten fazla sürdü gelmesi. Lavaşı çok kalitesizdi. Hamurundan mıdır nedir artık bilmiyorum, böyle garip bir koku geliyordu ve bayat bir tat verdi. Çiğ köfte desen o zaten ayrı bir olay. Soslar zar zor kurtarmış çiğ köftenin tadını. Hiç memnun kalmadım. Bunlar da bozmuş.",1.0,1.0,1.0,1605318878
Tadı çok kötüydü yiyemedik. İçindeki marullarda çok önceden kalmıştı siyah olmuş.,1.0,1.0,1.0,1604973278
