comment_text,comment_speed,comment_service,comment_taste,comment_time
Hayırlı işler.,8.0,10.0,10.0,1606529277
Fıstıklı künefe içi fıstıklı olur. Üstüne bir tutam fıstık tozu atmakla fıstıklı olmaz. Olsa olsa üstü çok az fıstıklı künefe olur.,9.0,7.0,7.0,1606442877
Keşke puanlamada 10un üstünde sayı olsaydı dediğim sayılı işletmelerdensiniz. :).,10.0,10.0,10.0,1606442877
Çok lezzetliydi ve çok sıcak geldi öyle ki yiyebilmek için soğumasını bekledik.,10.0,10.0,10.0,1606356477
Gecenin bu saatinde böyle bir lezzet beklemiyordun. Ellerinize sağlık.,10.0,10.0,10.0,1606356477
Mükemmel lezzet servisi de çok iyi. Teşekkürler.,10.0,10.0,10.0,1606270077
Lezzetliydi. Gönül rahatlığı ile sipariş verebilirsiniz.,10.0,10.0,10.0,1606270077
"Belirtilen sürede geldi, lezzeti yerindeydi. Ama servis bir hayli eksikti. (çatal, bıçak, peçete.. Vb hiçbirşey yoktu. ).",10.0,5.0,10.0,1606183677
10 numara.,10.0,10.0,10.0,1606097277
Hız ve servis çok ağır... !,1.0,1.0,10.0,1606097277
Bos kadayıfın üstüne fıstık serpmişler billuriye diye satıyolar kullandıkları yağ aşırı kalitesiz. Berbat ötesi bu tada 1 bile fazla.,9.0,1.0,1.0,1606097277
Künefe kismen yanikti ve cok sertti katmerde baska yedigim aubeden cok farkliydihiz servis zayif 1 saat 5 dk sonra geldi 5 dk mesafede oturuyorum tekrar siparis vermem zor.,1.0,1.0,2.0,1606097277
Hem çok sıcak hem çok lezzetliydi. Bu kadar sıcak gelebilmesine şaşırdık hatta. Ellerinize sağlık.,10.0,10.0,10.0,1606010877
Kesinlikle tavsiye ederim.,10.0,10.0,10.0,1605838077
Evime yürüyerek 5 dakika mesafede olan yerden sağlık sorunları nedeniyle sipariş verdim ama 5 dakikalık yerden tam 1bucuk saatte ve soğuk künefe getirdiler asla memnun kalmadım.,1.0,1.0,1.0,1605751677
Künefelerin köşeleri yanıktı firimanızı sevdiğim için puan kesmiyorum umarım bu sorunu çözersiniz iyi çalışmalar.,10.0,10.0,10.0,1605751677
Tatlı gayet güzel ama evime max 3-4 dakika uzaklıktaki mesafe için bile 35 dakikadan uzun sürede geldi hız berbat.,2.0,5.0,9.0,1605665277
1 saat 20 dakika sonra geldi daha ne diyeyim...,1.0,1.0,6.0,1605578877
Kaymak sıcaktan tamamen erimişti.,8.0,7.0,9.0,1605578877
Severek tüketiyorum ürünlerini fakat kendilerinden kuryelerine adam akıllı bi çift eldiven alıvermelerini rica ediyorum. Havalar motor kullanmak için oldukça soğudu.,9.0,9.0,9.0,1605578877
Gayet hızlı geldi ama künefe bu sonuçta çok sıcak olması lazım. Serviste olunca soğuyor ister istemez. Ona rağmen çok iyiydi.,7.0,8.0,8.0,1605492477
"Baklava çok taze değil muhtemelen sipariş veriyorlar onlarda. Yine de tadı fena değil, boğazda hafif bir yanma yapsa da iyi niyetli olarak glukoz şurubu olduğunu düşünmüyorum. Servis ve hiz iyi.",10.0,10.0,7.0,1605492477
Güzeldi.,10.0,10.0,10.0,1605492477
Hocam fıstıklı diye yazıyorsunuz fıstık diye bir şey yok.,5.0,5.0,10.0,1605233277
Superdi tek sorun şerbeti poşete dokulmustu.,10.0,10.0,10.0,1605233277
Her zamanki gibi muhteşem. Ustanın ellerine sağlık..,10.0,10.0,10.0,1604887677
Bu sefer tatlının içinden çok fazla fıstık kabuğu çıktı.,7.0,10.0,8.0,1604801277
Künefe yanık gelmişti aradım öyle güzel telafi ettiler ki. Burdan tekrar çok teşekkür ediyorum.,10.0,10.0,10.0,1604714877
Aydında yediğim en güzel künefe.,10.0,10.0,10.0,1604628477
Künefelerin kenarları resmen yanık geldi biraz daha dikkatli olursanız daha iyi olur yanik olmasa idi lezzetinde sıkıntı yok.,7.0,7.0,6.0,1604542077
Yediğim en güzel künefeydi.,10.0,10.0,10.0,1604542078
Servis çok yavaş tek sıkıntı bu.,1.0,7.0,9.0,1604455678
"Servis çok geç geldi, birde hayatımda bu kadar da kötüsünü yememiştim, çok kuru geldi künefe ilk defa künefe yesem bi daha yemezdim.",7.0,7.0,4.0,1604196478
"Malzeme bol, lezzetli, sıcak ve hızlıydı. Elinize saglık.",10.0,10.0,10.0,1604110078
Belki sizden 30 kere sipariş verdim dün gelen künefe kurumuştu çatal geçmedi dikkat edin.,10.0,10.0,1.0,1604110078
Katmerin yarısı yanikti.,7.0,7.0,4.0,1603985932
"500 gr baklava 45 tl, 30tllik baklava söyledim ve bana gelen baklava 267 gr ki bunun içinde baklava kutusunun (42 gr) ağırlığıda mevcut yani gelen baklava 225 gr, yollamanız gerelen baklavadan 108 gr eksik her baklava 23 gr değerinde olduğuna göre 4 baklavayı siz yediniz sanırım afiyet olsun.",5.0,1.0,8.0,1603985932
Kaşarı aşırı kötüydü buz gibiydi.,1.0,1.0,1.0,1603985932
"Eve sipariş vermektense gidip bizzat yemek bundan sonraki tercihim arasinda, yinede güzeldi teşekkürler.",6.0,6.0,6.0,1603985932
Yağmurlu günde sipariş zordur eminim ki bunu göz önünde bulunduruyorum serbeti posetten akıyordu buna bagladım ama tadı da hem soguk hem kuruydu önceki yediklerim gibi degildi.,5.0,3.0,3.0,1603985932
Ellerinize sağlık gerçekten lezzetli olmuştu fıstık biraz daha bol atarsanız muhteşem olur.,10.0,10.0,10.0,1603985932
Hiz ile ilgili türkiye genelinde siparişi zamanında yetiştirebilmek adına cesitli kazalar geçiren gecimini kuryelike sağlayan arkadaşlarin cani paradan kıymetli dir protesto amaçlı hiz puani alanınin kaldirilmasi icin bu puan hgs ile ilgili degildir.,1.0,10.0,10.0,1603985932
Künefe hatay dan gelmiş kadar oldu.. O kadar çok bekledim... Keşke beklediğime değseydi... Tadı da felaketti... Bir daha mı? Asla.,1.0,1.0,1.0,1603985932
Sıcaktı şerbeti tadı yerindeydi tavsiye ederim.,10.0,10.0,10.0,1603985932
