comment_text,comment_speed,comment_service,comment_taste,comment_time
Mükemmel.,10.0,10.0,10.0,1606616768
10/100 ilk siparişimdi ben bayıldım şiddetle tavsiye ediyorumlezzet servis mükemmeldi ve hızlı geldi.,10.0,10.0,10.0,1606530368
Bu puanları kesinlikle hakettiğini düşünüyorum etli çorbası ve adana dürüm çok güzeldi çiğköfteyi pek beğenmedim ama yine de verilir bu puanlar.,10.0,10.0,10.0,1606443968
Ellerinize sağlık.,10.0,10.0,10.0,1606443968
Ya çok güzeldi hizmette güzeldi ama bana biraz sulu geldi o yüzden 1 puan kırdım ama tadı lezzeti ve etti çok boldun özelikle çok bol etliydi.,10.0,10.0,9.0,1606443968
Mükemmel lezzet tavsiye ederim.,10.0,10.0,10.0,1606443968
Bundan sonra favori mekanımfiyatlar ve lezzet çok iyi.,10.0,10.0,10.0,1606357568
Arkadaşıma sipariş verdim numarasına ulaşamayınca yemek gitmedi apartmana sormuşlar bulamamışlar zaten 4 daire var neyi bulamadınız adres de yazıyor. Çöpe atılmış yemek. Ben bu restorandan devamlı sipariş veren biriyim bu sondu sağolun çok ilgisiz ve anlayışsızsınız...,1.0,1.0,1.0,1606357568
Lezzeti guzel begenıyorum ama pidesi bıraz daha fazla olabilir.,9.0,9.0,9.0,1606357568
Tavsiye edilir a.,10.0,10.0,10.0,1606357568
Hiç lezzetli değil.,1.0,1.0,1.0,1606357568
Efsane.,10.0,10.0,10.0,1606357568
Bence gayet başarılı yorumlarda bahsedildiği gibi küçük değil fiyat karşılıklı baza alırsak kaliteli ve başarılı.,9.0,10.0,10.0,1606357568
Kokoreç yeni yemeye başladığım bi lezzet. Gayet lezzetli buldum. Geçen söylediğim de baharat yok gibiydi buna nazaran. Bu daha iyiydi baharatlı.,10.0,9.0,10.0,1606271168
Çorbanin tarifi et haslayip suyunda aksama kadar kaynasin sonra da siiparis gelsin suyu kat tekrar ısıt bir nimet bu kadar mi rezil edilir ne diyim. Hizli geldi servis iyi ama lezzet sıfır.,10.0,9.0,1.0,1606271168
Tombik harika tebrikler.,10.0,10.0,10.0,1606271168
Çorba su gibiydi kanat iyiydi çiğ köfte kötüydü.,5.0,5.0,1.0,1606271168
Sipariş verdikten sonra 10 dakika içinde geldi. Çok yakın mesafeydi ama çorba soğuktu. Döneri fiyata göre fena değil ama sostan dolayı ekmeği hamurlaşmıştı.,9.0,5.0,6.0,1606184768
Kesinlikle tavsiye ederim a.,10.0,10.0,10.0,1606184768
Helal size.,10.0,10.0,10.0,1606184768
"Siparişi tamamlamak için 2 poşet istedim göndermemişler. Marketten aldığım hazır döner bundan kat kat güzel, kendi sevdiklerine bu döneri yedirebileceklerini düşünmüyorum.",5.0,3.0,3.0,1606184768
Hayatımda önüne konan en sıcak yemekti diyebilirim. Cidden evde hazırlasam sofraya koyana kadae bu kadar sıcak kalmazdı. Ayrıca çok özenli paketlemişlerdi. Tadı ise harika porsiyonları doyurucu ve çok leziz. Elinize emeğinize sağlık.,9.0,10.0,10.0,1606184768
Bu soğuk havada güzel corbalariniz sayesinde isiniyorum.,10.0,10.0,10.0,1606184768
Süper.,10.0,10.0,10.0,1606098368
1. 5 iskender değildi :(.,9.0,6.0,6.0,1606098368
Hem sıcak geldi hemde çok lezzetliydi ikramlarıda bol tutmuşlar teşekkürler.,10.0,10.0,10.0,1606098368
Dürüm soğuk geldi çorba iyiydi.,8.0,9.0,7.0,1606098368
Sipariş verdikten tam 1 saat 20 dakika sonra elime ulaştı. Soğuktu.,1.0,7.0,7.0,1606098368
"İskender soyledim ve şu ana kadar gordugum en kucuk porsiyon olabilir, yazık.",10.0,5.0,9.0,1606098368
Hızlı ve sıcak güleryüzlü personel.,10.0,10.0,10.0,1606098368
Yemeğim 70 dk da buz gibi geldi. 1lt kola istemiştim 330 ml geldi.,1.0,5.0,1.0,1606011969
Çok hızlı güzel servis. Evim uzakta olmasına rağmen sıcacık geldi çorbalar. Kelle paça bol malzemeli ve efsane. İşkembe de lezzetli. Ayrıca porsiyon doyurucu.,10.0,10.0,10.0,1606011969
"Kokoreç bence gayet lezzetliydi. Ekmeği diğer kokoreççilere göre çok daha büyük. Doyuruculuğu gayet iyi, lezzeti iyi eee o zaman 10/10/10.",10.0,10.0,10.0,1606011969
Ama tadı mütüş babba.,10.0,10.0,10.0,1606011969
