comment_text,comment_speed,comment_service,comment_taste,comment_time
Acildigindan beri kalitesini bozmayan gece tostu mekan. :).,10.0,10.0,10.0,1606445202
Bir paket geldi sanki ptt evrak getirmiş gibi buzz gibi.,8.0,6.0,8.0,1606358802
"Hızlı ve lezzetliydi, notu dikkate aldığınız için çok teşekkür ederim.",10.0,10.0,10.0,1606272402
Herşey çok güzeldi elinize sağlık puanım 10.,10.0,10.0,10.0,1606272402
İyisiniz.,10.0,10.0,10.0,1606272402
Mükemmel ötesi:).,10.0,10.0,10.0,1606272402
Hem çok hızlı geliyor hemde getirilen siparişler çok lezzetli elinize ve emeğinize sağlık.,10.0,10.0,10.0,1606186002
Domates ketçap mayonez seçmemize rağmen kumrularımızda yoktu. Onun dışında fena değil.,9.0,10.0,7.0,1606099602
"Normal ekmeğin içerisinde kumru yapılmamalı çünkü ekmek, kumrunun tadını tamamen bastırmış. Doyuruculuk ve içinde kullanılan malzeme açısından iyi fakat ekmeğin tadı kumru ekmeğine benzer olmalı.",9.0,9.0,4.0,1606013202
Süper.,10.0,10.0,10.0,1606013202
Elinize kolunuza sağlık her şey çok güzeldi. Sıcak ve çabuk geldi. Bol kazançlar.,10.0,10.0,10.0,1605926802
Gayet güzel başarılı ve doyurucu. Notlarada dikkat ediliyor. :).,10.0,10.0,10.0,1605754002
Berbat soğuk.,1.0,1.0,1.0,1605408402
"Tost değişikti yumurta çok fazlaydı, ama yine de kötü değil güzeldi.",10.0,10.0,8.0,1605408402
"Beğendim, ellerinize sağlık.",10.0,9.0,9.0,1605408402
Tostu güzeldi.,10.0,10.0,9.0,1605408402
Cok yahsidir. Valla billah.,10.0,10.0,10.0,1605235602
Güzel.,10.0,10.0,10.0,1605235602
Yine süüper.,10.0,10.0,10.0,1605149202
Iyi.,10.0,10.0,10.0,1604976402
Çok lezzetli kavurmalı chedar lı tostunuz.,10.0,10.0,10.0,1604976402
Hızlı geldi fakat tostun içerisindeki sucuklar baya ince ve tostun lezzeti görükledeki daha önce yediğim tostlara nazaran geride. Paketlemede özensiz geldi bana.,9.0,6.0,6.0,1604890002
Karadenizli olarak dogvaya bayıldım.,10.0,10.0,10.0,1604803602
Mükemmel.,10.0,10.0,10.0,1604803602
Hız servis lezzet mükemmel. Tesekkurler aybalam.,10.0,10.0,10.0,1604717202
Azerbaycan mantısı denenmeli çok iyi hizmet.,10.0,10.0,10.0,1604717202
Abii kumru dediğin böyle olur helal olsun son kuruşuna kadar hak ediyorsunuz gerçekten. Tad doyuruculuk hız 10 üzerinden 10. Bozmayın lütfen!,10.0,10.0,10.0,1604717202
Mükemmel.,10.0,10.0,10.0,1604717202
Kavurmalı cheadar lı tost mükemmel.,10.0,10.0,10.0,1604630802
Tek kelimeyle mükemmel.,10.0,10.0,10.0,1604630802
Mantı gibi birşey var sakın almayın.,3.0,3.0,3.0,1604371603
Çok püre koyuyosunuz.,9.0,8.0,6.0,1604285203
Beni bir önceki verdiğim puana pişman ettiniz teşekkürler. Pilavın porsiyonunu biraz bol istemiştim göndermişsiniz. Görükleden ayrılınca özlediğim tek şey çığırtmalı pilavınız ).,10.0,10.0,10.0,1604198803
Karacabeyli bunu beğendi.,10.0,10.0,10.0,1604112403
"Ben çok beğendim tostu çıtır çıtırdı, eşim biraz daha yağlı olabilirdi dedi sanırım bir sonrakinde nota belirtirsek yardımcı olunur.",10.0,10.0,10.0,1604026003
Çok lezzetli ve hızlı servis ellerinize sağlık.,9.0,9.0,9.0,1604026003
Ellerinize sağlık süper.,10.0,10.0,10.0,1603988257
Hayatımda yediğim en iyi tostlardan biriydi 13 dk da geldi sipariş helal olsun sıcacıktı.,10.0,10.0,10.0,1603988257
Gereksiz eskisi gibi özen yok malzemeler azaltılmış.,1.0,1.0,1.0,1603988257
Tostun içinde yumurta oldugu için sadece patatesleri yedim.,8.0,10.0,7.0,1603988257
Pilavlarından söylemiştim gerçekten çok lezzetliydi ve sıcacık getirdiler.,10.0,10.0,10.0,1603988257
Sipariş notlarını dikkatli okumanızi tavsiye ederim kolay gelsin...,10.0,10.0,10.0,1603988257
Chedarlı kumru efsane ellerinize sağlık.,10.0,10.0,10.0,1603988257
"Gecenin 1i 2si farketmeksizin nezaman sipariş versek özenle paketleyip, sıcacık, dolu dolu porsiyonuyla servis ediyorlar.. Çok başarılı bir işletme tebrik ederim, kesinlikle tavsiyede ederim..",10.0,10.0,10.0,1603988257
Gayet iyiydi.,10.0,10.0,10.0,1603988257
Aybalam aybalam.,10.0,10.0,10.0,1603988257
Memnun kaldım tavsiye ederim.,5.0,10.0,10.0,1603988257
Yine süüper.,10.0,10.0,10.0,1603988257
Çığırtmalı pilavı 1 buçuk porsiyon istedim. Sadece pilavını arttırıp benden bir buçuk porsiyon parası aldınız. Dovganın da eski tadı yok. Yakışmadı..,1.0,1.0,1.0,1603988257
Tost bir harikaydı.,10.0,10.0,10.0,1603988257
İyi.,10.0,10.0,10.0,1603988257
Bence süper.,10.0,10.0,10.0,1603988257
Sahane.,10.0,10.0,10.0,1603988257
İyi di.,10.0,10.0,10.0,1603988257
Yani krlimelerle anlatamam o kadar lezzetli azerbaycan mutfağından olması daha lezzetli çok hızlı ve lezzetli tavsiye ederim.,10.0,10.0,10.0,1603988257
Çok iyiydi bir patates için getirttik ama çok canımız çekmişti.,9.0,9.0,10.0,1603988257
Düzeltiyorum patates çok iyi :) favorim yahşi tost :).,10.0,10.0,10.0,1603988257
"Normal tost içinde bir kaşık rus salatası, ama güzel, hızlı ve lezzetliydi.",10.0,10.0,10.0,1603988257
Bayiliyorum ya cok lezzetli serviste hizli harikasiniz.,10.0,10.0,10.0,1603988257
Hızlı ve güzeldi.,10.0,10.0,10.0,1603988257
