comment_text,comment_speed,comment_service,comment_taste,comment_time
On numara.,10.0,10.0,10.0,1606531865
Herkese tavsiye ederim muhteşem dı.,10.0,10.0,10.0,1606445465
 çoook güzel hızlı geldi sıcak.,10.0,10.0,10.0,1606359065
Bukadar içibol mezeme lezzetı de kaliteside iyi.,10.0,10.0,10.0,1606272665
Pogacali margarin.,1.0,1.0,1.0,1606099865
Yemeden güne başlayamıyorum.,10.0,10.0,10.0,1606099865
Çok güzel ve sıcak geldi tavsiye edilir.,10.0,10.0,10.0,1605840665
Küt böreği yanmış ve ağır bir koku geliyordu.,8.0,8.0,5.0,1605840665
1. 5 saatte gelen yemek.,1.0,1.0,1.0,1605754265
Börek çok yağlıydı.,10.0,8.0,7.0,1605667865
Gayet güzeldi hızlı geldi lezzetli.,10.0,10.0,10.0,1605667865
10 dakika da gelen siparişi nasıl soğuk gönderebiliyorsunuz merak ediyorum.,10.0,1.0,1.0,1605581465
Efsaneydi ben böyle bir böreği hayatımda hiç yemedim.,10.0,10.0,10.0,1605408665
İyi.,10.0,10.0,10.0,1605408665
En kötü börekçi hele tahinlisi dünyanın en kötüsü.,1.0,1.0,1.0,1605408665
Bol malzeme ve lezzet.,10.0,10.0,10.0,1605322265
 sosisli açmalarınıza bayılıyorum.,10.0,10.0,10.0,1605235865
Bu kadar yağlı börek yapmayı nasıl başardınız her tarafa geçmiş.,1.0,1.0,1.0,1605149465
Taze sicak ve lezzetli geldi ayrica ikramınız icin teşekkürler..,10.0,10.0,10.0,1605063065
Eksik ve lezzetsiz.,1.0,1.0,1.0,1605063065
"Simiti beğendim, tahinli açma biraz daha tatlı olabilirdi ama beğendim, çok hızlı ve naziksiniz teşekkürler.",10.0,10.0,9.0,1605063065
 hızlı geldi sıcak tı muhteşem.,10.0,10.0,10.0,1605063065
Ben hayatimda bu kadar kotu borek yemedim.,1.0,1.0,1.0,1604976665
Servisten puan kırmamın sebebi su böreği istemiştim sıcak sıcak o.,10.0,6.0,7.0,1604890265
Şimdi sipariş elime 53 dk ulaşdi tamam yoğunluk olmuşdur anlarım ama kolayla pideyi aynı yere koymak hiç olmadı kola kutusu her yeri yağdı soğuk diildi peçete falan hiç bi şey yoktu lezetine bı şey diyemem ama böyle hız ve servis yüzünden bidaha sipariş vermiycem.,1.0,1.0,10.0,1604890265
 abi bursa lokumu mutiş bir tık hızlı olursa çok iyi olur.,10.0,10.0,10.0,1604890265
1 saat 18 dakikada geldi servisden hiç memnun kalmadım bir özür kafiydi yumurtq da buz gibiydi yiyemeden çöpe attım.,1.0,1.0,3.0,1604890265
Çok yağlıydı.,10.0,10.0,1.0,1604803865
Siparişi eksik getirmişlerdi hemen duzelttiler hediye için teşekkürler.,8.0,7.0,8.0,1604803865
"Hayatımda ilk defa en düşük puanları veriyorum. Yemek geç geldi, devamında tüm kır pideleri hamur gibi olmuş, ayran sıcak, pideler lezzetsiz yiyemedim...",1.0,1.0,1.0,1604717465
"2 poğaçanın gelmesi tam 1 saat sürdü, aşırı yağlı ve kötüydü hiç tavsiye etmem.",1.0,1.0,2.0,1604717466
Severek çok kez sipariş verdiğim bir restoran ama kıymalı kır pidesi yenilebilir gibi değildi.,8.0,8.0,1.0,1604631066
"Sıcak, taze, sadece tek kusuru tahinli söylemeyin, tahinliyi yapamıyorlar. Geri kalan herşey sıcak ve lezzetli geliyor.",10.0,10.0,10.0,1604631066
Sipariş verdim sıcak ve mazemenin içi boldu bir şey ikram etmişti ler onun adı neydi.,10.0,10.0,10.0,1604544666
Kıymalı talaş böreği istemiştim ya karıştırdınız ya da kıyma koymayı unutmuşsunuz. Bu kadar özensiz beklemiyordum.,7.0,7.0,1.0,1604544666
Berbat bir lezzet hele böreği.,1.0,1.0,1.0,1604544666
