comment_text,comment_speed,comment_service,comment_taste,comment_time
Kurye çok güleryüzlüydü.,10.0,10.0,10.0,1606540397
Öğlen saati olmasına rağmen taze ve sıcak geldi.. Tavsiye ederim.,10.0,10.0,10.0,1606540397
"Karışık poğaçada sadece peynirli zeytinli kaşarlı var. Eskiden daha çok çeşit vardı. Pizza fıstlıklı filan koyuyorlardı. Yüz yüze alsam kesin yine aynısını verirler. Masraflı geliyorsa fiyatı yükselt,.",10.0,3.0,10.0,1606453997
Hayırlı işler bol kazançlar kurye nezaketi servisi geride bıraktı.,10.0,10.0,10.0,1606367597
Hızlı servis teşekkür ederim.,10.0,10.0,10.0,1606367597
Ellerinize sağlık çok güzel...,10.0,10.0,10.0,1606108397
Sıcak ve lezzetli...,10.0,10.0,10.0,1606108397
Bu defa gelen ürünler öncekilerden farklıydı. Üzgünüm ama şaşırdım yani.,5.0,5.0,5.0,1606021997
Açma ve simitin biri nerdeyse yanık poacalar hamur sigara böreği iyiydi. Müşteri kazanmak istiyorsanız biraz daha özenli olmanız lazim.,10.0,3.0,6.0,1606021997
"Katmeriniz bildiğiniz yanmıştı usta, bu 2 oldu bir daha katmer söyleyeceğim kalmadı.",6.0,3.0,1.0,1605935597
Hızlı ve güleryüzlü servis tesekkurler.,10.0,10.0,10.0,1605849197
Çok lezzetli...,10.0,10.0,10.0,1605849197
Herşey çok güzel di hayırlı işler bol kazançlar dilerim.,10.0,10.0,10.0,1605849197
Soğuk geldi buz gibi.,10.0,7.0,5.0,1605762797
Herşey gayet mükemmel kurye nezaketi üst düzeyde iyi çalışmalar.,10.0,10.0,10.0,1605762797
Geldiğinde hamur gibi olmuştu ve çok geç geldi.,1.0,1.0,1.0,1605676397
Gayet hızlı servis teşe.,9.0,9.0,9.0,1605676397
Getiren kuryenin kibarlığı davranışı lezzeti hızı geride bıraktı.,10.0,10.0,10.0,1605503597
Gayet güzel ve lezzetliydi.,10.0,10.0,10.0,1605330797
"Ürünler taze, kaliteli malzemeler kullanılarak yapılmış içleri dolu dolu, teslimat hızlı ve kuryeniz nazik, herkese tavsiye ederim, ellerineze sağlık.",10.0,10.0,10.0,1605330797
İdare eder geç geldi.,7.0,8.0,8.0,1605071597
Güzeldi ve sıcaktı.,10.0,10.0,10.0,1604985197
Güzel.,10.0,10.0,10.0,1604898797
Ev yakın olmasına ragmen çok geç geldi lezzete öyle üst düzey deyildi.,3.0,3.0,3.0,1604898797
Özellikle yaş pasta enfesdi teşekkür ederiz ellerinize sağlık.,10.0,10.0,10.0,1604725997
Buz gibiydi sıcak diye not düşülmesine rağmen.,1.0,1.0,5.0,1604639597
Poğaça istedim börek geldi peynirli açma istedim gönderilmedi siparişim eksik geldi nasıl bir işletme burası kesinlikle tercih etmeyin.,1.0,1.0,1.0,1604380397
Sıcak ve hızlı geldi. Teşekkürler.,10.0,10.0,10.0,1604293997
Aa.,9.0,9.0,9.0,1604207597
Hız konusu dışında gayet başarılı.,5.0,10.0,10.0,1604207598
Hersey çok güzeldi elinize kolunuza sağlık teşekkür ederim.,8.0,10.0,10.0,1603997052
Herşey çok güzel di özellikle yaşpastalrı efsane gaziantebe geldim güzel yer bulamam sanıyordum ellerinize sağlık hayırlı işler.,10.0,10.0,10.0,1603997052
Sipariş vermeden önce yorumları okudum sipariş verip vermemek arasında gittim geldim herşey gayet güzel ve lezzetliydi artı güler yüzlüydu kurye.,10.0,10.0,10.0,1603997052
Herşey güzeldi teşekkürler.,10.0,10.0,10.0,1603997052
"Her zaman sıcak, bol ve lezzetli, teşekkür ederiz.",10.0,10.0,10.0,1603997052
Notlara dikkat edin.,1.0,1.0,1.0,1603997052
Çıtır simit ve poğaca güzeldi. Talaş böreği talaş böreği değil şekerli sigara böreğiydi. Amatatı güzeldi.,8.0,6.0,9.0,1603997052
Harıka.,10.0,10.0,10.0,1603997052
Müşteriye saygı duyulmuyor ve ödeme makinesini getirmedi.,1.0,1.0,1.0,1603997052
Cikolatalı pasta sipariş ettim. Gelmesi çok sürdü ve pasta hiç güzel değildi. Pastayı yiyemedik.,3.0,4.0,1.0,1603997052
Beğenerek yiyorum.,10.0,10.0,10.0,1603997052
Bayıldık.,10.0,10.0,10.0,1603997052
Sigara böreği çok güzeldi ama peynirli açması tatsızdı.,9.0,9.0,6.0,1603997052
Güzel lezzet güzel hız.,10.0,10.0,10.0,1603997052
Superdi.,10.0,10.0,10.0,1603997052
Katmer kesinlikle antep standartlarında bir katmer degildi. Asla parasını hak etmiyordu.,7.0,7.0,1.0,1603997052
Hoş.,8.0,8.0,8.0,1603997052
Güzel.,10.0,10.0,10.0,1603997052
Özellikle çıtır simitleri efsaneydi. Bu şehirde ilk defa böyle güzel bir simit yedik diyebilirim. Açmalar da çok lezzetliydi. Çok teşekkür ederiz. (müdavimleri olacağız belli ki) (bey konakları 5 numara).,10.0,10.0,10.0,1603997052
Katmer daha da iyi yapılabilirdi bir önce ki siparişimde çok beğenmiştim ama bu defa çöp oldu.,8.0,7.0,5.0,1603997052
