food_id,food_name,food_price,food_category,food_score
47a668bf-173f-4cf5-916c-587ef54f1177,Reyhanlı Humus,"12,00 TL",Mezeler,16.0
7938BDA7-8F69-44F9-9D41-EC181BDFEAD1,Cevizli Biber (250 gr.),"12,00 TL",Mezeler,21.0
FC4A163A-3AC0-403A-864D-FEFE3FD38345,Haydari (250 gr.),"12,00 TL",Mezeler,7.0
687C2DB5-0DC9-47C8-8181-85DC7BCA800F,Rus Salatası (250 gr.),"12,00 TL",Mezeler,7.0
6D396BCB-7A0E-4A4D-80D8-039F93B58B91,Abugannuş (250 gr.),"12,00 TL",Mezeler,5.0
15AF6C3D-81C5-472C-AA02-900C72EF791B,Biber Yoğurtlama (250 gr.),"10,00 TL",Mezeler,14.0
D3F8B42A-D750-40CC-B89E-C28B18B03E5D,Mütebbel (250 gr.),"10,00 TL",Mezeler,3.0
B773D217-11DD-41C5-9D09-29D33654E527,Zeytin Salatası (250 gr.),"10,00 TL",Mezeler,8.0
70328B88-3399-44CF-8ECC-0916195B2934,Humus (200 gr.),"7,00 TL",Mezeler,14.0
DDF2CA52-7E6C-48F8-87BE-1BCF1B902CBC,Humus (400 gr.),"12,00 TL",Mezeler,14.0
97670EDD-A682-49AF-BFD5-A21A86290EF6,Özel Kahvaltılık Sos,"20,00 TL",Mezeler,7.0
dc4228cf-ca85-47cd-bce4-26cfa11df411,Mütebbel,"7,00 TL",Mezeler,3.0
0827874a-5a1a-46eb-b08a-3dc2e5ef24c6,Biber Yoğurtlama,"7,00 TL",Mezeler,14.0
9b4bc656-93df-477f-a028-dca9efa874df,Cevizli Biber,"8,00 TL",Mezeler,21.0
8dd65f12-00d7-4c91-925d-7c0cdc45b423,Abugannuş,"8,00 TL",Mezeler,5.0
1289acd1-2d16-4441-99f4-2dbf4f04b11c,Bakla,"12,00 TL",Mezeler,4.0
f6982c2b-695d-49ea-92ac-b9fcfd888b47,Süzme Yoğurt,"6,00 TL",Mezeler,7.0
37ca883e-7ed9-4f91-a9bb-1e8ade4391c0,Zeytin Salatası,"7,00 TL",Mezeler,8.0
93385be2-9357-4588-85bc-b607c78124fa,Rus Salatası,"8,00 TL",Mezeler,7.0
