comment_text,comment_speed,comment_service,comment_taste,comment_time
Tatlı hediyeniz için teşekkür ederiz.,10.0,10.0,10.0,1606542395
Elinize saglik.,10.0,10.0,10.0,1606542395
Herşey özenle hazırlanmış elinize sağlık.,10.0,10.0,10.0,1606455995
Hızlı lezzetli güzel.,10.0,10.0,10.0,1606455995
Pizzaların bolluğu gayet güzeldi ve hamburgerin büyüklüğü önce gözümü sonra midemi mutlu etti paket servisteki itina ve titizlik gayet hoştu.,10.0,10.0,10.0,1606369595
Fiyatlar uygun porsiyonlar büyük ve lezzetli.,10.0,10.0,10.0,1606369595
Kumru diye servis ettiğiniz yiyeceğin kumruyla alakası yok. Size tavsiyem listeden çıkarın. Ve kumru yapmayın kesinlikle. 2 adet bazlama tost adlı ürünü de 2 adet yarım bazlama olarak düzeltin lütfen.,10.0,1.0,1.0,1606369595
Pizzalar mükemmel.,10.0,10.0,10.0,1606369595
Bazlama tosta bayıldımm.,10.0,10.0,10.0,1606369595
Hamburger ve pizzanız vazgeçilmezimiz oldu tebrikler.,10.0,10.0,10.0,1606369595
Fiyatlar hep böyle olsada yesek harikaydı.,10.0,10.0,10.0,1606369595
Hızlı doyurucu ve lezzetliydi.,10.0,10.0,10.0,1606369595
Pizza bol malzemeli büyük ve doyurucuydu son zamanda yediğim en lezzetli pizza köpük kutu yerine karton kutu tavsiye ederim.,10.0,10.0,10.0,1606369595
Hamburgerin gerçekten ev yapımı olması beni şaşırttı. Isparta için fazla iyi.,10.0,10.0,10.0,1606369595
2 sipariş verdim barbekü soslu tavuk gayet lezzeti yerindeydi çok beğendim lakin pilav üstü tavuk için aynı şeyi söyleyemem tavuk kokmuştu ve dışarda beklemiş olmalı ki sert kalıb gibiydi bayat yemeği ısıtıp göndermişsiniz hiç satmayın daha iyiydi müşteri kaybettiniz iyi günler.,10.0,6.0,3.0,1606369595
Ispartada yediğim en bol malzemeli pizzaydı.,10.0,10.0,10.0,1606369595
Kola unutulmuştu plastik kapta hamburgerler yumuşamıştı et tam pişmemiş.,5.0,2.0,5.0,1606369595
Yemin ederim şu yemek sepetine sipariş verdiğim günden bügüne bu kadar hızlı siparişim gelmedi genel olarak porsiyonlar büyük ve lezzetli fiyat uygun tavsiye ederim.,10.0,10.0,10.0,1606369595
Yemekler lezzetli servis güzeldi çok hızlı geldi tavsiye ederim kesinlikle. Bence buranın puanı çok daha yüksek olmalı.,10.0,10.0,10.0,1606369595
Güzel dolu dolu.,10.0,10.0,10.0,1606369595
Valla hersey bi yana turşu istedik bi kavonuz göndermişler allaha razı olsun verdiniz hizmet için teşekkürler.,10.0,10.0,10.0,1606283195
İskenderi iskender yapan sosudur bana kalırsa. Iskenderin ustune salca sürülmüş gibiydi bana hitap etmedi. Hız ve servis konusunda hic bir sıkıntı yok.,10.0,10.0,4.0,1606283195
"İlgi alaka lezzet her şey 10 numaraydı, hediyeniz için de çok teşekkür ederim harikasınız.",10.0,10.0,10.0,1606283195
Hem lezzetli hemde çok doyurucuydu tavsiye ederim.,10.0,10.0,10.0,1606283195
Pizza inanılmaz bol malzemeliydi ikişi yedik ve doyduk hediye için teşekkür ederiz çok incesiniz.,10.0,10.0,10.0,1606283195
Pizza siparişi vermiştim. Bu kadar hızlı ve sıcak geleceğini tahmin etmiyordum. Elinize sağlık.,10.0,10.0,10.0,1606283195
Hamburger ve pizza sipariş ettim. Hamburger ev yapımı olunca lezzetli ve doyurucuydu. Pizzanın malzemesi aşırı boldu.,10.0,10.0,10.0,1606283195
Hızlı ve lezzetli.,10.0,10.0,10.0,1606283195
Parası ödenen patetes kizartmasi gelmedi.,1.0,1.0,7.0,1606283195
Fiyat cok uygun.,10.0,10.0,6.0,1606283195
Hamburgerleri gayet iyi.,10.0,10.0,10.0,1606283196
"Biftekli wrap istedim, tavuklu geldi tadı fena değildi... Muzlu mag çok çok kötü. Sipariş hızlıydı.",9.0,3.0,3.0,1606196796
Iyi değil.,1.0,1.0,1.0,1606196796
"Başaramadık abi! Pizza karton kutuda servis edilir, köpük tabakta değil. Öncelikle malzemenin bolluğu beni şaşırttı teşekürler. Pizzaya peynir koymayı unutmuşunuz. Mix pizza siparişi verdim sosisler yanmıştı pizza kurumuştu ve tadını etkiledi bu durum, sucuklar en azından dana eti olaydı iyiydi.",7.0,6.0,6.0,1606196796
Öncelikle maddiyata değil müşteri memnuniyetne önem verdiğinz için puan kırmak istemedm fiyatlarınzda çok uygun fakat gönderdiğinz margerita pizza olmamştı domatesler küçük doğranmalı daha özenli olmalı yani bitiremedik öyle olmaz ama iyi niyetinze güvenyor düzelticeğinzi umuyorm tekrar deneyeceğim.,10.0,10.0,10.0,1606196796
Serpme kahvaltı yazan ürünlerden çok daha fazlası geldi sıcak ve lezzetliydi ikramlar için teşekkür ederim.,10.0,10.0,10.0,1606196796
"Abi plastik kap yerine karton kap kullanirsaniz daha iyi olur, yiyecekler plastik kap yüzünden ıslanıyor.",10.0,10.0,10.0,1606196796
Geliştirilebilir ama genel olarak porsiyon doyurucu ve güzeldi. Teşekkürler.,9.0,9.0,8.0,1606196796
Teşekkürler.,10.0,10.0,10.0,1606196796
Tostlar doyurucu ve lezzetliydi.,10.0,10.0,10.0,1606196796
Kurye arkadaş çok güleryüzlüydü. Lezzetten de çok memnun kaldım.,10.0,10.0,10.0,1606196796
Bazlama tost oldukca başarılıydı not olarak eklemedigim icin ketcap mayonez yoktu onun eksikligini hissettim sadece onun dışında cok iyiydi. Çok hızlı ve sıcak geldi lezzetliydi. Teşekkür ediyorum.,10.0,10.0,10.0,1606196796
"Sıcacık geliyor, şeker için teşekkür ederim.",10.0,10.0,10.0,1606110396
Pilav üstü döner söylemiştim tavuklı pilav geldi sorun değil gayet güzeldi ellerinize sağlık.,10.0,10.0,9.0,1606110396
"Bi karışıklık olmasına rağmen gösterilen ilgi, lezzet başarılı.",10.0,10.0,10.0,1606110396
"Hız, lezzet ve sunum iyiydi elinize sağlık. Yanında gelen ikramlar için de ayrıca teşekkür ederiz. Puan kırdığımız tek şey 1 porsiyon gözlemenin doyurucu olmaması. Bu düzelirse her şey dört dörtlük olur diye düşünüyorum.",10.0,8.0,10.0,1606110396
İkramınız için teşekkür ederiz.,10.0,10.0,8.0,1606110396
Oldukça iyi.,10.0,10.0,10.0,1606110396
Hamburger çok doyurucu ve lezzetliydi yarısını bitirenildim paketçi arkadaş çok sempatik hızlı teslimat için teşekkürler.,10.0,10.0,10.0,1606110396
Pilav üstü istedim yanında hiçbirşey yoktu tadida güzel değildi.,1.0,1.0,1.0,1606110396
Cheeseburger istedim hamburger geldi. Köftenin dışı yanık içi çiğdi. Ama hızlıydı. Notumu dikkate almışlar.,10.0,5.0,5.0,1606023996
Wafle istemiştik biz ama bi yanlışlık oldu sanırım kek göndermişsiniz yiyemedik ağzımızda döndü durdu. Berbat bi wafleydi meyveleri hariç meyveleri güzeldi.,1.0,1.0,1.0,1606023996
Hamburger güzeldi ama içini karamelize soğan ve turşu koyulmamıştı marullu hamburger yedim :(.,10.0,10.0,10.0,1605937596
Güzeldi.,10.0,10.0,10.0,1605937596
Cok lezetliydi elerinize saglik cok memnunum.,10.0,10.0,10.0,1605937596
Makarna çok pişmiş hamur olmuş :(.,8.0,6.0,6.0,1605851196
"Hız konusunda bir problem yok gayet hızlıydı. Siparişimdeki köfteler çok küçüktü ve pek lezzetli değildi, ayrıca pilav çok fazlaydı ve yağlıydı. Pilav, patates kızartması ve lavaş 3ü birden bir menüde gereksiz karbonhidrat fazlalığı oluşturuyor, bence pilavı menüden kaldırıp fiyatı da düşürebilirsiniz.",10.0,8.0,6.0,1605851196
Çok beğendim gerçekten ellerinize sağlık.,10.0,10.0,10.0,1605851196
Canım iskender istediği zaman aklıma ilk gelecek yer olmaz muhtemelen. Ama servis mükemmeldi. Hediyeleriniz için de teşekkür ederiz.,10.0,10.0,5.0,1605851196
