comment_text,comment_speed,comment_service,comment_taste,comment_time
Lezzetli hızlı ve güleryüzlü servis.,10.0,10.0,10.0,1606369829
Gayet lezzetli ve sıcak mesafe izunolmasina rağmen kurye arkadaş çok iyi ve anlayışlı ellerinize saglik.,10.0,10.0,10.0,1606369829
Hep iyiydi ama bugün ayıp ettiler. Misafirime rezil oldum.,1.0,1.0,1.0,1606283429
Güzel.,10.0,10.0,8.0,1606283429
Yakında olmama rağmen biraz zaman problemi yaşadım. 5 adet lahmacunu tek plastik köpüğü koymak hiç olmamis. Salatanın da kalitesi çok iyi değildi. Yine de genel olarak ortalama uzerinde.,6.0,6.0,9.0,1606197029
İyi.,10.0,10.0,10.0,1606197029
Hızlı ve sıcak geldi güzel.,10.0,10.0,10.0,1605937829
Ciğer buz gibiydi.,7.0,1.0,1.0,1605678629
Sıcak ve zamanında geldi teşekkürler.,10.0,10.0,10.0,1605505829
Çok hızlı ve aşırı sıcak geldi dilim yandı. Ellerinize sağlık...,10.0,10.0,10.0,1605505829
İyi pişmiş ve damakta lezzet bırakıyor teşekkürler.,10.0,10.0,10.0,1605419429
Güzel ve temiz paketlenme yemek lezzetide başarılı çok memnun kaldım güler yüzlü paketci daha ne olsun teşekkür ederim.,10.0,10.0,10.0,1605333029
Bütün herşey çok güzeldi herkese tavsiye ederim. Ellerinize sağlık.,10.0,10.0,10.0,1605333029
Ellerinize sağlık çok güzel olmuş.,10.0,10.0,10.0,1605246629
Yemekler herşey lezzetli ama eski salata göndereceğinize keşke göndermeseydiniz.,9.0,5.0,7.0,1605246629
Mercimek çorbası ve iskender hayatimda böylesine bir tat almamıştım resmen dünyada cenneti yaşadık herkese tavsiye ederim.,10.0,10.0,10.0,1605246629
Mükemmel lezzeti ve hızlı servisi ile ıspartanın gözdesi olmaya hazır bir işletme. Tebrikler.,10.0,10.0,10.0,1605246629
Harika ötesi lezzetini tatmanızı tavsiye ederim çok memnun kaldım.,10.0,10.0,10.0,1605246629
Çok memnun kaldım lezzetinizden. Pakette çok hızlı geldi. Tavsiye edeceğim en güzel yer.,10.0,10.0,10.0,1605246629
Herşey 10 numara lezzet ve kalitede yılların tecrübesini konuşturuyorlar... Ellerinize sağlık.,10.0,10.0,10.0,1605246629
Pirinç güzel yapılmıştı ama soğuk ve yeni yapılmadığı belliydi. Tavuk güzeldi. Yanında verdikleri salata gayet güzeldi.,7.0,8.0,6.0,1605160229
Teşekkürler çok lezzetliydi.,10.0,10.0,10.0,1604987429
Yemekleri yerken parmaklarımı da yemişim şikayet etmek istiyorum. Parmaklarımı geri verin.,10.0,10.0,10.0,1604814629
Hayatimda boyle guzel lezzetli pide yemedim herkeze tavsiye ederim.,10.0,10.0,10.0,1604814629
Paketçi arkadaşın güleryüzlülüğü yemekleri lezzeti teşekkürler başkent ailesi.,10.0,10.0,10.0,1604814629
Sipariş tam zamanında geldi lezzetli kaliteli herşey için teşekkürler geçen gece de sipariş verdim gercekten güzeldi pideyi tavsiye ederim.,10.0,10.0,10.0,1604814629
Ellerinize sağlık.,10.0,10.0,10.0,1604728229
Hızlı ve lezzetli.,8.0,8.0,8.0,1604728229
Yediğim en güzel tavuk çorbasıydı ustamın ellerine sağlık.,10.0,10.0,10.0,1604555429
Tavuk dürüm çok kötü. Tatlı yiyecek olanlara kesinlikle önermiyorum antem fıstıklı kadayıf re za let.,2.0,1.0,1.0,1604469029
Mecbur kalinca doyurucu yoksa tafsiye edmem.,1.0,4.0,4.0,1604209830
Şiş köfte çok tuzluydu.,9.0,9.0,6.0,1603999284
Kötü.,1.0,1.0,1.0,1603999284
Süper incelik ve malzeme. Çok beğendik.,9.0,10.0,10.0,1603999284
Herzaman tercih ederim ellerinize sağlık çok güzel olmuş herşey.,10.0,10.0,10.0,1603999284
Sıkıntılı.,1.0,1.0,1.0,1603999284
Keşke 1. 5 değil de 2. 5 porsiyon söyleseydim ellerinize sağlık.,10.0,10.0,10.0,1603999284
Temassız ödeme yok. Salgın dönemi hiçe sayılıyor. Köfte pişmemiş. Adana içi çiğ. Bir de pide ve lavaşlar ısparta şartlarına uygun değil. Afyon merkez şartlarına uygun. Yani 2 gün önce fırından çıkmış gibi.,6.0,1.0,3.0,1603999284
İcinde tavuk bile yoktu sadece suydu bu kadar kotu bir corba hic gormedim.,2.0,2.0,1.0,1603999284
Teşekkürler hızlı ve sıcak.,10.0,10.0,10.0,1603999284
Teşekkürler.,10.0,10.0,10.0,1603999284
Köfteler yaşıyordu hala.,10.0,7.0,1.0,1603999284
Sürekli sipariş verdiğimiz bir yer. Kelle paça bir harika! Patlıcan kebabı biraz soğuk geldi. Caciğin yogurdu azdı. Servis elemanınız kibar ve güler yüzlüydü.,8.0,8.0,8.0,1603999284
Hiç konusundan çok iyiydi yemekleri getiren kurye kayet güleryüzlülüğü fakat servis konusunda eksikler vardı ketçap mayonez yoktu ve fiyat performans olarak biraz pahalıydı.,10.0,5.0,6.0,1603999284
Güzeldi.,10.0,10.0,10.0,1601369538
Söylenen zaman ve sıcak olarak teslimat lezzette güzel daha ne olsun elinize sağlık.,10.0,10.0,10.0,1601369538
Güzel.,10.0,10.0,10.0,1601369538
Gönderdikleri şişler güzeldi fakat üzerine konulan tırnak pideler belki 3 günlüktü çok gevrekli yani ısırmak mümkün değildi ekmekleri çok gevrekti ekmekleri yiyemedim böyle sorumsuzluk olamaz.,10.0,6.0,1.0,1601369538
Ayran unutulmustu. Çok hızlı geldi diyemem. Fena degildi kuru fasulyesi ama bana soğana atılan sumak fazla geldi.,8.0,4.0,7.0,1601369538
Güzeldi ve sıcaktı sadece lahmacunda bir baharat vardı sanırım baya ağırdı diğer baharatlara göre ama kötü değildi elinize sağlık.,10.0,10.0,9.0,1601369538
Rezalet.,5.0,1.0,1.0,1601369538
Pilav pişmemişti. Bulgur pilavı da pirinç pilavı da kıtır kıtırdı. Salata pörsümüştü belliki saatlerce beklemiş ürün gönderilmiş.,7.0,2.0,2.0,1601369538
Çorbalar ciddi anlamda kötüydü.,6.0,3.0,1.0,1601369538
Çatal bıçak kaşık tuz şeker kürdan bunlar yoktur peçete yoktur salatayı soğansız istedim soğanlı göndermişler servis kötü.,9.0,1.0,9.0,1601369538
Süper.,10.0,10.0,10.0,1601369538
"Lahmacunn söyledim ufacık geldi, bari belirtin fındık lahmacunun bi tık büyüğü, sucuk söylrdim kuru kuru yarı yanık geldi. Koskoca başkent artık yapamıyor bu işi sanırım.",3.0,1.0,1.0,1601369538
Özenli ve güzel.,10.0,10.0,10.0,1601369538
Çorbası çok kötü kokuyordu pilavı lapaydi.,1.0,1.0,1.0,1601369538
Mükemmel.,10.0,10.0,10.0,1601369538
Hemekler iyi ancak soguga yakin geldi donerin isisi cok düşüktü.,8.0,8.0,10.0,1601369538
Isparta da yediğim en güzel sucuktu. Servis mükemmel di ama paket biraz daha hızlı gelse daha iyi olur du.,7.0,10.0,10.0,1601369538
Güzeldi.,10.0,10.0,10.0,1601369538
Herşey güzel de lahmancun olmamış usta hamur yayılmış yırtılmış perişan olmuş yeme beni dedi haykırdı üzdü.,10.0,3.0,3.0,1601369538
Hasta dedeme izmirden siparis yollamıştım. Sistemi sağ olsunlar açtılar. Çok kibarlar. Yemeklerden de memnun kaldık. Allah razı olsun sizden. Sizden sipariş vermeye devam edeceğiz.,10.0,10.0,10.0,1601369538
