comment_text,comment_speed,comment_service,comment_taste,comment_time
Güzeldi.,9.0,9.0,9.0,1606629106
"Daha çok yufka yemiş gibi hissettim, yaninda gelen domates ve salatalikta sapı cöpü ayrilsa iyiymis.",8.0,8.0,7.0,1606110706
"Nokulu, ıspartada yediğim en iyi nokul.",10.0,10.0,10.0,1606110706
Sigara böreği pek iyi değildi ama gözleme çok iyi. Pastanenizi beğendim. Ekler harika.,10.0,10.0,10.0,1605765106
Kahvaltılıklar çok taze teşekkürler.,10.0,10.0,10.0,1605505906
Kaşarlı gözlemeye nutella bulaşmış baya.,7.0,7.0,7.0,1598739868
Hızlı servis.,10.0,10.0,10.0,1596110122
Güzel.,8.0,8.0,8.0,1596110122
Daha önce de sipariş vermiştim o zaman gayet güzeldi.. Bu siparişimde pastanın kreması ekşimişti.. Pandispanyasj hariç hepsinin kreması ve üst çıkolatası bayatlamıştı.,5.0,5.0,1.0,1596110122
Süper.,10.0,10.0,10.0,1596110122
İyiydi.,10.0,10.0,10.0,1596110122
Lezzetli sicak gozelemeler geldi begendik.,9.0,9.0,9.0,1593480376
Güzel gibi.,10.0,10.0,10.0,1593480376
Siparişim geç geldi sigara börekleri resmen erimisti.,1.0,1.0,1.0,1593480376
Gözleme ye bı gram yağ yok taşsız tuzsuz yavandi diğer puanlarda nokul ve simit için nokulu çok lezzetli buldum tşkler.,8.0,9.0,7.0,1593480376
Gayet güzeldi. Hızlı geldi.,10.0,6.0,8.0,1593480376
Isıtıp getiriyodunuz soğuk geldiii ama lezzetliydi.,10.0,10.0,10.0,1593480376
Hiç memnun kalmadım. Belirtmek istediğim bir kaç şey var. Domatesli peynirli ve kaşarlı sucuklu gözleme sipariş ettim patatesli ve kaşarlı gözleme geldi. Üstüne bu ürünler arasında fiyat farkı var. Poğaça söyledim oda gelmedi. Üstüne kapıda pos bozuk nakit ödeyebilirmisiniz dediler. 50 60 dkda geldi.,5.0,7.0,7.0,1593480376
Servis tabakları değişse çok daha iyi olur çünkü sıcak olduğu için kömüğü eritiyor oda yediğimiz ürüne yapışıyor bu da çok sağlıksız. Daha iyi bir servis tabağı seçerlerse çok daha iyi olur.,9.0,4.0,7.0,1593480376
Hız da gözleme de güzeldi elinize sağlık.,9.0,9.0,9.0,1593480376
Gözleme gayet güzeldi.,10.0,10.0,9.0,1593480376
