comment_text,comment_speed,comment_service,comment_taste,comment_time
İyiydi.,10.0,10.0,10.0,1606670049
Çok iyi.,10.0,10.0,10.0,1606583649
Güzel hızlı teslim tad güzeldi.,8.0,8.0,8.0,1606583649
Süper.,10.0,10.0,10.0,1606583649
"Sufflesi vazgeçilmez,.",10.0,10.0,10.0,1606583649
"Hız lezzet herşey on numara, gelen kuryeniz çok kibar bir beyfendiydi, teşekkürler.",10.0,10.0,10.0,1606497249
Kuryeniz içten samimi ve güleryüzlüydü :)).,10.0,10.0,10.0,1606410849
Hızlı ve titiz teslimat için teşekkürler.,10.0,10.0,10.0,1606410849
Kurye çok hızlı geldi.,10.0,8.0,8.0,1606410849
Bol malzemos diye yazılmış ama ben pek fazla birşey göremedim. Rica ediyorum malzeden kaçmayında verdiğimiz paraya değsin yani sonradan pişman oluyoruz.,10.0,10.0,5.0,1606410849
Biraz yavaş geldi ama tad güzeldi.,8.0,9.0,8.0,1606324449
Sosisli ekmek arasina bayiliyorum ama az pişmişti. Sosisler çiğdi.,9.0,9.0,6.0,1606324449
Çok güzel tavsiye ederim.,10.0,10.0,10.0,1606238049
Harika bir çalışanınız var.,10.0,10.0,10.0,1606238049
Zor biraz.,4.0,6.0,6.0,1606151649
Teşekkür ederiz.,10.0,10.0,10.0,1606065249
"Hem hızlı hem kezzetli, 25 dakikada kapıdaydı teşekkürler dominos.",10.0,10.0,10.0,1606065249
Mantarlar iyi pişmemiş.,8.0,8.0,7.0,1605978849
İstediğimiz pizzanın içinde sadece 3 malzeme vardı. Sosis eksikti kekik eksikti. Hamur yedim resmen. Biraz daha dikkatli edilmeli.,8.0,8.0,1.0,1605978849
Senelerdir dominostan soylemiyordum. Hata edip istedim. Malzemeleri kalitesiz.,8.0,7.0,5.0,1605978849
Leziz.,9.0,10.0,10.0,1605978849
Normal.,9.0,8.0,8.0,1605892449
Kurye ve ekibe teşekkür ederim çok hızlı getirdiler çok sıcaktı bekledim yemek için.,10.0,10.0,10.0,1605806049
Mük.,10.0,10.0,10.0,1605719649
Pizza ılık geldi bı dkk daha gec gelse soguktu yanı bol malzemos ıstıyoruz bol soslu gelıyor domınos bozma kendını.,9.0,9.0,6.0,1605633249
"15 gün önce de sipariş vermiştim. Yine aynı şekilde çok hızlı, yemeği sıcak içeceği soğuk güzel bir servis oldu. Teşekkürler.",10.0,10.0,10.0,1605546849
Gayet guzel ve sicakti.,9.0,9.0,9.0,1605374049
Citir tavuk toplari eskisi gibi deil cok kuru ydu ve baharati eskisi gibi deildi cok azdi deismeyen hatta artan teksey fiyat olmus...,9.0,8.0,3.0,1605374049
Citir tavuk toplari eskisi gibi deil cok kuru ydu ve baharati eskisi gibi deildi cok azdi deismeyen hatta artan teksey fiyat olmus...,9.0,8.0,3.0,1605374050
