comment_text,comment_speed,comment_service,comment_taste,comment_time
Çok iyi.,10.0,10.0,10.0,1606756113
Guzelll 3.,10.0,10.0,10.0,1606756113
"Fıstıklı, çikolatalı pasta aldık. Çikolatalı bir pasta olarak gayet lezzetliydi. Ama asla fıstık tadı yoktu. Gayet hızlı geldi. Sunum şekli çok sevimliydi. Fıstık tadı gelseydi her şey 10luktu.",10.0,10.0,7.0,1606583313
Tatlılar hıc güzel degıldı.,7.0,3.0,1.0,1606583313
Her zamanki gibi gelen ürünler taze. Kurye arkadaş güleryüzlü. Arnavutköyün en iyisisiniz. Teşekkürler.,10.0,10.0,10.0,1606583313
Restoran sahibi kardesim ben baska bisey istiyorum sen istedigini gonderiyosun. Puanini dusurmedim cunku fistikli pastan da guzeldi. Ben muzlu soylemistim. Neyse herseyi sorun yapmam ama arasaydiniz keşke :) elinize saglik.,10.0,10.0,10.0,1606496913
İlk defa sipariş verdim teslimat süresi biraz uzun sürdü onun dışında tadı güzeldi ve tazeydi çok teşekkürler hizmet güler yüz tamda olması gerektiği gibi teşekkürler.,5.0,10.0,8.0,1606496913
Hersey iyi ama bu covid doneminde magnolia lar ağzı kapaksiz gelmesi ni begenemedim bir tanesi kutuya dökülmüştü.,7.0,7.0,7.0,1606496913
Dalında en iyisi.,8.0,9.0,9.0,1606496913
"Yaşadığımız bir sorun karşısında gerçek bir türk esnafı hoşgörülüğü gösterdiler, bu tutumları karşısında çok memnun olduk. Pasta için konuşuyorum lezzet ve tazelik gerçekten olabileceğinin en iyisi, içiniz rahat sipariş verebilirsiniz. Sizin gibi esnafları özlemişiz, hayırlı işler.",10.0,9.0,10.0,1606410513
Meyveli ekleri biraz tatsız bulduk üstüne bir sosta eklebilirdi diğerleri çok lezizdi ellerinize sağlık.,8.0,9.0,9.0,1606410513
Süperdi gerçekten arnavutköye taşındığımdan beri en başarılı siparişimdi. Börekler sıcacık geldi taptazeydi kuru pasta ikramlarından dolayı çok müteşekkirim daima başarılar dilerim. Ayrıce mekan personeline ilgileri ve nezaketleri için ayrıca teşekkür ediyorum. Herkese tavsiye ederim.,10.0,10.0,10.0,1606410513
Maalesef tadı hiç güzel değildi hız ve servis iyiydi.,10.0,10.0,5.0,1606324113
Arnavutköy de tatlı için en iyi mekan.,10.0,10.0,8.0,1606237713
Pasta devrilmis bir şekilde geldi.. Ama lezzet güzeldi:).,8.0,8.0,8.0,1606237713
İkinci kez burdan sürpriz pasta gönderdim. Pastanın tadını beğenmişler ayrıca hızlı da teslim edilmiş bunun için teşekkür ederim. Yalnız ben notumda belirtmemiştim içinde mum yokmuş koysalardı süper olurdu.,10.0,9.0,10.0,1606151313
Yorumlara bakarak bir an tereddütte kaldım sipariş verdim fakat beklediğimden çok daha güzeldi. Hızlı teslimat güvenilir adres. Teşekkürler karatava.,10.0,10.0,10.0,1606064913
