comment_text,comment_speed,comment_service,comment_taste,comment_time
Öncelikle ekmek bayat olduğu için makinede yakılmış resmen kömür gibiydi. Tavuk iskender dedikleri de ekmek içlerinden yapılmış kısacası kötü ilk ve son.,6.0,4.0,2.0,1606324811
Lezzet güzel ve hızlı teslimat.,10.0,10.0,10.0,1606065611
Dönerin tadı çok güzel porsyon istedik durum getirdiler içinde patates yok ketçap mayonez istemiştik onuda koymamışlar ve geç geldi ama dönerin tadına söylenecek laf yok.,5.0,5.0,10.0,1604127065
Gayet iyi ve hızlı geldi.,10.0,10.0,10.0,1601497319
Cok memnun kaldim. Omerli kiptasa gonderim sağlıyorlar.,10.0,10.0,10.0,1598867573
"Hadi sipariş notlarını okumadınız ketçap mayonez vs. Katılmadı, bari siparişi okusaydınız. Büyük ayran söyledik küçük ayran yolladınız ama büyük parası alındı benden.",1.0,1.0,1.0,1598867573
Değerlendirme de 20 olsa 20 verirdim teşekkür ederiz (:.,10.0,10.0,10.0,1598867573
Tavuk döneri beğenmedim.,8.0,8.0,3.0,1596237827
Sipariş verdiğimi unutmuşum okadar geç geldi.,1.0,7.0,7.0,1596237827
Uzakta olmasına rağmen kurye arkadaş çok hızlı geldi. Et döneri çok beğendim. Tavuk dönerde güzeldi fakat biraz acıydı sanki. Ellerinize sağlık.,10.0,8.0,8.0,1596237827
"Ekmek daha taze olsa 10 numara olacak, çok kuru.",8.0,8.0,7.0,1596237827
Güzel.,8.0,8.0,8.0,1596237827
İlk defa soyledim fakat etin kalitesi servis hızı mükemmel bundan sonra tabiki harbi döner donerın harbısı.,10.0,10.0,10.0,1596237827
Mesafenin uzak olmasina rağmen hızlı geldi fiyatlarıda gayet uygun.,10.0,9.0,9.0,1593608081
Güzeldi.,9.0,10.0,9.0,1593608081
"20 dakikada gelmesi gereken sipariş 1 saati geçti, pilav üstü döner tamamen soğumuş geldi ve çatal kaşık yoktu lavasla tutarak yemek zorunda kaldım pilavı düşünün, kola da ısınmış haliyle, hiç memnun kalmadım tavsiye etmem.",1.0,1.0,1.0,1593608081
Kuzu etiydi kokuyordu beğenmedim.,5.0,7.0,2.0,1593608081
"Biraz pahalıya geliyorlar ömerliye, ama çok güzel.",10.0,10.0,10.0,1593608081
"İyiydi, sıcaktı.",10.0,10.0,10.0,1590978335
Elinize sağlık.,10.0,10.0,10.0,1590978335
Hadımköy civarında yemek yiyebilecegimiz en uygun ve en kaliteli bir mekan özellikle et döner çok iyidi tabi tavuk döneride unutmamak lazım oda ayrı bir efsane harbi döner çalışanlarına teşşekürlerimi sunuyor iyi çalışmalar diliyorum.,10.0,10.0,10.0,1590978335
