comment_text,comment_speed,comment_service,comment_taste,comment_time
Lezzet zayıf.,5.0,6.0,6.0,1606758020
Abi yarim ekmek patso diyoruz sandiwice koyup gönderiyorsunuz.,10.0,8.0,9.0,1606671620
İlk verdiğim siparişin lezzeti yoktu soğuktu dikkat edilirse iyi olur.,1.0,6.0,7.0,1606585220
İyi.,10.0,10.0,10.0,1606498820
"Yemek 70 dakikada teslim edildi, online olarak baktığımızda teslim edilmiş gösteriyorlardı restoranın tahmini süresini gectigi anda. Yemekler soguktu, lezzet desen ortalama altı. Gelen kuryeye neden bu kadar gecikildigini sordugumda ilk sizin siparişinizi getirdim dedi bir de dalga gecer gibi. Fiyasko!",1.0,1.0,1.0,1606412420
2 buçuk saatte geldi siz düşünün.,1.0,1.0,1.0,1606239620
Cok gec geldi lezzet idare.,1.0,1.0,6.0,1606239620
Yaklaşık 2 saati aşan bir sürede elime geldi ve buz gibiydi.,1.0,1.0,5.0,1606153220
Teslimat süresinin maks 45 dk yazıp 1 saat 15 dk da getirmek sanırım kuryeye ağırlık vermelisiniz.,3.0,8.0,8.0,1606066820
Gayet başarılı böyle olmasını diliyoruz...,10.0,10.0,10.0,1606066820
Kuryeci siparişimizden çaldı ve eksik geldi parasını tam aldı iade geçicem dedi ve geçmedi tostta soğuktu çok kötü sakın sipariş etmeyin.,1.0,1.0,1.0,1606066820
Gerçekten lezzetliydi ustaların ellerine sağlık gidip orda gördüm yoğun olmasına rağmen lezzeti şaşmamış teşekkürler ellerinize sağlık tavsiye ederim.,10.0,10.0,10.0,1605894020
Hersey çok qüzeldi tesekürler hızlı qeldi lezzette on numaraydı.,10.0,10.0,10.0,1605721220
Yarım ekmek kumru sipariş vermiştim bayat sandviç ekmeği arasında geldi yarım ekmek değil sandviç ekmeği oraya yarım ekmek yazmayın bari ona göre sipariş verelim yarım ekmek doyurur sandviç ekmeği ne allah aşkına.,10.0,10.0,7.0,1605634820
Geç gelmesi sorun değilse lezzetli.,8.0,8.0,8.0,1605634820
Yorumlara bakarak tereddütte kaldım fakat söylenilenlerin tersi oldu herşey çok güzeldi ellerinize saglık arkadaşlar.,10.0,10.0,10.0,1605634820
"1, 5 saatte gelen... Çevirmeye takılıp buz kesmiş kumrularımızı afiyetle yedik elinize sağlık.",1.0,1.0,1.0,1605462020
Fiyat performans olarak makul lezzet.,8.0,8.0,8.0,1605375620
Lezzet olarak iyi fakat servis berbat 1 saate zor geldi.,1.0,7.0,10.0,1605289220
Gönderilen pakette peçete bile yoktu.,10.0,1.0,9.0,1605289220
Geç saat için ideal.,7.0,7.0,7.0,1605202820
Yanlış sipariş geldi ve siparişim soğuktu.,6.0,2.0,1.0,1605030020
Sipariş 1 saatte geldi. Madem bu kadar yoğunsunuz bir eleman daha çalıştırın ya da yapmayın bu işi. Getiren elemana da yazık. Patsoların içine ketçap mayonez koklatıyorsunuz resmen. Keşke ayrıca yanına da koysanız. Sosisler çiğ gibi.,1.0,6.0,6.0,1605030020
Sakın sipariş vermeyin ben verdim pişman oldum iki saatte getirdiler buz gibiydi ve yanlış sipariş getirdiler büyük ayran söyledim küçük getirip büyük parası aldılar yazıklar olsun size böyle küçük işletmelerin nasıl bu pazarda yeri var anlamış değilim yemek sepeti adınızı kirletiyor böyle amatörler.,1.0,1.0,1.0,1604943620
Lezzetli hızlı.,10.0,10.0,10.0,1604770820
Gll.,10.0,10.0,10.0,1604598020
Kavurmali yumurtali guzel degildi kavurmanin tadi hic gelmiyodu zaten.,7.0,7.0,6.0,1604598020
Dostum her şey güzeldi fakat patates bıraz daha çıtır olsa dahada mükemmel olurdu teşekkürler.,10.0,10.0,10.0,1604425220
Yasin adamsın.,10.0,10.0,10.0,1604166021
Patsoyu sandvic ekmeği ile gönderiyorlar önermiyorum ve soğuk geliyor.,10.0,5.0,1.0,1604128275
Herşey müthişti en güzel silarişimdi.,10.0,10.0,10.0,1604128275
O kadar kötüyü düşünecek birşey yok rezalet yiyen midesine hakaret olmuş olur.,1.0,1.0,1.0,1604128275
