food_id,food_name,food_price,food_category,food_score
7a7ebdfa-bec3-4934-8d8c-6f349e24b7c2,Menü 1,"58,00 TL",Ekonomik Menüler,23.0
6510ab88-7de0-4fa2-bec8-e544979bc8e1,Menü 2,"39,00 TL",Ekonomik Menüler,7.0
ee89f57c-a61c-4fef-b9be-7c67593a7b73,Menü 3,"35,00 TL",Ekonomik Menüler,6.0
e23de2bf-7311-4561-a8e1-431cfdbef6de,Menü 4,"29,00 TL",Ekonomik Menüler,6.0
c3416708-c261-43c6-9fdd-44cd1ddb9880,Menü 5,"90,00 TL",Ekonomik Menüler,7.0
00d4c4f4-065e-483e-bcc9-ecbc9445f80d,Menü 6,"34,00 TL",Ekonomik Menüler,5.0
28008551-1614-4298-8ee2-8332578022a5,Menü 7,"31,00 TL",Ekonomik Menüler,5.0
71427c60-9fdd-4cfc-87e8-d4750ca44374,Menü 8,"43,00 TL",Ekonomik Menüler,7.0
1fc4355c-4824-4e31-83a5-18a914ead589,Menü 9,"95,00 TL",Ekonomik Menüler,4.0
21384cc2-57cb-48df-90a4-a632a4671a36,Menü 10,"70,00 TL",Ekonomik Menüler,15.0
f8116acd-bce9-4656-9228-188d5f5471e9,Et Tantuni,"30,00 TL",Et Tantuniler,13.0
9d848456-a370-434a-9bf4-2353375ed126,Kaşarlı Et Tantuni,"23,00 TL",Et Tantuniler,13.0
44f3c08d-62b8-420b-abca-e63a7fb3a095,Yoğurtlu Et Tantuni,"24,00 TL",Et Tantuniler,17.0
de976975-91e9-4e88-b1a7-d0cf8927f6ac,Et Tantuni Dürüm,"18,00 TL",Et Tantuniler,18.0
1981254b-38d0-48e1-800b-89dfb1b6a731,Patlıcanlı Et Tantuni,"35,00 TL",Et Tantuniler,13.0
18232d2a-6ced-4ec0-a3f6-d2bd45df0d7a,Yarım Ekmek Arası Et Tantuni,"18,00 TL",Et Tantuniler,13.0
608b8b3c-8148-42be-b2aa-63910a2b2bcd,Çeyrek Ekmek Arası Et Tantuni,"10,00 TL",Et Tantuniler,13.0
15449a18-e1a0-4748-893e-b3e7714f6ec5,Tavuk Tantuni,"20,00 TL",Tavuk Tantuniler,20.0
6134ec3a-9a1b-49ae-8feb-296f3f99b13b,Kaşarlı Tavuk Tantuni,"18,00 TL",Tavuk Tantuniler,20.0
ed124fb4-77c7-4050-9165-e289dad7923d,Yoğurtlu Tavuk Tantuni,"19,00 TL",Tavuk Tantuniler,24.0
ee3cb84a-688b-4217-b78e-c411aa98356d,Tavuk Tantuni Dürüm,"13,00 TL",Tavuk Tantuniler,25.0
569a4377-45ae-4d46-ae2c-6a4a8b512450,Patlıcanlı Tavuk Tantuni,"25,00 TL",Tavuk Tantuniler,20.0
14d675c5-63f6-43ba-87c9-b8529f0b1c45,Yarım Ekmek Arası Tavuk Tantuni,"13,00 TL",Tavuk Tantuniler,20.0
57805d9a-fae8-4026-8dd9-276f40de54e6,Çeyrek Ekmek Arası Tavuk Tantuni,"7,00 TL",Tavuk Tantuniler,20.0
bfd9a60a-9a14-4a56-a01a-6ac9884bdaf4,Lahmacun,"8,00 TL",Fırın Ürünleri,16.0
e9439abb-56ae-4bc7-bbaf-0cd66463fa82,İsotlu Lahmacun,"9,00 TL",Fırın Ürünleri,11.0
8b006533-f3c9-4a31-a16f-1b9661bfdf62,Cevizli Lahmacun,"10,00 TL",Fırın Ürünleri,11.0
