food_id,food_name,food_price,food_category,food_score
013fa4f7-7909-4e9c-8514-e70836e77845,Peynirli Su Böreği (250 gr.),"30,00 TL",Börekler,5.0
fa4e9556-7608-4f51-b2c4-05a435ca492e,Peynirli Su Böreği (500 gr.),"49,00 TL",Börekler,5.0
88eed218-0f12-4234-8335-e35fb02c5f88,Peynirli Su Böreği (1 kg.),"79,00 TL",Börekler,5.0
82c819ab-8fa1-4dda-a918-7fee7e8777f0,Kıymalı Kol Böreği (500 gr.),"53,00 TL",Börekler,5.0
cf92d48c-670b-49c6-9ccd-443759361027,Kıymalı Kol Böreği (250 gr.),"32,00 TL",Börekler,5.0
d3e60939-b101-43d7-a848-42799086d19e,Kıymalı Kol Böreği,"20,00 TL",Börekler,5.0
737d833d-39e7-4dcc-88e2-b6b3d27d0482,Tavukgöğsü,"22,00 TL",Sütlü Tatlılar,5.0
af796396-6230-41d7-aa64-d72b7358e5bd,Fırın Sütlaç,"22,00 TL",Sütlü Tatlılar,5.0
7753b96d-2ac9-4048-a95d-630f401375f5,Kazandibi,"22,00 TL",Sütlü Tatlılar,5.0
40120574-a332-4001-b3a4-bec4715f745d,Profiterol,"26,00 TL",Sütlü Tatlılar,5.0
288346a2-5f5f-4cbc-b123-3c81816f6404,Katmer,"49,00 TL",Spesiyal Tatlılar,5.0
A86B63B8-BCD8-4DB0-937A-2834882F3463,Soğuk Baklava,"39,00 TL",Şerbetli Tatlılar,3.0
708D090C-070D-4D6B-BD71-653E14D6F0E2,Soğuk Baklava (250 gr.),"50,00 TL",Şerbetli Tatlılar (250 gr.),3.0
B8502A3E-07FA-42D3-A529-4F9C3E098346,Soğuk Baklava (500 gr.),"90,00 TL",Şerbetli Tatlılar (500 gr.),3.0
A4EC25CE-BA2C-49FE-9D34-F6AF2D1ECD8B,Soğuk Baklava (1 kg.),"170,00 TL",Şerbetli Tatlılar (1 kg.),3.0
6FF8C867-8043-4C14-9CF3-4EE1E262CAB6,Mois Pasta (No: 0) (6 - 8 Kişilik),"80,00 TL",Pastalar,8.0
ABD810C3-A621-4678-9977-261112265888,Mois Pasta (No: 1) (10 - 12 Kişilik),"95,00 TL",Pastalar,7.0
