comment_text,comment_speed,comment_service,comment_taste,comment_time
Lezzeti değişmeyen hızlı paket için de teşekkürler ellerinize sağlık.,10.0,10.0,10.0,1606762121
Harikaydı çok teşekkür ederim.,10.0,10.0,10.0,1606762121
Kurye arkadaş beni benden aldı adı sametti galiba.,10.0,10.0,10.0,1606502921
Gece 04. 00 da söyledim köfte on numara geldi.,7.0,10.0,9.0,1606502921
Mükkemmeldi.,10.0,10.0,10.0,1606502921
Nice.,10.0,10.0,10.0,1606416521
Kurye eksik para verdi hiç hoş değildi.,7.0,1.0,10.0,1606416521
Özellikle zile basilmasin deneme rağmen yinede arkadaş zile basmakta ısrarcı ama kokorecin lezzeti güzeldi.,7.0,1.0,8.0,1606416521
İkram olan çiğköfte yanında limon olsa iyiydi. Bir de kokoreç çok yağlı.,10.0,9.0,7.0,1606330121
Çok lezzetliydi çok beğendim.,10.0,10.0,10.0,1606330121
Abı ekmek paramparça gelip duruyor. Tavuk lezzetli ama şu olayı halledin susamlı ekmege gecin kaliye düşüyor.,8.0,3.0,8.0,1606157321
Öncelikle ikramınız için teşekkürler tuzlama sıcak geldi lezzetli ve etide boldu (roka biraz daha olsaydı iyi olurdu naçizhane tavsiyemiz) bol kazançlar.,10.0,10.0,10.0,1606070921
"Çok hızlılar. Bizden dolayı aksaklık olmasına rağmen dükkana dönüp geldi, geldiği halde yinede çok hızlı geldi. Ellerinize emeklerinize sağlık.",10.0,10.0,10.0,1605984521
Güzeldi.,10.0,10.0,10.0,1605120521
Ellerinize sağlık servis hızlıydı ve ve lezzetliydi.,10.0,10.0,10.0,1605034121
Ayran bozuktu boşuna 1 litrelik ayrana o kadar para verdik. Direkt döktük. Kokoreci yanmıştı çeyrek diye 1 lokma gercekten 1 lokma ekmek göndermişler onun da tamamı yanık kokorecle doluydu. Nimete böyle denmez ama berbat bir tattı. Asla tavsiye etmiyorum.,1.0,1.0,1.0,1604947721
Maalesef izmir kokoreç hayal kırıklığı. Ayrıca çok baharatlı ve acıydı.,8.0,8.0,5.0,1604947721
Vazgeçilmez kokoreçcim ellerinize sağlık.,10.0,10.0,10.0,1604774921
"Her zaman ki tat, her zaman ki lezzet. Elinize sağlık. Şiddetle tavsiye ediyorum etmeye de devam edecegim. Teşekkürler...",10.0,10.0,10.0,1604774921
İlk defa corbasini begenmedik.,8.0,6.0,3.0,1604774921
Tavuk harikaydı çok hızlı geldi siparişim her şey için teşekkürler.,10.0,10.0,10.0,1604602121
Şimşekler marketin üstündeki müdavi müşteriniz olarak çorbalarınız çok iyi aynen devam edin.,10.0,10.0,10.0,1604602121
Kelle paça söyledik yanında pide/ekmek gelmedi.,8.0,4.0,6.0,1604515721
Elinize sağlık.,10.0,10.0,10.0,1604515721
Çorba çok iyi.,10.0,10.0,10.0,1604429321
Çok lezzetliydi. Ustamızın ellerine sağlık :).,10.0,10.0,10.0,1604429321
Lezzet tam oturmamıs.,8.0,8.0,7.0,1604256521
Devamli siparis verdigim bi yer olmasina ragmen bu gece 4 de bulgur-pilav gelmedi. Fasulye o nasil fasulyeydi şok oldum.,1.0,1.0,1.0,1604256521
Bugüne kadar yediğim en kötü çiğ köfte ve midye diyebilirim ne tadı var ne tuzu bayat oldugu belli peçete ıslak mendil bile konulmamış limonlar bile berbattı umarım farkına farıp bayat midyeleri insanlara yollamazsınız.,1.0,1.0,1.0,1604132375
Yemekler sıcak ve lezzetliydi teşekkürler.,10.0,10.0,10.0,1604132375
"Bir fasulye geldi çok paraya buz gibi, serviside berbat kimse ocaklarına düşmesin.",6.0,1.0,1.0,1604132376
Hızlı geldi fakat ekmek değişmeli. Ekmeğin lezzeti bozduğunu düşünüyorum. Bir işletmeci olarak tavsiyem.,10.0,10.0,10.0,1604132376
Pilav tıkır tıkırdı biraz daha pişseydi keşke.,10.0,10.0,8.0,1604132376
Mükemmel.,10.0,10.0,10.0,1604132376
Herşey için teşekkürler getiren arkadaş çok güler yüzlüydü çok hızlı servis ettiler.,10.0,10.0,10.0,1604132376
Ellerinize sağlık çok lezetliydi servis hızlıydı aile restorantımız oldunuz.,10.0,10.0,10.0,1604132376
Hızlı ve sıcak geldi. Tavuk gayet başarılı. Çorbanın yanında 1-2 dilim ekmekte olsaydı herşey on numara olacaktı.,10.0,10.0,10.0,1604132376
Her defasında söylediğim her şeyin tadı ve sıcaklığı çok güzel oluyor. Ellerinize sağlık.,10.0,10.0,10.0,1604132376
Güzeldi elinize sağlik.,10.0,10.0,10.0,1604132376
Kuryeniz çok kibar bayanlara karşı nasıl konu ağını biliyor yemeklerde harıka.,10.0,10.0,10.0,1604132376
1 bile fazla bu restorana.,1.0,1.0,1.0,1604132376
Keyf i den asla bir kere yemezsiniz. Devamı gelir mutlaka.,8.0,8.0,9.0,1604132376
Harikaydı lezzetinize ve hızınıza hayranım.,10.0,10.0,10.0,1604132376
Ellerinize sağlık çok lezzetliydi vazgeçilmez bir lezzet :).,10.0,10.0,10.0,1604132376
Ellerine emeğinize sağlık çok güzeldi :).,10.0,10.0,10.0,1604132376
Fişek.,10.0,10.0,9.0,1604132376
Tavuk pilavınıza düşüyorum.,10.0,10.0,10.0,1604132376
Eski kaliteniz artik yok. Köfte kötü kokuyor midyeler gerçekten çok kötüydü. Ne tadı var ne tuzu ama kum çok. Kola güzeldi.. Önceden de çorbada kil sorunu olmuştu birkex daha sans vermek istedim ama düzeltmek yerine iyice kötüye gitmiş. Maalesef son siparişimdi.,8.0,5.0,3.0,1604132376
Gerçekten ne zaman canım çorba isterse yemek sepetine giriyorum anında keyfi bay türeye yöneliyorum saat kaç olursa olsun hızı ve lezzetleriyle harikalar yaratıyorlar teşekürler iyi çalışmalar.,10.0,10.0,10.0,1604132376
Gerçekten çok güzel.,10.0,10.0,10.0,1604132376
Iyi iyi.,9.0,8.0,10.0,1604132376
Güzeldi.,9.0,9.0,9.0,1604132376
Devamli geceleri mercimek isterim eve sagolsunlar on numara yaparlar gonderirlee.,10.0,10.0,10.0,1604132376
Ellerinize sağlık bu kadar uygun fiyata çok lezzetli güzel bir yemekti.,10.0,10.0,10.0,1604132376
İkramlar için teşekkürler fakat kokorec yediğimin en kötüsü olabilirdi cok yağlı ve yanıktı.,6.0,10.0,5.0,1604132376
Her zaman ki gibi süper yapıyorsunuz bu işı.,10.0,10.0,10.0,1604132376
İyidi.,10.0,10.0,10.0,1604132376
Çorbanın hakkını veren tek yer..,10.0,10.0,10.0,1604132376
Ellerinize sağlık kezzetinizden ödün vermemenize hayranım herkese tavsiye ederim.,10.0,10.0,10.0,1604132376
Çorbamdaki etin üstünde kış vardı doğru temizlenmemiş demek ki. Ben de puanınız yüksek diye sizden söyledim ama pişman oldum yiyemedim.,9.0,1.0,1.0,1604132376
Geç geldi ve tadı kötüydü.,1.0,7.0,5.0,1604132376
Harika çorbaları var.,10.0,10.0,10.0,1604132376
Ekmek arası ızgara tavuk ve tavuklu pilavınız harikaydı. Verdiğim ve yediğim en iyi siparişlerdendi. Perfect.,10.0,10.0,10.0,1604132376
Effffffsaneeeee kesinlikle deneyinn.,10.0,10.0,10.0,1604132376
İlk kez buradan sipariş verdim muhteşemdi. Ama işyerine servisleri var keşke bizim evin olduğu bölgeyede servisleri olsa bol bol sipariş verirdim. Kurye arkadaşta çok samimi efendi bir çocuktu teşekkürler herşey için işiniz rasgelsin.,10.0,10.0,10.0,1604132376
Herşey güzeldi ellerinize sağlık kuryeye de tessekkür ederim sıcak getirildiği için.,10.0,10.0,10.0,1604132376
"Puanına bakıp sipariş verdik, pilav fena değildi ama yavandı, mercimek çorbasını çoğaltmak için sulandırılmış gibiydi içemedik kısaca kötüydü.",9.0,9.0,6.0,1604132376
Special çorba mükemmeldi.. Elinize sağlık..,10.0,10.0,10.0,1604132376
2 adet çorba söyledik gelen çorbalar rezalet ötesiydi. Vıcık vıcık yağ içindeydi ve kokuyordu bir kaç kaşık aldık ve yiyemeden çöpe attık. Sakın çorba siparişi vermeyin paranıza yazık.,7.0,4.0,1.0,1604132376
Siparişi tarif kısmına ve sipariş notuna ısrarla evimin katını ve daire numarasını yazmama rağmen gidip karşı komşumun zilini gecenin o saatinde çalmanız hiç hoş değildi. Ayrıca yemeği hiç beğenmedim maalesef.,7.0,1.0,1.0,1604132376
Sıcak geldi lezzetliydi.,9.0,9.0,9.0,1604132376
Herşey çok iyiydi sağolun ellerinize sağlık.,10.0,10.0,10.0,1604132376
Normal.,9.0,9.0,9.0,1604132376
Gecenin 5inde hayatımda yediğim en iyi tavuklardan birisini yedim. Sosu çok iyi. Bozmadan devam...,10.0,10.0,10.0,1604132376
Pilavın tadı aroması 10. Ve gerçekten porsiyonlarınız doyurucu.,10.0,10.0,10.0,1604132376
Yemeğin elime sıcacık ulaşması..,10.0,10.0,10.0,1604132376
Hızlı ve özenli.,10.0,10.0,10.0,1604132376
İrmik helvası ikramı çok güzeldi teşekkürler.,10.0,10.0,10.0,1604132376
Cok lzeetli tavuk.,9.0,8.0,9.0,1604132376
15 liralık bir pilav tavuk için çok ama çok dolu bie porsiyondu. Çiğköfteleri güzeldi. Şiparişle ilgili tek sıkıntım sansıma pirincler bayagı diriydi. Kesinlikle bir sans daha verecegim o yüzfen cok puanlarını kırmak istemedim hayırlı işler.,10.0,10.0,8.0,1601502630
Pek beğenmedim.,6.0,6.0,6.0,1601502630
İkram göndermeniz çok kibarca. Yediklerim de gayet lezzetliydi.,10.0,10.0,10.0,1601502630
Hem lezzetli hem hızlı.,10.0,10.0,10.0,1601502630
Yediğim en iyi tavuk.,9.0,8.0,9.0,1601502630
Notları dikkate alıyolar ürünler hızlı ve sıcak geldi kelle paçanın eti fiyatına göre biraz azdı sadece.,9.0,9.0,9.0,1601502630
Sıcak geldi kokoreç pilav güzel özel soslu tavuk iyi değil di.,10.0,10.0,6.0,1601502630
Su setcard isini cozmemiz lazım :-) lezzet mukemmel.,10.0,10.0,10.0,1601502630
"Sipariş kalitesi, sipariş hızı ve notları dikkate almaları, her şey 10 numara!",10.0,10.0,10.0,1601502630
Çok hızlı servis çok lezzetli idi teşekkürler.,10.0,10.0,10.0,1601502630
İnanılmaz kötü.,1.0,1.0,1.0,1601502630
Biraz geç geldi ama sıcaktı ve ikramları güzeldi.,9.0,10.0,10.0,1601502631
"Lezzet çok başarılıydı, kesinlikle pişman olunmayacak bir işletme.",10.0,10.0,10.0,1601502631
Tadı çok iyi serviste gatyet iyiydi.,10.0,10.0,10.0,1601502631
Kurye arkadaşın konuşma üslubu çok yanlış tanımadığı müşteriye knk kanka reis diye hitab etmesi çok yanlış kurye arkadaşı uyarirsaniz sevinirim hız servis çok kötüydü 50 dakkada geldi geç gelmesine rağmen yemekler güzeldi.,1.0,1.0,10.0,1601502631
Pilaw anne eli değimiş gibiydi elinize sağlık...,10.0,10.0,10.0,1601502631
Alican diye bir kurye getirdi çok kibar ve güler yüzlüydü. Yemekler de çok iyiydi. Teşekkürler bytüre ailesi.,10.0,10.0,10.0,1601502631
Seviyorum burayı ya gece 4te çorba soyluyorum hemen sicak eksiksiz geliyor. Yapiyorlar bu sporu devam ederler inşallah.,10.0,10.0,10.0,1601502631
Daha iyi çorba yapan yer yok.,10.0,10.0,10.0,1601502631
Bu ne hız bu ne lezzet :) elinize sağlık.,10.0,10.0,10.0,1601502631
Harikasınız tebrik ediyorum ilk denememdi sizden başkasından sipariş vermem artık :).,10.0,10.0,10.0,1601502631
Ellerinize sağlık nefisti. Hızınıza hayranım.,10.0,10.0,10.0,1601502631
Kokoreç gerçekten harikaydı teşekkürler.,10.0,10.0,10.0,1601502631
Alican diye bir arkadaş var maşallah hızlı ve güler yüzlü.,10.0,10.0,10.0,1601502631
Elinize sağlık.,10.0,10.0,10.0,1601502631
Teşekürler eleriize sağlık.,10.0,10.0,10.0,1601502631
Kokoreç menü alıyoruz izmir usulü gönderecekleri yerde ince kıyım göndermişler ayıpp abii ayıpp.,3.0,3.0,1.0,1601502631
Hızlı ve guzel.,10.0,10.0,10.0,1601502631
Sogansiz diye ozellikle belirttigim seyin icinde bol miktarda sogan vardi. Yiyemedim.,7.0,7.0,5.0,1601502631
Köfte ve kokoreç çok iyi kurye çooook hizlibravooo.,10.0,10.0,10.0,1601502631
Gayet hızlı ve lezzetli geldi tşklr.,10.0,10.0,10.0,1601502631
Kötü.,1.0,1.0,1.0,1601502631
Kokoreç çok iyi ilk deneyimimdi cok hızlı geldi.,10.0,10.0,10.0,1601502631
"Yemeklerin lezzeti, sıcak oluşu, siparişin çabuk gelmesi ve güleryüzlü hizmet için teşekkür ederim. Bu restorantı herkese şiddetle tavsiye ediyorum.",10.0,10.0,10.0,1601502631
Yapıyorsunuz bu işi tebrikler..,10.0,10.0,10.0,1601502631
"Cok kaliteli bir servis, lezzetli ve hızlı bir menu. Ellerinize saglik.",10.0,10.0,10.0,1601502631
"Ellerinize saglık, lezzetli ve doyurucuydu.",10.0,10.0,10.0,1601502631
Güzeldi elinize sağlık.,10.0,10.0,10.0,1601502631
Teşekkür ederiz çok lezzetliydi herşey.,9.0,9.0,9.0,1601502631
Başarılı.,10.0,10.0,10.0,1601502631
"Bu kadar çabuk gönderdiğiniz için teşekkürler, çok lezzetliydi ellerinize sağlık.",10.0,10.0,10.0,1601502631
Muazzam bir yemek.,10.0,10.0,10.0,1601502632
Ellerinize sağlık anne eli değmiş gibi her şey mükemmel.,10.0,10.0,10.0,1601502632
Yemekleri genel olarak beğenmedim ayranda söylemiştim gelmedi..,7.0,1.0,1.0,1601502632
Tavuklupilav harikaydı herkeze tavsiye ederim.,10.0,10.0,10.0,1601502632
Güzeldi.,10.0,10.0,10.0,1601502632
Ellerinize sağlık tam zamaninda geldi ve her sey güzeldi.,10.0,10.0,10.0,1601502632
Gecenin bir yarısında sıcacık tavuk ve pilav.. Hız kalite hijyen ikram hakikaten mükemmeldi. Başarılarınız daim olsun.,10.0,10.0,10.0,1601502632
"Çorba katıydı resmen, sabahtan kalan çorbayı ısıtıp getirmişler. Köfteler de resmen çiğ idi. Bir daha sipariş vermem.",7.0,7.0,1.0,1601502632
Timuçin bey e ilgil alakası ve küçük sürprizler için çokça teşekkürler.,10.0,10.0,10.0,1601502632
Siparişe bırakılan notu ciddiye almamıslar istediğim gibi gelmedi ellerimle biber ayıkladım icinden. Hızlı geldi ve ikram helva göndermişler saolsunlar.,8.0,8.0,6.0,1601502632
İyi.,8.0,8.0,8.0,1601502632
Eh.,8.0,6.0,6.0,1601502632
Harika.,10.0,10.0,10.0,1601502632
Yani anlayamadım biz puanı çok yüksek olduğu için sipariş verdik sipariş verdiğimizde 11:30 civarıydı sipariş 12 buçukta elimize ulaştı ekmekler küçücüktü kızarmış ekmek değildi bayat ekmekti. Tam bir hayal kırıklığı idi cok üzüldüm.,1.0,1.0,1.0,1601502632
Beğenmedim yarım diye sattıkları şey çeyrek kadar. Çeyreği siz düşünün. Onun dışında vasat bir kokoreç.,7.0,1.0,2.0,1601502632
Sipariş zamanında elime ulaştı lezzet cok güzeldi kurye arkadasda güler yüzlü saygılı insandı güvenerek sipariş verebilceginiz yerlerden biri favoride yerini aldı cok tşklr ikramlar için ayrıca teşekkürler bol kazançlar.,10.0,10.0,10.0,1601502632
Ekmek arası köri sos tadı yoktu ama geercekten evde yapmısım gıbı sıcacık ve tazecıktı. Elınıze saglık.,9.0,8.0,9.0,1601502632
Herşey çok lezzetli ve sıçak geldi kuryenin güleryüzlülüğü ve samimiyeti hoşuma gitti.,10.0,10.0,10.0,1601502632
"Memnuniyet mükemmel, yemekler mükemmel son derece hızlı servis. Herkese tavsiye ediyorum..",10.0,10.0,10.0,1601502632
Ne kadar bozuk midye varsa hepsini göndermişler. İade talebi evet kabul edildi ve ücreti taktim edildi yanliz bu kadar sorumsuzluk olmaz. İnsan sağlığıni düşünmek bu kadar zor olmamalı heleki sizin yaptığıniz işte. Tekrar tercih restoranım olmayacak.,1.0,1.0,1.0,1601502632
Tat olarak çok iyisiniz ama ekmek boyutu gerçekten aşırı ufak.,10.0,10.0,10.0,1601502632
Heer zamanki gibi lezet harika 10 vermekten utaniyorum 10 çok az bu güzel lezetkerinize teşekürler keyfi by türe ailesi.,10.0,10.0,10.0,1601502632
Nefis.,10.0,10.0,10.0,1601502632
Gayet güzeldi. İkram için teşekkür ederim. Başarıların devamını dilerim.,10.0,10.0,10.0,1601502632
Kokorecin tadina bise demiyorum gayet lezzetli yalnız yarim ekmek dedikleri abartmıyorum ceyrek ekmekle eş deger buyuklukteydi artık jokerdenmi böyle yoksa standart bu şekildemi bilemiyorum çorba söyledim ayriyetten inanın erken geldi siparis ama buz gibiydi pişman oldum açıkçası sipariş verdigime.,8.0,1.0,5.0,1598872886
Güzel.,10.0,10.0,10.0,1598872886
Mükemmel di ellerinize sağlık.,10.0,10.0,10.0,1598872886
"Tavuk bol olsun diye büyük boy söyledim, pilavı çoğaltmışlar tavuğu damlatmışlar üstüne, ama güzel bi tabak pilav yedim yani, tavuğu eve atılan ince sıva gibi atmışlar üstüne tadına bakıyorsun sadece :).",7.0,9.0,6.0,1598872886
Kelle paçanın hakkını içine ustanın saçlarını atarak vermişsiniz. Tebrikler.,10.0,7.0,1.0,1598872886
Gayet iyiydi.,7.0,8.0,8.0,1598872886
Kalitenize yakışmayan bisey yolladıniz bana ilk defa pisman oldum. Kokuyordu kokoreç kötü bi kokusu vardi birdaha sipariş edeceğimi sanmıyorum.,6.0,7.0,3.0,1598872887
Lezzet güzel porsiyon bol fiyat uygun.,10.0,10.0,10.0,1598872887
İyi.,10.0,10.0,10.0,1598872887
Yarım ekmek dedikleri şey çeyrek ekmegin inceltilip uzatılması asla ve asla doyurucu değil.,8.0,10.0,7.0,1598872887
Mercimek çorbası mükemmel.,10.0,10.0,10.0,1598872887
Kokoreç fişekti bu kadar iyi yapmayın.,10.0,10.0,10.0,1598872887
"Çorba buz gibiydi, kokorecin ekmeği de dahil kullanıdığınız ekmeklerin tadı tuzu bir değişik, değiştirmelisiniz.",1.0,1.0,1.0,1598872887
Tadı çok güzeldi yemeklerin.,7.0,9.0,10.0,1598872887
Hızlı ve güzeldi.,10.0,10.0,10.0,1598872887
Midyenin yanına fazladan limon istemiştim gönderdiğiniz için teşekkürler bide midyeleriniz efso ayrıca ikram içinde çok çok teşekürler.,9.0,10.0,10.0,1598872887
Midyeler güzeldi.,10.0,10.0,10.0,1598872887
Köfte çok iyi değil.,9.0,9.0,6.0,1598872887
Kokorec ve cigkofte guzel. Midye o kadar da degil.,10.0,10.0,8.0,1598872887
İdare ediyo gelisicek gibi.,6.0,10.0,6.0,1598872887
Güzel.,10.0,10.0,10.0,1598872887
"Çok lezzetliydi, acı biber koymuşsunuz, bol sos, baharat ve soğan istemiştik tam istediğiniz gibi geldi. Çok teşekkürler.",10.0,9.0,10.0,1598872887
İşkembe çorbası olmamış maalesef lezzet yok.,8.0,8.0,4.0,1598872887
Getiren arkadaş paketi kendi ekseninde gülle gibi sallayarak getirmiş herhalde olduğu gibi suyu yağı poşete akmıştı 50 liralık kuru pilav söylüyoruz insan 2 dilim ekmek koyar içine.,10.0,5.0,5.0,1598872887
İkram için teşekkürler.,10.0,9.0,10.0,1598872887
Gayet güzel notlara uyulmasıda ayrı güzel.,10.0,10.0,10.0,1598872887
Mükemmmmel.,10.0,10.0,10.0,1598872887
Gayet güzeldi köftesi harikaydı.,8.0,8.0,10.0,1598872887
Gerek sipariş hızı gerek yemek lezzeti gerek teslimat yapan arkadaşların güler yüzlülüğü gerçekten çok iyi. Teşekkür ederim.,10.0,10.0,10.0,1598872887
Mükemmel hız tat teşekkurler.,10.0,10.0,10.0,1598872887
Sipariş içeriği eksik geldi.,10.0,1.0,10.0,1598872887
Köri tadi pek alamadım.,10.0,8.0,5.0,1598872887
İzmir süperdi.,10.0,10.0,10.0,1598872888
"Kokoreç kesinlikle düşünceli sarılmış, sanki evimde paketlenmiş gibi sıcaktı teşekkürler :) lakiiin çorbamız birazcık fazla sulu geldi bana, buna dikkat edelim lütfen, bunun dışında ellerinize sağlık herşey güzel.",10.0,10.0,10.0,1598872888
Kuryeci çok efendi. Telefonumu sisteme yanlis girmeme ragmen zile basmayiniz dedigim icin kapida yanlisikla bekletmis oldum. Hizli ve lezzetli.,10.0,10.0,8.0,1598872888
Kokoreç kuruydu. İkramınız güzeldi teşekkürler.,7.0,7.0,5.0,1598872888
İkram icin tesekkürler.,10.0,10.0,10.0,1598872888
Çok teşekkür ederim çok lezzetliydi ve hemen kısa bi sürede geldiler ben bu kadar hızlı geleceklerlerini beklemiyodum sürekli tercih etcem sizi artık.,10.0,10.0,10.0,1598872888
Güzel.,10.0,10.0,7.0,1598872888
Rlinize sağlık lgerwk lezzet gerek ürünlerinizin tazeliği ve servisiniz 10 numara.,10.0,10.0,10.0,1598872888
Gece yarısı kokoreç sipariş verdik. 10 dk da sıcak bir şekilde geldi. Çok lezzetliydi. Ellerinize sağlık.,10.0,10.0,10.0,1598872888
Yanlış şipariş verdim halde anlayışınız için teşekür ederim hızlı ve sıcak gelen köftem lezetliydi teşekürler keyfi bay türe.,10.0,10.0,10.0,1598872888
Ozenli calışma için tesekkur ederim.,10.0,10.0,10.0,1598872888
Çorba gayet lezletliydi. Herkese tavsiye ederim. Gayet sıcak ve yanında bol ikramla geliyor. Ellerinize sağlık. Çorbanın yanındaki ikramlar için teşekkür ederim. En kısa zamanda yerinize gelip diğer ürünlerinizi de deneyeceğim.,10.0,10.0,10.0,1598872888
Tavuğunuz muhteşem gerçekten yemekten zevk aldığım nadir yerlerden birisiniz teşekkür ederim kolay gelsin.,10.0,10.0,10.0,1598872888
Güzeldi.,10.0,10.0,10.0,1598872888
Güzel.,10.0,10.0,10.0,1598872888
Güzeldi.,10.0,9.0,9.0,1598872888
Ellerinize sağlık memnun kaldık.,10.0,10.0,10.0,1598872888
İyi.,10.0,10.0,10.0,1598872888
Kurye arkadaş çok nazikti kelle paça güzeldi helva için teşekkürler.,10.0,10.0,10.0,1596243142
Güzel gayet başarılı.,10.0,10.0,10.0,1596243142
Mercimek sabahtan kalma midyeler bayat kokoreç iyi ama ekmek bayat kelle paça baya iyi ama.,9.0,8.0,6.0,1596243142
"Anlayışlı bir restorant, on numara yemek ve menüleri var kuryeye kapıyı duymayip acmadigim halde bile anlayışla karşıladılar.",10.0,10.0,10.0,1596243142
Teşekkürler ellerinize sağlık.,10.0,10.0,10.0,1596243142
"Hız, sıcaklık. Lezzet hepsi çok iyiydi.",10.0,10.0,10.0,1596243142
"Yarım söyledik, çeyrek geldi. Yarımı çeyrek olarak düşünebilirsiniz. Lezzeti yerinde.",8.0,1.0,10.0,1596243142
Ellerinize sağlık. Lezzetinizden hiçbirşey kaybetmemişsiniz. Yemeklerinizi herkese tavsiye ediyorum. Temiz titiz ve güleryüzlü personelinizde cabası. Teşekkürler.,10.0,10.0,10.0,1596243142
Hem cok lezzetli hem cok hizli hemde guleryuzlu calisanlari icin tesekkur ediyorum.. Ellerinize saglik.,10.0,10.0,10.0,1596243142
Çok teşekkürederim hızlı servis ve lezzetli yemek için.,10.0,10.0,10.0,1596243142
Herşey çok güzeldi elinize sağlık.,10.0,10.0,10.0,1596243142
Lezzetli ve hızlı.,10.0,10.0,10.0,1596243142
Ya allah aşkına ayda yılda bir canımız tuzlama çekti içindeki taneleri sayıyla mı koyuyorsunuz. Mercimek çorbası daha makbule gecerdi.. Kusura bakmayın ama sınıfta kaldınız.. 23 liraya çorba için bu kadar cimrilik iyi degil.. İlk ve son siparişimdir size.. Hayırlı işler.,7.0,1.0,1.0,1596243142
