comment_text,comment_speed,comment_service,comment_taste,comment_time
Tşk.,8.0,8.0,8.0,1606762210
Plastik tadı vardı hamburger ve patateslerde.,10.0,10.0,5.0,1605725410
Fiyat performans olarak lezzeti düşük verdim lezzetli ama fiyata göre yeterli değil çok standart.,10.0,10.0,5.0,1605552610
Maalesef köftesi pek lezzetli değil.,10.0,10.0,7.0,1605207010
Yanık geldi et puanın hakkını vermiyor.,6.0,2.0,1.0,1604947810
Harika vodafone menüsü olmalı.,10.0,10.0,10.0,1604602210
Tercih edilebilir.,10.0,10.0,9.0,1604429410
İlk defa içinde peynir olmayan bir cheeseburgerle tanışmış oldum. Çıtır tavuk diye tanımlanan taş kıvamında ve şekilsiz bir et(? ) parçasıyla birlikte servis edilmiş. Neyse ki patasesler pek fena değildi. Puanına aldanarak verdiğim ilk ve son siparişim oldu.,10.0,9.0,3.0,1604132464
Efsane lezzet ama show konusudna düşük biraz.,10.0,8.0,10.0,1604132464
"Köftesinin tadı çok başarılı değil ama çıtır tavuk, mozarella sticks ve patateslerin çıtırlığı harikaydı. Keşke çıtır tavuklu burgeriniz de olsa. Teşekkürler :).",10.0,10.0,8.0,1604132464
Güzeldi tesekkurler.,10.0,10.0,10.0,1604132464
Hız ve servis gayet güzeldi ama hamburger köftesinin tadını beğenmedim.,9.0,9.0,6.0,1604132464
Karamelize soğanınız biraz yanık tadı veriyor. Onun dışında her şey mükemmel 10/10.,9.0,10.0,9.0,1604132464
"Vakitli geldi, burger idealdi ekmeği tostlanmıştı. Patatesleri özellikle çok güzeldi.",10.0,10.0,10.0,1604132464
Tadı güzeldi. Baharatlı patatesde güzeldi.,10.0,10.0,10.0,1604132464
Çok hızlı geldi geldğinde yemek sıckadı ve çok lezetliydi.,10.0,10.0,10.0,1604132464
"Çok lezettli, teşekkür ederim.",10.0,10.0,10.0,1604132464
Perfect.,10.0,10.0,10.0,1604132464
"İçeceklerimizi göndermediler, uyardım tekrar geldiler ayran kalmamış diyip hiç bir şey vermediler.",8.0,1.0,8.0,1604132464
Hamburger daha sıcak ve özenli olabilirdi paketleme özenliydi.,5.0,8.0,7.0,1604132464
Ekmeği yumuşacık ve lezzetliydi hamburgerin içeriğide güzel ve tazeydi. Benim için eksi puanı patates kızartmasının baharatlı olduğu menü detayında belirtilmemesiydi. Belirtilmiş olsaydı baharatsız olmasını not düşebilirdim.,10.0,8.0,9.0,1604132464
Koftesi yillar once yedigim kantinde satilan hamburgerdekiyle birebir ayni ince ve sanki dondurulmus gibi patates hatirina bu puani verdim.,10.0,8.0,4.0,1604132464
Elinize sağlık :).,10.0,10.0,10.0,1601502718
Çok lezzetliydi ilk kez sipariş verdik çok memnun kaldık ellerinize sağlık.,10.0,10.0,10.0,1601502718
İlk defa siparis verdim ama gercekten hizli ve lezzetliydi.,10.0,10.0,10.0,1601502718
Ekmek biraz daha yumusak kalsa daha iyi olur sanki.,10.0,10.0,9.0,1601502718
İyi.,9.0,9.0,9.0,1601502718
Her zaman ki gibi inanılmaz bir lezzet.,10.0,10.0,10.0,1598872972
Tavuk menuler berbat. Et soyleyin.,10.0,10.0,1.0,1598872972
Servis önerisi olarak patatesleri kağıt torbaya koymak yerine hava alabilen ufak kutulara koyabilirseniz patateslerimiz gelene kadar yumuşamamış olur. Bunun dışında her şey çok lezzetli ve hızınız çok çok iyi. Teşekkürler.,10.0,9.0,10.0,1598872972
Her şey çok güzeldi. Özellikle sipariş çok hızlı geldi. 13 dakikada sipariş elime ulaştı çok teşekkürler.,10.0,10.0,10.0,1598872974
Çok lezzetliydi ellerinize sağlık.,10.0,10.0,10.0,1598872974
Bir önceki siparşimizde biraz sıkıntı yaşamıştık ama sağolsunlar bu siparişte yeniden eski lezzetinde hamburgerler göndermişlerdi. Ayrıca gönderdikleri ikramlar için de çok teşekkür ederiz.,10.0,10.0,10.0,1598872974
Teşekkürler. Lokum burger iyiydi.,9.0,9.0,9.0,1596243228
Hamburger köftesi kokuyordu.,10.0,9.0,4.0,1596243228
Güzeldi.,10.0,10.0,10.0,1596243228
Hamburger köftesi biraz kuruydu. Patatesi çok güzeldi servis hızlıydı.. Tesekkurler.,9.0,9.0,6.0,1596243228
Her zaman ki gibi harikaydı.,10.0,10.0,10.0,1596243228
Vasatı aşmaz.,9.0,8.0,7.0,1596243228
"Combo mix ürünü önceden kutu içinde gelirdi, bugün ise kağıdın içine koyup göndermişler, mozerella sticksler gelirken kağıt gibi olmuş, porsiyonlar azalmış, fiyatlar artmış, biliyoruz zor zamanlar olabilir, fakat artık tekrar sipariş vermeden önce düşünmeye başlayacağım.",10.0,4.0,7.0,1596243228
Elinize sağlık. Ancak bazı etlerin içi hiç pişmemişti. Bazılarında ise sorun yoktu. Pişirirken ustamız daha dikkatli olursa seviniriz. Teşekkürler...,10.0,10.0,6.0,1596243228
"Yegenim cok begendi, hizliydi. Elinize saglik.",10.0,9.0,10.0,1593613482
Daha önce de defalarca bu restorandan burger siparişi verdik. Fakat bu sefer çok kötüydü. Burger ekmeği yanmıştı. Köftesi aşırı sertti ve lezzetli değildi. Zaten ekmek de yanık olunca iyice kötü oldu. Patatesler de beklemişti. Bu sefer gerçekten hayal kırıklığı oldu. Bundan sonrası tereddüt ederim.,9.0,7.0,1.0,1593613482
Çok beğenerek yemek yediğim bi yer kesinlikle tavsiye ediyorum.,10.0,10.0,10.0,1593613482
Harikaydı.,10.0,10.0,10.0,1593613482
Gayet iyi.,10.0,10.0,10.0,1593613482
Patates çok iyiydi. Hamburgere gelince eti aşırı aşırı aşırı pişirmişler kupkuruydu. Hamburgerin ekmeği yanmıştı yani siyah olmuş bildiğin. Herhalde ocakta unutmuşlar hiç beğenmedim.,8.0,5.0,5.0,1593613482
Hamburger koftem pısmemıstı :(.,9.0,9.0,7.0,1593613482
Parasını hak etmiyor bence sade patatesleri iyi.,8.0,7.0,6.0,1593613482
Hızlı ve sıcak geldi. Fiyatına göre hamburgerin lezzeti düşük. Hamburger ekmeği çok iyi.,9.0,9.0,7.0,1593613482
Harikulade.,10.0,10.0,10.0,1593613482
"Yorumlari okuyunca beklentim cok yukseldi fakat bekledigim tadi yakalayamadim, ilik geldik.",10.0,10.0,7.0,1593613482
Siparisim hem cok hizli geldi hemde eksiksiz.,10.0,10.0,10.0,1593613482
"Çok lezzetli, jet hızında teslim. Orada beklesem bu kadar hızlı gelirdi.",10.0,10.0,10.0,1593613482
Hamburger köftelernizi değiştirin. Hazır köfte tadı var. Marer gibi pınar gibi.,9.0,9.0,7.0,1593613482
Başarılı.,10.0,10.0,10.0,1593613482
Tadı ağzımdan gitmesin diye 18 saattir yemek yemiyorum. Harikaydı.,10.0,10.0,10.0,1593613482
"Bildiğim bir burgerci, bu sebeple çok düşük puan vermek istemedim, tost istedim sipariş aşamasında patates ile birlikte yazıyordu, fakat patates gelmedi, bilseydim ayrıca patates siparişi de verirdim, çünkü bayılıyorum patatesinize...",9.0,8.0,8.0,1593613482
"Gerçekten çok lezzetliydi ve belirtilen zamanda geldi, elinize sağlık.",10.0,10.0,10.0,1593613482
