food_id,food_name,food_price,food_category,food_score
85ccf2b2-455f-4481-aa61-06e939d4201b,Çiğ Köfte Dürüm,"7,00 TL",Çiğ Köfteler,16.0
7a294d1c-6081-4461-a2b3-b013152ccbbe,Çiğ Köfte (200 gr.),"12,00 TL",Çiğ Köfteler,11.0
c192d45b-6982-4406-b6c8-e09cc7ff5b8c,Çiğ Köfte (400 gr.),"22,00 TL",Çiğ Köfteler,16.0
e94b0559-6cd4-4718-8080-3aaa7e5b28ef,Çiğ Köfte (600 gr.),"35,00 TL",Çiğ Köfteler,16.0
77ff9493-6e74-4115-9958-970e2c74c59c,Çiğ Köfte (1 kg.),"55,00 TL",Çiğ Köfteler,11.0
45f3686a-af9c-4888-9408-d168bbed75ee,Acı Sos (25 cc.),"1,00 TL",Yan Ürünler,5.0
3b84330e-4da5-488d-881a-6421997fa081,Nar Ekşisi (25 cc.),"1,00 TL",Yan Ürünler,3.0
5b6767e5-411c-47d1-b0b0-1be947e2fc22,Lavaş (Adet),"0,50 TL",Yan Ürünler,7.0
3873089d-62e0-4962-8f6f-ff2df67d3dbe,Limon (Adet),"1,00 TL",Yan Ürünler,5.0
75ef3696-8b3a-4a29-8b5a-0e3a1388d6ef,İçim Ayran (1 L.),"7,00 TL",İçecekler,5.0
3dd28065-e9c5-4412-8bfe-8db54fd58f68,Poşet,"0,25 TL",Poşet,5.0
