comment_text,comment_speed,comment_service,comment_taste,comment_time
Hızınız mükemmel :)şeker içinde çok teşekkür ederiz çok kibarsınız çokta güzeldi kumpir :).,10.0,10.0,10.0,1606764924
Ellerinize sağlık.,10.0,10.0,10.0,1606678524
İyi.,10.0,10.0,10.0,1606678524
Çok tatsızdı ve cifte kasar olmasına ragmen hic tad alamadım...,8.0,8.0,4.0,1606678524
Kumpir sıcacak ve lezzetliydi. Yanında gönderdiğiniz süpriz jelibon için çok mutlu oldum.,10.0,10.0,10.0,1606592124
Çok hızlı geldi. Hediyesi de vardı bir an insan mutlu oluyor. Dolu doluydu malzeme ayrıca. Çok teşekkürler.,10.0,9.0,9.0,1606592124
Tesekkurler.,10.0,10.0,10.0,1606592124
Basarili uzmedi de bayiltmadi da.,8.0,8.0,8.0,1606592124
Hem cok hızlıydı hem de cok lezzetliydi. Jelibonlar icin de teşekkür ederiz.,10.0,10.0,10.0,1606505724
"Çok hızlı, lezzetli ve sıcak geldi. Restoranınızda misafir ettiğinizden hiç bir farkı yoktu. Her zaman tercihimizsiniz.",10.0,10.0,10.0,1606505724
"Sipariş yola çıktı denildikten sonra saate baktım 40 küsür dakikada geldi. Hızdan puan kırdım o yüzden. Ama tadı da iyiydi servis de iyiydi. Yanında da jelibon yollamışlar ama ben yemiyorum, çocuğuma da vermiyorum, ne yapacağımı şaşırdım.",5.0,10.0,9.0,1606505724
Efsaneeee.,10.0,10.0,10.0,1606419324
Lezzeti yerinde malzemesi bol sıcak ve hızlı geldi kuryeniz gökhan bey çok kibardı kendisine teşekkür ederim.,10.0,10.0,10.0,1606246524
Sıcak ve lezzetliydi. Teşekkürler.,10.0,10.0,10.0,1606246524
Çok hızlı geldi. 14 dk.,10.0,10.0,9.0,1606246524
"Tam zamanında geldi, ikramlar için teşekkürler çok lezzetliydi 3.",10.0,10.0,10.0,1606073724
Güzel.,10.0,10.0,10.0,1605900924
Güzel jelibon da çok tatlı.,9.0,10.0,10.0,1605900924
Bu sefer sanki yavan gibiydi ama seviyorum burayı puan kırmicam.,10.0,10.0,10.0,1605814524
Çok doyurucu ve cok lezzetlı kucuk hesıyenız ıcınde teşekkurler.,10.0,10.0,10.0,1605728124
Tanju bey siz harika bi kuryesiniz!,10.0,10.0,10.0,1605468924
Merhabalar kumpir mazeme cok güzel ve boldu ışık hızıyla gelen tanju bey e teşekkür ederiz.,10.0,10.0,10.0,1605382524
Ben çok beğendim.,10.0,10.0,10.0,1605382524
Harikaydı.,9.0,9.0,9.0,1605296124
"Sıcaklığı, hızı, lezzeti 10 üzerinden 10.",10.0,10.0,10.0,1605209724
Harikasınız.,10.0,10.0,10.0,1605209724
Cok guzel.,10.0,10.0,10.0,1605123324
"Cok beklemeden geldi ve hala sıcacıktı, jelibon içim tesekkürler.",10.0,10.0,10.0,1605123324
Bayılıyorum size minimum fiyatı indirin lütfeeeeenn.,10.0,10.0,10.0,1605123324
"Kralsınız, mükemmel.",10.0,10.0,10.0,1605123325
Küçük hediyeniz için de çok teşekkür ederim.,10.0,10.0,10.0,1605036925
Çok güzell.,10.0,10.0,10.0,1605036925
Guzel.,8.0,7.0,8.0,1605036925
Sorunlu bir siparis sonrasinda yorumlarda kendimi hatirlatmama ragmen birakin ozel muamele gormeyi kurye arkadasin cok gec geldim ozur dilerim demesi onun kibarligini ama muesssenin bozuklugunu gosterir.. Buz gibiydi waffle.. Son siparisimmis..,1.0,1.0,1.0,1604950525
70 dakikada geldi buz gibiydi kutu ters dönmüştü kumpir oyulup tereyağı ve kaşar ile karıştırılmamıştı rezaletti.,1.0,1.0,1.0,1604950525
"Siparişim geç ve soğuk geldi. Fiyatının pahalı olduğunu düşünüyorum, bu ücretlere doyurucu bir yemek yenebiliyor.",1.0,4.0,4.0,1604864125
Yağmur yağmasına rağmen hızlı geldi elinize sağlık tekrar tavsiye ederim.,10.0,10.0,10.0,1604864125
Muhtesem.,10.0,10.0,10.0,1604777725
