food_id,food_name,food_price,food_category,food_score
b1267aba-37fb-4169-92ac-884530e41f39,Çiğ Köfte (1 kg.) Menü,"64,00 TL",Menüler,8.0
ce7953d0-03ec-4d0a-80f2-320d82843859,Çiğ Köfte (750 gr.) Menü,"49,00 TL",Menüler,8.0
33a7ba0b-0eb3-43d6-895a-ed702998d59a,Çiğ Köfte (600 gr.) Menü,"44,00 TL",Menüler,8.0
442973f8-313b-47bb-86c3-254352439b8a,Çiğ Köfte (500 gr.) Menü,"36,00 TL",Menüler,8.0
82849bc3-02dd-4793-a319-a7886ffa7b2e,Çiğ Köfte (250 gr.) Menü,"27,00 TL",Menüler,8.0
c1776a35-024a-4ce1-b055-ab227eb7ce47,4'lü Çiğ Köfte Dürüm Menü,"69,00 TL",Menüler,8.0
b46a033c-5326-4164-a3fb-102e320021a5,4'lü Mega Çiğ Köfte Dürüm Menü,"63,00 TL",Menüler,8.0
f2ddd925-4734-4a81-8894-6d8e0dd33f4a,Çiğ Köfte Dürüm,"7,00 TL",Çiğ Köfteler,13.0
fcfd7f4c-f676-4bd0-8406-3f2e3c554d57,Mega Çiğ Köfte Dürüm,"10,00 TL",Çiğ Köfteler,13.0
65383291-1bb3-41ba-bd58-57ac8a5726ce,Çiğ Köfte (250 gr.),"15,00 TL",Çiğ Köfteler,13.0
8c1098c4-05b2-4292-a4e9-336f98b29a4e,Çiğ Köfte (500 gr.),"29,00 TL",Çiğ Köfteler,8.0
83df96d6-3ebd-4aba-bdad-02689720f042,Çiğ Köfte (600 gr.),"33,00 TL",Çiğ Köfteler,8.0
37fcd702-c03d-4ed6-aca8-2eb0b05a5790,Çiğ Köfte (750 gr.),"42,00 TL",Çiğ Köfteler,8.0
90fd116d-f641-43a7-8f1c-6efd0dcf2d48,Çiğ Köfte (1 kg.),"49,00 TL",Çiğ Köfteler,8.0
13e70b47-6276-4711-93c8-cd0f60aa8fac,Bardakta Mısır (Büyük),"8,00 TL",Diğer Lezzetler,3.0
535eee84-3165-419e-b5b0-8d74529503be,Bardakta Mısır (Duble),"15,00 TL",Diğer Lezzetler,3.0
9442a7c0-0a59-4374-9431-3bf71dff0e4f,Midye Dolma (10 Adet),"19,00 TL",Diğer Lezzetler,7.0
615973be-5e9d-4c6d-b03c-438907edca9a,Midye Dolma (20 Adet),"29,00 TL",Diğer Lezzetler,7.0
9eb0bc9d-20a7-455d-895c-b930941e0505,Midye Dolma (30 Adet),"43,00 TL",Diğer Lezzetler,7.0
b9ccd14d-c35d-4235-a0da-af6d09241353,Midye Dolma (50 Adet),"67,00 TL",Diğer Lezzetler,7.0
9e096a74-39a2-48f2-afad-8f890688e266,Lavaş (2 Adet),"1,50 TL",Yan Ürünler,5.0
