food_id,food_name,food_price,food_category,food_score
6a182c8d-6aee-443d-babd-dcf6e5e882cf,Menü 1,"40,00 TL",Menüler,5.0
2D7C7181-34DE-4392-9764-18937B3A6BDA,Yarım Ekmek Arası Tavuk But Şiş Menü,"20,00 TL",Menüler,6.0
9EFC5C00-2BC7-4593-8EA5-135A8E6F77F0,Tavuk But Şiş Dürüm Menü,"24,00 TL",Menüler,4.0
1c7674c2-adae-458f-bf5c-b23d21082bf2,Menü 2,"80,00 TL",Menüler,8.0
24f9ed5c-7ba5-45b1-86ed-eea9b2637926,Menü 3,"115,00 TL",Menüler,7.0
35ea4b47-99ca-40e3-9a6b-b3fd14f49dbe,Yarım Ekmek Arası Halka Kokoreç,"35,00 TL",Kokoreçler,6.0
2dcf88bf-ea77-4a69-ab9d-8acaec23506f,Yarım Ekmek Arası Uzay Kokoreç,"45,00 TL",Kokoreçler,5.0
bb8fd592-20bb-49e2-b4e3-63de3b410812,İstanbul Dürüm Kokoreç,"30,00 TL",Kokoreçler,3.0
1740e9bc-559a-47c8-9f40-7a3e3e2a542b,İzmir Dürüm Kokoreç,"35,00 TL",Kokoreçler,8.0
6E4206D6-A8B6-4126-861F-9FEC968C0A71,Yarım Ekmek Arası Tavuk But Şiş,"20,00 TL",Köfteler & Tavuklar,7.0
0C661F0C-9985-4817-B2BA-F994CAD00816,Tavuk But Dürüm,"20,00 TL",Köfteler & Tavuklar,5.0
40C6F205-E2A9-4468-818F-00FA5C170B8D,Tavuk But Şiş,"26,00 TL",Köfteler & Tavuklar,5.0
0acc3bb3-a9c1-49b8-9f76-e69513383839,Poşet,"0,25 TL",Poşet,5.0
