food_id,food_name,food_price,food_category,food_score
fabe0a72-f872-47e5-9795-294bdb27b624,Yaprak Ciğer,"30,00 TL",Ara Sıcaklar,10.0
18b4afcc-bfd7-4ec1-82fc-a586fe29293a,Paçanga Böreği,"6,00 TL",Ara Sıcaklar,5.0
235c7d3a-1a85-414a-9206-6e8e1c0b970d,Kızartma İçli Köfte (Adet),"8,00 TL",Ara Sıcaklar,5.0
4bb41856-8705-4c19-ac9a-a0c4dd95a977,Pastırmalı Humus,"15,00 TL",Ara Sıcaklar,5.0
60847db0-9db0-4fab-91f4-41897431a55e,Adana Kebap,"35,00 TL",Kebaplar,5.0
6ce46b0c-2ae0-4ca4-9f5d-08829e5831e2,Urfa Kebap,"35,00 TL",Kebaplar,5.0
246a343c-c1f3-4951-8bd1-82eee70d5e12,Abugannuş (Çöp Şişten),"40,00 TL",Kebaplar,5.0
0facab8a-fd39-4ed6-a6be-e63fe569de1c,Alinazik Kebap (Adana Kebaptan),"40,00 TL",Kebaplar,5.0
0c83411c-aa7c-4824-ba7e-dfbf8f7942ce,Patlıcanlı Kebap,"40,00 TL",Kebaplar,5.0
e45ae48e-1c50-448c-bf5c-8fcdbedd9487,Sarma Beyti Kebap,"40,00 TL",Kebaplar,5.0
d13c063b-a6d4-4875-a95c-c62e2b9f4156,Yoğurtlu Kebap,"40,00 TL",Kebaplar,5.0
664cf418-32e9-45a8-81bb-911c259009c1,Karışık Kebap (1 Kişilik),"50,00 TL",Kebaplar,5.0
38e99db1-55be-4ebc-a02a-ab8697cbc28f,Tavuk Kanat,"30,00 TL",Izgaralar,5.0
4a92d299-e289-4dda-9739-39ae82b3ad55,Dörtler Köfte,"35,00 TL",Izgaralar,5.0
371da1cb-f9b1-4e98-adca-7093f62aabbb,Tavuk Şiş,"30,00 TL",Izgaralar,5.0
b34b9421-3fa8-4daa-b23a-4cdcee08bb6b,Kuzu Şiş,"40,00 TL",Izgaralar,5.0
ac20b55c-f696-42d2-8765-a0e495aa152d,Çöp Şiş,"40,00 TL",Izgaralar,5.0
acd6ddf9-ec77-4c3b-886f-6c2c4d50fdc4,Ciğer Şiş,"40,00 TL",Izgaralar,5.0
762d833b-1bcb-4b7f-a22b-be367763a535,Kuzu Pirzola,"45,00 TL",Izgaralar,5.0
78452e5f-d5d0-47b9-bb5d-0c90792e77cb,Kuzu Biftek,"45,00 TL",Izgaralar,5.0
8ce6bdba-2b0c-4563-9a56-a87e24bd7528,Kuzu Kaburga,"45,00 TL",Izgaralar,5.0
955f7ae3-3fae-4bf5-b917-c2ccd62975c8,Dana Bonfile,"55,00 TL",Izgaralar,5.0
e8eb6520-f98e-4770-9f99-98bba8bff833,Dana Pirzola,"60,00 TL",Izgaralar,5.0
0fc74e55-b740-4119-8dd4-615e29e34fb6,Dana Antrikot,"50,00 TL",Izgaralar,5.0
277C1461-9941-4A10-99F1-6F0D75392630,Karışık Izgara (1 Kişilik),"50,00 TL",Izgaralar,5.0
74C1E5B3-FADE-4EC7-97E9-CD7EBC542D80,Karışık Izgara (2 Kişilik),"90,00 TL",Izgaralar,5.0
76413ed1-45ae-4aca-a0b3-8d7d30ad4230,Fındık Lahmacun,"4,00 TL",Lahmacunlar,10.0
4503cff3-5e5d-4136-82ba-79f5de68804d,Ceviz Lahmacun,"6,00 TL",Lahmacunlar,5.0
593c9a64-ddfd-4ab6-975d-5e688159fd6b,Lahmacun,"9,00 TL",Lahmacunlar,10.0
679b15d6-72d1-4e27-8d85-e5ef4ed8cc61,Kaşarlı Lahmacun,"11,00 TL",Lahmacunlar,5.0
