comment_text,comment_speed,comment_service,comment_taste,comment_time
"Hızlı geldi, porsiyonu büyük, uygun fiyata doyurucu.",10.0,9.0,8.0,1606680016
Çok güzel olmuş ellerinize sağlık.,10.0,10.0,10.0,1606420816
Hayatımda yediğim en kotu döner tek iyi olan paketcileriniz ayağına sağlık kardeşim hizlisin.,10.0,5.0,3.0,1606334416
Sımsıcak ateş gibi.,10.0,10.0,10.0,1606248016
Her zamanki gibi çok güzel hızınız serveseniz lezzetiniz 10 numara her keze tavsiye ederim!,10.0,10.0,10.0,1606075216
Her zaman mükemmel favorimsiniz 10 yetmez 100 puan iyiki varsınız ok sa aç kalca.,10.0,10.0,10.0,1606075216
Hız servis lezzet cok guzel her sey icin teşkkurler.,10.0,10.0,10.0,1606075216
Patatesli istemiştim. Ancak sade geldi ve ücretini de aldılar. Patates kalmamış vs bir şey de demediler.,9.0,1.0,6.0,1605988816
Hatay usulünde sos yoktu.,10.0,10.0,1.0,1605902416
Fena değil.,10.0,7.0,7.0,1605902416
"Geç tanıştık sizinle, ama artık hep beraberiz.",10.0,10.0,10.0,1605816016
Sıcacık lezzetliydi ben beğendim ama daha çok patates mevcuttu ama özenle yapılmış olması gönüller de tahtını aldı kurye çalışanı gayet güler yüzlü saygılı bol kazançlar.,10.0,10.0,10.0,1605729616
İyi.,10.0,10.0,10.0,1605729616
Mükemmel.,10.0,10.0,10.0,1605729616
Basarili.,9.0,9.0,9.0,1605729616
Severek yiyoruz ama son gelenin etleri çok yanıktı.,10.0,10.0,8.0,1605643216
Normal tavuk döner ekstra lezzetli değil ekstra kötü bir yanı da yoktu.,7.0,8.0,7.0,1605643216
İyi.,10.0,10.0,10.0,1605643216
Jet gibi geliyor maşallah :).,10.0,10.0,10.0,1605643216
Sipariş içerisinde soğan istememiz halinde soğanlı geldi.,7.0,7.0,7.0,1605643216
Oldukça doyurucuydu ancak tavuk lezzetini pek alamadık.,10.0,10.0,7.0,1605556816
Her dediğimi doğru getiriyorlar ayrıca ateşli hızlı geliyor.,10.0,10.0,10.0,1605556816
Sosu çok fazla geldi ama genel olarak güzel.,9.0,9.0,8.0,1605556816
Ürünü hatay soslu istedim ama sosla hiç yoktu ve çok lezzetsizdi.,8.0,10.0,1.0,1605470416
Güzel.,8.0,8.0,8.0,1605384016
Güzeldi.,9.0,9.0,9.0,1605297616
Özür dilerim tadı damağıma uymadı beğenemedim:(.,9.0,6.0,3.0,1605211216
Lezzetliydi ben sevdim ellerinize sağlık çokda temiz yeşillikleri taze.,10.0,10.0,10.0,1605211216
Hız servis lezzet fevkalade on numara şiddetle tavsiye edilir teşekkürler kral döner.,10.0,10.0,10.0,1605211216
İyiydi iyi.,10.0,10.0,10.0,1605211216
Tadı kötüydü.,8.0,6.0,1.0,1605124817
Dönerleri muazzam. Hızlı da geldi.,10.0,10.0,10.0,1605038417
Fena değildi hayırlı işler.,8.0,8.0,7.0,1605038417
Başarılı.,10.0,10.0,10.0,1604952017
Hızı ve servisi çok iyi. Fakat dürümlerde ciddi bi açıklama ve yapılış farklılığı var. Kesinlikle hatay usulü döner değildi. Ayrıca sanki sebzeli dürüm yiyiyordum. Tavuk yemedim. Çok kötüydü bu yüzden. Bir vermedim çünkü sıcak geldi.,10.0,10.0,3.0,1604952017
İyi.,10.0,10.0,10.0,1604952017
Sadece kuryenin güler yüzü için bile yemek söylenir ayrıca döneri de çok güzel. Teşekkürler. (kuryeye zam yapmalısınız).,10.0,10.0,10.0,1604952017
Öncekiler gibi değildi hayırlı işler.,8.0,8.0,6.0,1604865617
Güzeldi.,10.0,10.0,10.0,1604865617
Çok güzeldi ellerinize sağlık.,10.0,10.0,10.0,1604865617
Zurna dürüm gerçekten çok lezzetliydi fakat yanında yolladığınız patates gerçekten yanına hiç yakışmamış taze değildi.,10.0,10.0,8.0,1604779217
Salçası az olmus.,10.0,10.0,7.0,1604692817
Her zamanki gibi be kardeşim. Bol soslu diyorum soslu geliyor. Sade tavuk diyorum tavuk geliyor seviyorum seni aslan dönerci.,10.0,10.0,10.0,1604606417
Zurna bol patatesli kasarli muazzamdi elinize saglik paketleme super.,8.0,10.0,10.0,1604520017
Her şey teşekkürler.,10.0,10.0,10.0,1604520017
"Hızlı geldi ve çok lezzetliydi, teşekkür ederim.",10.0,10.0,10.0,1604520017
Kral döner çok teşekkür ederim tam ekmek et döner söyledim etin lezzeti olsun porsiyon miktarı olsun ürünlerin tazeleriyle on numara begendim tavsiye ederim ellerinize sağlık.,10.0,10.0,10.0,1604433617
İyi bir siparişti.,8.0,8.0,8.0,1604347217
Çok fazla yağ dokusu vardı.,7.0,9.0,3.0,1604136671
Bir kere çok kötü bir kokusu vardı tadı da kötüydü kuryeye gelen abimiz çok güzeldi ama yinede tadı yok.,1.0,5.0,1.0,1604136671
Süperdi. Güzeldi. Hoştu.,10.0,10.0,10.0,1604136671
Döner güzeldi.,10.0,10.0,10.0,1604136671
Başarılı.,10.0,10.0,10.0,1604136671
Dürüm efsane.,10.0,10.0,10.0,1604136671
Patso her zaman 10 numara teşekkürler.,10.0,10.0,10.0,1604136671
Zurna adi altinda sattiklari urun zurna haric herseye benziyor gercekten. Yorumlara aldanmamak lazimmis demek ki.,10.0,9.0,1.0,1604136671
On numara.,10.0,10.0,10.0,1604136671
İyidi.,10.0,10.0,10.0,1604136671
Her zaman ki gibi müthiş.,10.0,10.0,10.0,1604136671
Zurna çok büyük doyurucu ve lezzetli ve çok hızlı geldi.,10.0,10.0,10.0,1604136671
İyi bir siparişti.,7.0,8.0,8.0,1604136672
Tombik mükemmel ötesi ama hatayı sevemedim.,10.0,10.0,10.0,1604136672
Ellerinize sağlık.,10.0,10.0,10.0,1604136672
Yarım saate getirdiler. Kurye kibardı. Dürümün lezzeti güzeldi.,9.0,9.0,8.0,1604136672
Aşırı doyurucu aşırı hızlı ve sıcak geldi. Sadece tadını beğenmedim. Belki de sosunuz damak zevkime uymamıştır. İyi çalışmalar diliyorum.,10.0,10.0,7.0,1604136672
İyidi.,10.0,9.0,9.0,1604136672
Fena değildi şimdi dönerden ne bekliyorsunuz diyeceksiniz ama eskiden ürünleriniz çok daha iyiydi. Hayırlı işler.,8.0,8.0,7.0,1604136672
10 numara her zaman.,10.0,10.0,10.0,1604136672
Fena değildi ama sıcaktı.,10.0,10.0,7.0,1604136672
Beğendik memnun kaldık.,9.0,9.0,9.0,1604136672
Harikaydı.,10.0,10.0,10.0,1604136672
Güzeldi.,9.0,9.0,9.0,1604136672
Hız iyiydi ama kardeşim zurna dürüm söyledik gelene kadar saksafon dürüm olmuş neresinden ısırasak başka yerinden patladı vıcık vıcık hertarafımız yağ oldu aman diyim.,9.0,1.0,1.0,1604136672
Hatay soslu hafif tercih edenlere hitap eder. Çok da hatay değildi ama lezzetli.,8.0,8.0,7.0,1604136672
Bazuka dürümü şakasına arkadaşın ensesine vurdum bayıldı adam :(.,10.0,10.0,10.0,1604136672
Her şeyi ile on numara.,10.0,10.0,10.0,1604136672
Soğuk geliyor ürünler sıcak gelirse daha güzel bir tavuk döner yeme lezzeti alabiliriz.,7.0,10.0,5.0,1604136672
Hızınız iyi ama servis ve lezzet sinifta kaldı dürüm yağ akıyordu her yere lezzet dersen dönerde anlayamadiğim bir gariplik vardir bi daha mi? Cok zor.,8.0,6.0,6.0,1604136672
Ellerinize sağlık.,8.0,9.0,9.0,1604136672
Fena değildi. Daha önceki yorumda nasıl bir beklentiniz var diye sormuşsunuz. 1 ay önce yaptığınız döner ile alakası yok. En az 40 kez sizden sipariş vermiş biri olarak söylüyorum. Hayırlı işler.,9.0,7.0,7.0,1604136672
Kaşarlı dürüm istemiştim kaşar var mı yok mu anlamadım. Bir de deriye benzer lastik gibi bişey ısırdım. Sonra bıraktım yemeyi. Her türlü doyurlur ama.,8.0,8.0,6.0,1604136672
Her zaman aynı lezzet aynı hız tek kelimeyle muhteşem.,10.0,10.0,10.0,1604136672
Tek favorim tek geçerim tek severim tek yerim.,10.0,10.0,10.0,1604136672
Hayatımda yediğim en kötü döner.,1.0,1.0,1.0,1604136672
Çok beğendim elinize sağlık.,10.0,10.0,10.0,1604136672
"Hatay usulü tavuk döner sipariş ettik, normal tavuk döner geldi, beğenmedik.",9.0,9.0,1.0,1604136672
