comment_text,comment_speed,comment_service,comment_taste,comment_time
Her şeyiyle çok güzeldi.,10.0,10.0,10.0,1606680084
Son seferde yağı iyi degildi.,10.0,10.0,8.0,1606680084
Dürümler lezzetli fakat fiyatına göre porsiyonları küçük. Elinize sağlık.,10.0,10.0,10.0,1606593684
Lezzetli ve hizliydi.,10.0,10.0,10.0,1606507284
İyi ya bu adamlar. Bi kere yanlışlarını görmedim. Elinize sağlık.,10.0,10.0,10.0,1606420884
Tam 14 dakikada çok hızlı ulaştı ve notlara dikkat edilmişti teşekkürler.,10.0,10.0,10.0,1606334484
Cigkofte isine hic girmeyin salca ve tuzdan ibaret yolladiginiz kofte. Tantuni diye sadece sogan yollamaniz ayri bir olay. Memlekette de neden yaprak tantuniden yemiyorum bir kez daha anladim.,7.0,1.0,1.0,1606334484
"Domatessiz olsun demiştim, sadece domates koymuşlar, hem de çok. Ayıklayana kadar heves kaçırdı. İlk kez böyle terslik oluyor.",9.0,8.0,7.0,1606161684
Cok kotu kuru geldi.,10.0,6.0,1.0,1606161684
Buz gibiydi tantuniler.,7.0,7.0,7.0,1606075284
"Birkaç haftadır düzenli olarak burda nkumpir yiyorum ve düzenli bir şekilde lezeti azaldı. Patatesten mi, içindeki kaşar tereyağ oranından mı bilmiyorum ama son yediğim kumpirin tadı tuzu yoktu bilginize.",9.0,8.0,5.0,1605988884
Duble porsiyon ile tek porsiyon arasinda 20 gr. Et farki var. Duble soylemeyin.,9.0,7.0,3.0,1605988884
Çok lezzetli ve gayet hızlı.,10.0,10.0,10.0,1605902484
Nefis.,10.0,10.0,10.0,1605902484
Eski yerindeyken daha iyiydi. Hatta istanbulun en iyi tantunicisiydi.,10.0,8.0,7.0,1605816084
Çok standart.,8.0,8.0,8.0,1605729684
Muazzam.,10.0,10.0,10.0,1605729684
Lezzetli ve hızlı.,10.0,10.0,10.0,1605729684
Hızlı ve lezzetli idi. Teşekkürler.,10.0,10.0,10.0,1605643284
Maydanoz çok çok fazla idi.,9.0,9.0,4.0,1605643284
Mersin de hissettirdi.,9.0,8.0,10.0,1605556884
Başarılı.,10.0,9.0,9.0,1605384084
"Lezzet efsaneydi, sıcak olarak geldi. Sürekli sipariş vereceğimiz bir restoran olacak...",10.0,10.0,10.0,1605384084
Harika.,10.0,10.0,10.0,1605297684
Buz gibi geldi.,2.0,4.0,6.0,1605297684
Elinize sağlık.,10.0,10.0,10.0,1605211284
Hep boyle devam ederler umarim. Feneryolunda onlarca tantunici var ama biz hep buradan soyluyoruz. Gercek tantuni lezzeti.,10.0,10.0,10.0,1605124884
Servis ve lezzet gerçekten çok iyi sürekli sipariş veriyoruz tavsiye ederim.,10.0,10.0,10.0,1605124884
Tadı bi değişmiş yoğurtlunun posiyonu küçülmüş geldi bu sefer.,10.0,8.0,8.0,1605124884
"Siparisi verdik 5 dk sonra geldi hız 10 az bile, tantuni de servis de basariliydi cok tesekkurler.",10.0,10.0,10.0,1605038484
En güzel hep güzel.,10.0,10.0,10.0,1605038502
"Herkesin ağız tadı farklı ama benlik değil, etin tadını beğenmedim.",9.0,8.0,5.0,1605038502
Şimdiye kqdar istanbulda yediğim en iyi tantuni. Mersindekini aratmıyor.,10.0,10.0,10.0,1605038502
Yillardir ayni lezzettesekkurler.,10.0,10.0,10.0,1604952102
Guzel.,9.0,9.0,9.0,1604952102
"Bu 2. Siparişimiz, bundan da çok memnun kaldık, lezzeti çok iyi, umarım bozmazlar.",10.0,10.0,10.0,1604865702
Çorba gayet güzeldi. Tantuni de güzeldi ama bi tık daha iyi olabilir lezzet açısından.,10.0,10.0,9.0,1604779302
Yagi midemi oldurdu.,1.0,1.0,1.0,1604692902
Harika enfes lezzetli.,10.0,10.0,10.0,1604692902
"1, 5 porsiyon tantuni istememe rağmen 1 porsiyon göndermişler yemek sepeti canlı yardıma yazmak için 10 kez denedim ama bağlamadılar yoksa tantuni gayet lezzetliydi ama ödediğim yemeğin servisini tam almayı isterdim üzgünüm..",10.0,1.0,8.0,1604606502
10 numara.,10.0,10.0,10.0,1604606502
Yedik ve midemiz bozuldu 3 arkadaş birden.,5.0,1.0,1.0,1604606502
Restoran siparişimi eksik getirdi. 1. 5 porsiyon yerine 1 porsiyon lavaş geldi. 1. 5 porsiyon lavaş istiyorsak 1. 5 porsiyon lavaş istediğimiz içindir. Gramaj sistemi dönerde vardır tantuni de değil. Kendince öyle bir sistem uyguluyorsan da gramaj olarak yazarsın seçeneklere biz de anlarız!,7.0,1.0,8.0,1604520102
Feneryolundan siparis veriyorum etrafimda onlarca tantunici var ama yine de bu lezzete yaklasamiyorlar.,10.0,10.0,10.0,1604347302
Başarılı çok memnun kaldım.,9.0,8.0,10.0,1604347302
Tantuni pek eskisi gibi değil lezzetini bozmuşlar.,7.0,4.0,3.0,1604347302
Gerçekten çok başarılıydı! Ellerinize sağlık.,10.0,10.0,10.0,1604347302
"Lavaşlar çok güzel olmasına rağmen, tantuni çok yağsız ve tatsız geldi.",10.0,9.0,6.0,1604260902
"Onlar daha iyisini yapana kadar tantuninin kralı burası, efsoo.. İstanbulda böylesi lezzeti bulmak büyük şans. Yan lezzetler içli köfte ve muhteşem sütlaç. Paketi üstünde dumanıyla taşıyan ahmet kuryeye de ayrıca teşekkürler.",10.0,10.0,10.0,1604136756
