comment_text,comment_speed,comment_service,comment_taste,comment_time
Basarili.,10.0,10.0,10.0,1606766013
Harika lezzet harika sunum çok teşekkür ederim.,10.0,10.0,10.0,1606766013
"Güzeldi ama bayağı acıydı, çocuklar yiyemedi.",10.0,10.0,10.0,1606679613
"Çorbalar ve halka kokoreç gayet iyiydi, mumbar iyi temizlenmemiş, hafif koku vardı.",8.0,9.0,8.0,1606593213
Mumbar muthis. Tavsiye ederim.,10.0,10.0,10.0,1606593213
Emeklerinize sağlık siparişi getiren arkadaşın saygısı olsun çorbalarınızın lezzeti olsun hepsi için teşekürler saygılarımla.,10.0,10.0,10.0,1606593213
Ciger ile gelen kuflu lavaslar ne demeliyim sizce? Kokorecler bol yağlı ayıp ama yapılanlar bu zor donemde bir siparis veremezsek bir ne yiyeceğiz cok ayip.,7.0,4.0,1.0,1606593213
Guzeldi.,10.0,10.0,10.0,1606506813
Cok iyisiniz ama son zamanlarda corbalariniz soguk gelmeye basladi. Bu donemdr soguk corba zor oluyor buna ragmen cok iyisiniz.,10.0,10.0,10.0,1606506813
Efsane.,10.0,10.0,10.0,1606420413
Bayiliyorum cok guzel.,10.0,10.0,10.0,1606420413
Çorba konusunda yetersizsiniz...,10.0,4.0,2.0,1606420413
"Tavuk suyundaki şehriye biraz daha az olursa daha sulu olabilir diye düşünüyorum. Elinize sağlık, yine de çok güzeldi.",10.0,10.0,10.0,1606420413
Kelle paça çorbası tek kelimeyle harika ve ellerinize sağlık.,10.0,10.0,10.0,1606420413
Hayatımızda yediğimiz en kötü kelle paçayı yedik asla önermiyorum.,8.0,5.0,1.0,1606334013
Kelle pacasi gayet guzeldi. Hizli e sicakdi.,8.0,10.0,9.0,1606334013
Sirdan ile ilgili daha once tuzsuz seklindeki yorumlari okumustum. Haklilik paylari vardi fakat ben belirtmemistim. Su an asiri tuzluydu. Dikkate almanizi rica ederim.,10.0,10.0,8.0,1606334013
Herşey çok güzeldi.,10.0,10.0,10.0,1606334013
"İlgi, alaka muhteşem, yediğim en güzel kokoreçlerden biriydi.",10.0,10.0,10.0,1606247613
Cok lezetli.,10.0,10.0,10.0,1606247613
Güzel.,10.0,10.0,10.0,1606247613
