comment_text,comment_speed,comment_service,comment_taste,comment_time
Çok lezzetliydi.,10.0,10.0,10.0,1606766935
1. 5 saat gelmesi bekledik waffle servisi de rezaletti.,1.0,1.0,1.0,1606680535
"Hayatimda yediğimiz en muhteşem waffledı, çok hızlı ve sıcak geldi çok teşekkür ederiz!",10.0,10.0,10.0,1606680535
Lezzet ve ürün çeşitliliği konusunda dört dörtlük fakat içine az meyve koyuyorlar. Ekstra kivi istememe ragmen tüm meyveler cok azdı. Bu ayrıntıyı saymazsak yediğim en lezzetli wafflelardan biriydi.,10.0,2.0,10.0,1606594135
Siparişimiz gayet hızlı ve lezzetliydi. Kurye arkadaşınız çok nazikti. Teşekkür ederim ve böyle devam etmenizi temenni ederim :).,9.0,9.0,9.0,1606507735
Çok özensiz malzemesi aşırı aç yazık.,10.0,5.0,1.0,1606507735
Efsane bir waffle ve bir o kadar hızlı teslim aldım...,10.0,9.0,10.0,1606421335
Ürünün hamuru özellikle sert olmasını istedim yumuşak geldi ginede gece yarısı getirmeleri yetti.,10.0,6.0,6.0,1606421335
Hem hızlı hem bol malzemeli hem leziz.,10.0,10.0,10.0,1606334935
3 kişilik dediginiz menü tek kişilik.,7.0,1.0,7.0,1606334935
"Waffle hamur gibiydi ve ortalama süreden geç geldi, ilk siparişimle alakası yoktu daha dikkat etmelisiniz, notumu dikkate aldığınız için teşekkür ederim.",7.0,10.0,5.0,1606334935
Gerçekten zevkle yedim bol malzemeli lezzetli ve kaliteliydi (kalite tesadüf değildir) hızlı geldi emeği geçen herkese teşekkür ederim arayıp memnun kaldınızmı diye sormanızda büyük incelik tebrik ve taktir ediyorum.,10.0,10.0,10.0,1606248535
Bayıldım on numara waffle.,10.0,10.0,10.0,1606248535
Cok lezzetli ve zamaninda geldi.. Tesekkurler.,10.0,10.0,10.0,1606248535
Çok kötü bir waffeldı lastil gibiydi kesilmiordu bile sakın istemeyin.,10.0,10.0,1.0,1606248535
Güzeldi ama malzemesi azdı.,6.0,8.0,7.0,1606162135
Tek kelime muhteşem.,10.0,10.0,10.0,1606075735
Çok yavaş geldi.,3.0,3.0,6.0,1605989335
Porsiyonu küçük onun dışında başarılı.,9.0,5.0,10.0,1605902935
