comment_text,comment_speed,comment_service,comment_taste,comment_time
Hep memnun edene hep 10 puan.,10.0,10.0,10.0,1606680542
Not yazmamıza rağmen dikkate alınmıyor sanırım ilk verilen siparişten sonra aynı tadı bulamadım.,7.0,6.0,6.0,1606594142
Eskisi gibi yapmıyorsunuz artık tat lezzet yok içindeki malzemeleride azaltmışsınız bir daha sipariş vermeyi düşünmüyorum siparişim 1. 5 saat sonra teslim edildi siparişlerde karışıklık olmuş ne demek ayrıca.,3.0,6.0,2.0,1606594142
Basarılı.,10.0,10.0,10.0,1606248542
Hızlı geldi. Güzeldi. Herzamanki gibi.,9.0,9.0,9.0,1606248542
İsi biliyorlar pahali yerden de yedim berbat yapiyorlar degmez burasi iyi favorimdir.,10.0,9.0,8.0,1606248542
"Teşekkürler, her zamanki lezzet kalite ve özen.",10.0,10.0,10.0,1606162142
Abi cok acili hersey kanat ta bile bi ton aci var etlerdede cok acili yapmissiniz bulgur pilavi ise eksimis geldi cok uzgunum ama insanlarin sagliklariyla oynamayin bunlari yazmak zorundayim.,8.0,7.0,1.0,1606162142
İyi.,10.0,10.0,10.0,1606075742
Çok çok lezzetli bi tavuk şiş dürümdü her gün olsa her gün yerim ellerinize sağlık.,7.0,9.0,10.0,1606075742
Nefiiiiissssss mükemmelsiniz.,10.0,10.0,10.0,1605989342
Güzeldi ve hızlı.,10.0,10.0,10.0,1605902942
Herşey on numara hızlı servis lezzet güzel. Fiyatlar makul.,10.0,10.0,10.0,1605816542
Müthiş hızlı sipariş.,10.0,10.0,10.0,1605816542
Yanık olmasın dememe rağmen birazcık yanmış geldi tavuklar onun dışında çok lezzetliydi.,10.0,10.0,8.0,1605816542
Her zamanki gibi paketleme ve lezzet çok güzeldi. Getiren kurye arkadaşta çok kibar ve ilgiliydi böyle devam. Teşekkürler.,10.0,10.0,10.0,1605730142
Gayet güzel. Hızlı ve başarılı.,10.0,10.0,10.0,1605730142
Teşekkürler.,10.0,10.0,10.0,1605643742
Dürüm paketlemede ciddi bir sıkıntı var. Her dürüm yediğimizde ambalajını açarken lavaş yırtılıyor paketlemeden kaynaklı. Lütfen daha özenli olalım.,8.0,6.0,10.0,1605643742
Hizli taze ve hijyenik restoran tavuk sis durumu guzel ama keske baharatsiz olsa soslamasalar yinede yenir basarili..,10.0,8.0,8.0,1605643742
Dürümler soğuk olmasaydı tam puanlik bir lezzet sunulmuştu. Teşekkür ederim.,8.0,10.0,10.0,1605557342
 gelen kurye arkadaş nazik ve efendi biriydi allah rızası için künefe ye 12 mi 15 tl mi para verdik tek tarafı pişmiş altı hamur ve grm şerbet yok üstünde ki fıstık bile değildi acısız dedik herşey acılı gelmiş kesinlikle son sipariş tavsiye etmem.,3.0,4.0,1.0,1605557342
Teşekkürler )).,10.0,10.0,10.0,1605557342
Geldiğinde soğumuştu ve tadını o kadar beğenmedim.,1.0,2.0,1.0,1605557342
40-50 dk arasında geliyor genelde ama lezzet her zaman mükemmel. Lavaşı bana göre biraz fazla.,7.0,9.0,10.0,1605470942
Tesekkurler.,10.0,9.0,9.0,1605470942
Tavuk şiş fiyat performans güzel.,8.0,10.0,10.0,1605470942
Lezzeti çok güzel güvenerek sipariş veriyoruz.,10.0,10.0,10.0,1605384542
Üstü yanmış adeta birkaç kez ısıtılmış kupkuru bir künefe geldi!,1.0,5.0,1.0,1605384542
Teşekkürler.,10.0,10.0,10.0,1605298142
Mesaj atıp yorum yap demek nedir ayrıca lahmacun değil yağmacun olmuş.,10.0,1.0,1.0,1605298143
Harika.,10.0,10.0,10.0,1605211743
Şahanesiniz.,10.0,10.0,10.0,1605211743
Kesinlikle çok lezetli.,10.0,10.0,10.0,1605211743
Güzel.,10.0,10.0,10.0,1605125343
Lezzetli.,10.0,10.0,10.0,1605125343
Et aşırı kuruydu çiğneyemedim bile iki gün mide agrısı cektim sayenizde lütfen daha özenin işinize ya da yapmayın.,1.0,1.0,1.0,1605125343
İyi.,10.0,10.0,10.0,1605038943
Şubeleri içerisinde en iyisi diyebilirim.,10.0,10.0,10.0,1605038943
"1saat 15 dk sonra gelen sipariş, buz gibi, tavuk kanatlar yanık, berbat, verilen paraya yazık, bir daha asla sipariş vermicem.",1.0,1.0,1.0,1604952543
Herşey çok güzeldi fakat söylediğim tavuk şiş te tavukların dışı yanmıştı.,7.0,10.0,6.0,1604952543
Adanayı buz gibi getirdiğiniz için teşekküler.,1.0,1.0,1.0,1604952543
Biraz yavaş getiriyorlar ama yine de tercih edilir.,7.0,7.0,7.0,1604866143
Ben bu kadarını beklemiyordum servis gayet temiz ve güzel ciğer şahane elinize sağlık.,10.0,10.0,10.0,1604866143
Soğuk geldi umarım bir daha ki defa soğuk gelmez.,9.0,9.0,5.0,1604866143
"Her seferinde hiç gecikmeden sıcacık geliyor yemek. Tavuk kanat zaten müthiş lezzetli lavaşı, pilavı, salatası da dolu dolu ve güzel. Paketleme o kadar özenli ki hayran kaldım. İşinize verdiğiniz emek için çok teşekkür ederim, insanın saatlerce övesi geliyor. Umarım hep böyle kalırsınız.",10.0,10.0,10.0,1604779743
"Adana dürüm değil kuzu çevirme istedik sanki, donatessiz olsun dememe rağmen dürümün içi sanki çoban salataydı. Arada köfteye denk geldim.",1.0,3.0,4.0,1604779743
Güzel yemek.,10.0,10.0,10.0,1604779743
Çok lezerli ce buyuk sandaviç.,10.0,10.0,10.0,1604606943
10/2 dahasına gerek yok paketleme bi kötü.,6.0,4.0,2.0,1604606943
Dürüm söyliyeceğim zaman aboov dan başkasını aramam.,10.0,10.0,10.0,1604606943
Yine doyurucu ve lezzetliydi konu siz olunca lezzet asla tesadüf olmuyo.. Getiren emrullah bey ve işletmenize teşekkür ederim 10-10-10 vermeye devam.,10.0,10.0,10.0,1604520543
"42 dk da geldi. Soğuk, yanık ve lezzetsizdi. Memnun kalmadım.",6.0,6.0,6.0,1604434143
45 dk bekledikten sonra aradığımda siparişin başkasına gittiğini öğrenebilirsiniz. Sipariş verdikten sonra sık sık arayıp hatırlatın.,1.0,1.0,1.0,1604347743
Eskisi gibi diil artık harika olmuş lezzetler.,10.0,10.0,10.0,1604347743
