comment_text,comment_speed,comment_service,comment_taste,comment_time
Berbattı.,2.0,2.0,1.0,1606767520
Çok hızlı ve çok sıcak geldi elinize sağlık çok lezzetliydi.,10.0,10.0,10.0,1606681120
Köfte ekmek gayet iyiydi.,8.0,8.0,8.0,1606594720
Çok lezzetli herşey elinize sağlık gönül rahatlığıyla sipariş verin teşekkürler.,10.0,10.0,10.0,1606508320
İyi.,8.0,8.0,8.0,1606508320
Ben kavurmayıda pilavıda beğenmedim köfte fena değildi ama oda yeşillik ve domatesin arasında kaybolmuştu çok fazla garnitür vardı içerisinde köfte tadını pek alamadık.,10.0,7.0,5.0,1606508320
"Ben buradan çok memnunum, benim gibi yorum dedektifliği yapanlar için yazıyorum sadece. Kavurma 10 numara, 1 puan lezzeti pilavdan kırıyorum hep, pilavı daha iyi yaptığınız gün 10/10/10 direkt. Bu arada hep hızlı getiriyorsunuz, kurye arkadaşlara teşekkürler.",10.0,10.0,9.0,1606421920
Basarili.,10.0,10.0,10.0,1606335520
Koca bir ekmegin icine sadece 4 tane kofte koymusunuz! 4! Parasini yazin odeyelim kofte ekmegi koftesiz gondermeyin.,1.0,1.0,1.0,1606335520
Gayet sicak ve guzel paketlenmis geldi.,10.0,10.0,8.0,1606249120
Efsane bir lezzet.,10.0,10.0,10.0,1606249120
Kavurma güzeldi ancak pilav hiç iyi değildi. Lezzetden bu nedenle puan kırdım.,9.0,9.0,8.0,1606162720
"Gayet güzel, elinize sağlık.",9.0,9.0,9.0,1606162720
İyi.,10.0,10.0,10.0,1606076320
"Lezzeti oldukça iyi. Paketlemesi güzel, ekmek biraz fazla büyük bu nedenle ziyan oluyor. Oldukça başarılı bir işletme.",10.0,10.0,10.0,1605903520
Çok kaliteli.,10.0,10.0,10.0,1605903520
Et lezzetli degildi ve biraz yağlıydı. Pilav biraz lapaydı. Yanında gelen pide güzeldi. Yaklaşık 40 dakikada geldi.,7.0,8.0,7.0,1605817120
Hiz servis ve lezzet harika. Kesinlikle tavsiye ederim.,10.0,10.0,10.0,1605817120
Çok övdük zam yapmışlar :) şaka bir yana aldığı parayı hak eden bir yer.,10.0,10.0,10.0,1605730720
Tadı da fiyatı da bozdu.,2.0,1.0,1.0,1605644320
Kafanıza göre sürekli zam yapmanız artık burayı tercih edilmekten cok uzaklaştırdı.,1.0,1.0,1.0,1605557920
Kavurmanın o kadar güzel olup da köftenin bi o kadar kötü olması çok garip geldi ama köfte kesinlikle tavsiye etmem.,10.0,8.0,5.0,1605557920
Fena değil.,7.0,7.0,7.0,1605298720
Lezzetli ama keşke hızlı gelse.,1.0,9.0,8.0,1605212320
Aşırı tuzluydu.,8.0,8.0,1.0,1605212320
