comment_text,comment_speed,comment_service,comment_taste,comment_time
İyi.,10.0,10.0,10.0,1606768757
Süper.,10.0,10.0,10.0,1606768757
Güzel.,6.0,9.0,7.0,1606768757
Güzeldi.,8.0,8.0,8.0,1606682357
Harika.,10.0,10.0,10.0,1606682357
Avciların en iyisi.,10.0,10.0,10.0,1606682357
Herşey iyiydi fakat patates söyledim yanına ne ketçap ne mayonez hiç bişey bırakmamışsınız daha dikkatli olmanızı beklerdim.,9.0,7.0,8.0,1606682357
Berbay.,1.0,1.0,1.0,1606595957
Çok iyi.,9.0,10.0,10.0,1606595957
Agzımı yaka yaka yedım teşekkürler.,10.0,10.0,10.0,1606509557
Lezzetli.,10.0,10.0,10.0,1606423157
Dönerle sos çok lezzetliydi. Ama domatesler demir kadar sert ağaç kadar yeşildi.,10.0,6.0,8.0,1606423157
Verdiğim siparişin hepsi tam tamına gelmesi ve sıcak gelmesi. Adamsınız.,10.0,10.0,10.0,1606336757
Süper hız süper tat süper servis.,10.0,10.0,10.0,1606336757
Guzellll.,10.0,10.0,10.0,1606336757
O sosun muazamligi ne öyle ya adamsiniz.,10.0,10.0,10.0,1606336757
Müko.,10.0,10.0,10.0,1606250357
Siparisim yanlis geldi cope attim sanirim puanlamanizin dusuk olmasi sadece lezzetinizle alakali degil yorumlari dikkate almalisiniz.,1.0,1.0,1.0,1606250357
Yapıyorlar bu isi abi ya.,10.0,10.0,10.0,1606163957
Fena değil.,10.0,8.0,6.0,1606077557
Bakırköy ile aynı kaliyelş hizmet.,10.0,10.0,10.0,1606077557
Sıcak geldi.,8.0,8.0,8.0,1605818357
Yanina biner koymuslardi durumun bi cok yer koymuyor. Tandir ekmegi gibi lavasi var. Ortalama lezzeti var ama doneri lezzetli. Bol.,8.0,9.0,9.0,1605818357
Çpk lezzetliydi elinize sağlık.,10.0,10.0,10.0,1605818357
Döner içerisinde sadece turşu olsun etiketini dikkate almayıp lavaşı sosun içine daldırıp çıkarmanız iş adabınızın ne kadar üst seviyede olsuğunu gösteriyor 33 ml kola parası alıp 200ml kola göndermeniz verdiğim puanı bile haketmiyor.,1.0,1.0,1.0,1605818357
Her zamanki gibi lezzetli.,10.0,10.0,10.0,1605818357
Yani kutu icecegim gelmedi patatesler buz gibiydi.,3.0,4.0,4.0,1605731957
Güzell.,8.0,8.0,8.0,1605731957
Mrb. Şiparis 1 saatin üzerinde geldi ve eski lezzetinden ne yazık ki eser yok. Tavuğun dışı yanık içi çiğe yakındı. Bir an önce bu sorunların giderilmesine umut ediyorum. Iyi çalışmalar.,1.0,1.0,1.0,1605731957
Sosun hem miktar olarak çok fazla olması hem de aşırı tuzluluğu bütün lezzetlerin önüne geçmiş. O tandır ekmeği tadındaki lavaşa böyle ihanet edilmez.,9.0,9.0,5.0,1605731958
Ortada.,8.0,6.0,7.0,1605645558
İyi.,10.0,10.0,10.0,1605559158
Teşekkürler elinize sağlık çok güzel pişmişti.,10.0,10.0,10.0,1605559158
"Hızlı geldi, servis eh işteydi, lezzeti beğenemedim. Dönerlerin bir kısmı yanmaktan öte kömürleşmişti.",10.0,5.0,1.0,1605472758
Kurye cok kibardı teşekkürler hızlı geldi.,9.0,8.0,8.0,1605386358
Çok güzeldi teşekkürler.,10.0,10.0,10.0,1605386358
"Tavuk yoktu, derisini yedim midem bulandı çoğu çöpe gitti lavaşta yanmıştı. 10 dk yürüme mesafesine 1 saate geldi.",1.0,1.0,1.0,1605386358
Maske konusunda motorcularınızın daha hassas olmasını rica ediyorum.,5.0,5.0,5.0,1605299958
Soslu değildi.,10.0,10.0,6.0,1605299958
İlk defa denediğim yerden dürüm ayran sipariş verdim. Dürüm çok tuzluydu. Kimseye tavsiye etmiyorum.,8.0,5.0,1.0,1605299958
