food_id,food_name,food_price,food_category,food_score
13f17804-d744-4080-853b-f6282f985b9a,Orta Boy Pizza Menü 1,"56,00 TL",Menüler,42.0
310c6666-7a4c-4324-b691-41c8733bb5a3,Orta Boy Pizza Menü 2,"55,00 TL",Menüler,31.0
9244f6aa-512e-4fa8-ad33-7705a8e34189,Büyük Boy Pizza Menü,"72,00 TL",Menüler,22.0
c1473ab2-45ce-47b4-961a-db1c5f8447fa,Büyük & Orta Boy Pizza Menü,"65,00 TL",Menüler,24.0
0f41d004-5f0a-4a3a-b53a-63824f564578,Kendi Pizzanı Kendin Yap (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),8.0
5b001d58-b9c2-42f4-b3ec-e4de82d07155,Margherita Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
f93edbd5-f106-4728-b477-fbca73aef997,Mix Fondness Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),29.0
e579b750-e43d-4241-b21a-eed2c9d212d7,Pepperoni Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
ad3c4b08-7fb1-4db7-911d-fcab70408f9e,Chicken Barbeque Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
e2245ae9-fc85-4346-bcfc-4a1acdae2ae4,Chicken Mexica Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
27a6823a-8b6a-46f6-b879-3fef6e7897de,Mexica Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
40ac887a-0b03-48ee-8e60-dd85cfe9b96f,Funghi Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
926696ff-06e1-4464-a233-eef77316df53,King Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
013ba0c4-e0f9-4ae1-9cc4-ef4daed6ce79,Ceaser Palace Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
068dc1d8-7482-4230-860e-ababdffa21c5,Hawaiian Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
c15c8c56-0843-4b89-ad55-27fc9129fc4c,Mermaid Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
c7dde68c-fb78-41f1-84c3-d868e9eec356,Nevada Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
4b94c54d-ca14-4196-a798-10982ea6075c,Chess Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
567c1c21-b582-4daf-bc73-b9a35de0bb9e,Queen Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
5d2f2f88-5028-4b08-8e2d-bfcc407eb3fd,Veggie Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
02ab3f7f-dcb7-48bb-9318-556640c64f64,Aubergine Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),21.0
7907ee4a-bdfa-4e4a-b00a-cc3b3df489eb,Salami Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
3f38e100-2e5f-4db0-85aa-fcef6c6e4d67,Three Cheese Pizza (Orta),"30,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
0dd1c2fc-2153-4834-9ad0-a1489df0e041,Kavurmalı Pizza (Orta),"40,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),24.0
3b696b4d-afe3-4196-a496-89489e78d271,Pastırmalı Pizza (Orta),"45,00 TL",Orta Boy Pizzalar (2 Kişilik) (30 cm.),22.0
a1c688a7-065a-4429-8610-68868d3ce7ed,Kendi Pizzanı Kendin Yap (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),8.0
ebf90215-8c29-4e4d-ad00-20011d2cd5a2,Margherita Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
67d16889-4de6-44a0-9c59-3fd88a452ce6,Mix Fondness Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),29.0
12c9ed56-0aae-4e07-acfb-b1b77b02c8b9,Pepperoni Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
83fb732b-e668-4d8c-bf58-4bc7b6b74af0,Chicken Barbeque Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
af22f0d7-c015-42b4-9c31-ddfeb6b79175,Chicken Mexica Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
c13cf551-e402-475e-a186-e08f40cc10f3,Mexica Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
b13110d6-e66d-4e6c-b5d5-9f2410070a7a,Funghi Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
87fb6a97-4801-4b14-b166-cf2b8796c4d6,King Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
d6172409-5472-4ed7-8f8b-0d98efcddad2,Ceaser Palace Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
8f4afead-5ffa-414d-8cf8-7306d204dc09,Hawaiian Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
0c4e6a00-bfbf-4031-a0fa-f08c668cc261,Mermaid Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
17c1ff88-e6ab-4752-b45b-00b7ed220b6d,Nevada Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
88ccb289-d5da-4f58-b5f1-9b434acdcaed,Chess Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
9c04a4db-c322-411b-84b2-ce5536c4ccb9,Queen Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
f534e047-b0ea-4966-b0ac-4e9d6ae3d960,Veggie Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
bdc56e1f-da94-4d7d-948f-274000f4e10a,Aubergine Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),21.0
fa43811d-32f7-4c17-939d-88a8a36dfbbe,Salami Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
a0f780a6-dcc4-4b47-840f-05ca310866e8,Three Cheese Pizza (Büyük),"40,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
3cf4ce00-fa0e-4445-8e58-916e1390d4a0,Kavurmalı Pizza (Büyük),"50,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),24.0
227e805b-116b-4da0-9b98-e2998a35d37d,Pastırmalı Pizza (Büyük),"55,00 TL",Büyük Boy Pizzalar (3 Kişilik) (42 cm.),22.0
d17c19c2-dd7e-4d36-9bc8-73794b83fe0c,3'lü Sos Paketi,"4,00 TL",Soslar,5.0
1f43e7f1-21a1-446f-b18a-5dac77da31ae,Poşet,"0,25 TL",Poşet,5.0
