comment_text,comment_speed,comment_service,comment_taste,comment_time
Tek kelimeyle muazam fıstık gıbı olmus basarılar dılıyorum.,10.0,10.0,10.0,1605042322
Lezzet süper. Ayrıca kuryeye teşekkür ederim yağmura rağmen zamanında getirdiği için.,10.0,10.0,10.0,1604783122
Biraz yavaş geldi ama lezzet mükemmel ellerinize sağlık.,6.0,7.0,10.0,1604140576
Keşke nutellada olsaydı.,1.0,1.0,1.0,1601510830
O fiyata berbat bir mug.,1.0,1.0,1.0,1601510830
0000000.,1.0,1.0,1.0,1598881084
Guzel.,10.0,10.0,9.0,1598881084
Artı tutku söyledim ve neredeyse nutella yoktu içinde teşekkürler.,7.0,7.0,4.0,1598881084
Emeğinize sağlık ilk defa denedim. Ama avcılar içi biraz pahalı onun dışında her şey mükemmel.,10.0,10.0,10.0,1598881084
Ef sa ne.,10.0,10.0,10.0,1596251338
Tek kelimeyle harika.,10.0,10.0,10.0,1596251338
Cok hizli geldi 15 dk surmedi gelmesi. Kuryeye tsk. Fakat tadi bekledigim kadar iyi degildi guzeldi fakat yavandi sanki bir seyler eksikti icinde kremasi hoştu ama cikolatasi yavandi.,10.0,9.0,7.0,1596251338
Hızlı servis müthiş lezzet.,10.0,10.0,10.0,1593621592
