comment_text,comment_speed,comment_service,comment_taste,comment_time
"Lezzet, fiyat, servis hızı iyi. Sadece notlara dikkat etseler dadından yenmez :).",9.0,9.0,10.0,1606770580
Çok hızlı ve kaliteli her zaman söylediğimiz yer kesinlikle tavsiye ediyoruz.,10.0,10.0,10.0,1606770580
Guzel bir isletme.,10.0,9.0,9.0,1606770580
Gayet hızlı ve sıcaktı. Beyran harika.,10.0,10.0,10.0,1606597780
Fiyat performans olarak çok iyi dürümler.,10.0,10.0,10.0,1606597780
Çiğköfteci ömer usta dan ustama selam. Harika bir yer siparişimiz hızlı ve eksiksiz ve lezzetli idi.,10.0,10.0,10.0,1606597780
"Lezzet gerçekten iyi, dürüm ekmeği antep yöresindeki gibi.",10.0,10.0,10.0,1606597780
Ellerınıze saglık güzeldi.,10.0,10.0,10.0,1606511380
Not dikkate alınmıştı. Hız da çok iyiydi.,10.0,10.0,10.0,1606511380
İyi.,8.0,8.0,8.0,1606424980
İyi.,8.0,8.0,8.0,1606424980
İyiydi.,10.0,9.0,9.0,1606424980
Çorbalar sıcak ve özenle paketlenmiş geldi saolun pidemide fazla gönderip ücretini almadıdılar diğer restorantlar gibi.,10.0,10.0,8.0,1606252180
Adana dürüm söyledik. Kıymanın. Tadı güzeldi sadece... Dürümün içinde çok boştu birde marol koymuşlar dürümün içine ıspanak tadı geliyordu sanrm suyda haşladılar yeşillikten eser kalmamıştı. Bir antepliye yakışır dürüm değil. 2. Alışverişim olmuycak...,10.0,2.0,2.0,1606165780
İskembe corbasi cok lezzetli. Terbiyesi ve taneleri tam kivanimda olmasi gerektigi gibi. 10-15 dakikada siparis geldi. Ates gibi sicakti. Yan urunler de bol bol geldi sarimsak suyu sirkesi biberli yagi rokasi tursusu vs.. Midemden mutluluk vucuduma yayiliyor elinize saglik.,10.0,10.0,10.0,1606079380
Çorbanın yanında gelen pide hiç taze değildi.,10.0,8.0,8.0,1606079380
İskembe corbasi tam tercih ettigim gibi koyu kıvamli.,10.0,10.0,10.0,1606079380
İyiydi.,8.0,8.0,8.0,1605992980
Leziz.,10.0,10.0,10.0,1605733780
Guzel.,10.0,10.0,10.0,1605733780
Yemeklerin soğuk gelmesi üzücü. Sürekli sipariş verdiğim bir yer. Umarım düzelir.,7.0,7.0,7.0,1605733780
Lavaş kayış gibiysi ve lahmacun yanıktı memnun kalmadım.,1.0,1.0,1.0,1605733780
Nice.,10.0,10.0,10.0,1605647380
Durumden hic tad alamadim.,10.0,8.0,1.0,1605560980
Sosu bol olsun demiştik ama hiç koymamışlar. Hızlı geldi teşekkürler.,10.0,8.0,4.0,1605388180
Süper.,10.0,10.0,10.0,1605388180
Adana durum fena degildi ama kuzu sis durumu begenmedim.,8.0,9.0,7.0,1605388180
Süper.,10.0,10.0,10.0,1605388180
Kelle paça beklerken beyran gelmesi sürpriz oldu...,10.0,10.0,8.0,1605215380
Hızlı ve sıcak geldi. Teşekkürler.,10.0,10.0,10.0,1605128980
Çok lezzetli ve kaliteli.,10.0,10.0,10.0,1605128981
Eh işte daha iyisi olabilir doyurucu değil.,7.0,7.0,7.0,1605042581
İyi.,9.0,9.0,8.0,1605042581
Lezzet gerçekten çok iyi. Ama keşke bu dürümler biraz daha doyurucu olsa. Lavaşı kalınlaştırabilirsiniz ya da yanına ikram çiğ köfte koyulabilir.,9.0,8.0,9.0,1605042581
Lahmacun ve adana söyledim çok soğuk geldi yanında ne ezmesi var ne tuzu ne beri küçük bir tabaga yeşillik koymuşlar hızlı geldi ama soğuktu.,3.0,3.0,3.0,1605042581
Buuuuuuuuz.,1.0,1.0,1.0,1605042581
Guzeldi.,8.0,8.0,8.0,1605042581
İstememe ragmen biber filan hiç bir şey yoktu. Dürümler soguktu lavaş sakız gibiydi. İlkti son oldu.,1.0,1.0,1.0,1604956181
Soğansız istedik full soğanlı ve geç geldi.,1.0,1.0,5.0,1604956181
Çorbaları bırak avcıları istanbulun çoğu yerinde bulmanız zor pideleri efsanedir dürümleri eh işte...,8.0,9.0,9.0,1604956181
Beğenmedim..,10.0,10.0,3.0,1604783381
İddaa ediyorum istanbulda ki en güzel kelle paçalardan birini yapıyorlar. Lezzette ki istikrarları yıllardır aynı. Ne zaman hasta hissetsem buradan bir kelle paçaya bakar :).,10.0,10.0,10.0,1604783381
Mükemmel.,10.0,10.0,10.0,1604696981
Antep lahmacun gerçekten çok lezzetli ve sipariş çok hızlı geldi.,10.0,10.0,10.0,1604696981
Çok lezzetli teşekkür ederim.,7.0,10.0,10.0,1604524181
"Çorba enfesti ellerinize sağlık, notumu dikkate alıp sumaklı soğan gönderdiğiniz için de ayrıca teşekkürler bol kazançlar :).",10.0,10.0,10.0,1604437781
Tşlk.,8.0,8.0,8.0,1604351381
Beyendin teşekkür ederim.,10.0,10.0,10.0,1604264981
17 dakikada geldi lezzetliydi.,10.0,10.0,10.0,1604264981
Tavuk pirzola menüsü harika.,10.0,10.0,10.0,1604140835
Qw.,10.0,10.0,10.0,1604140835
Mercimek çorbası lezzetliydi gayet. Çoban salata da çok iyiydi.,10.0,10.0,10.0,1604140835
Her zamanki gibi işkembeniz harikaydı turşularınızı ilk kez denedim onlarda çok lezzetliydi ellerinize sağlık...,10.0,10.0,10.0,1604140835
İyi.,8.0,8.0,8.0,1604140835
Berbat.,1.0,1.0,1.0,1604140835
Ben hayatımda bu kadar kötü dürüm yemedim.,6.0,1.0,1.0,1604140835
"Pide kutuda dağılmıştı, ıslak mendilin ağzı açıktı. Fiyat/tat-doyuruculul pek iyi değil.",5.0,5.0,5.0,1604140835
İdare eder.,7.0,7.0,7.0,1604140835
