comment_text,comment_speed,comment_service,comment_taste,comment_time
Super ustu bu adamlar bu isi harbiden yapiyo.,10.0,10.0,10.0,1606684488
Gayet lezzetli.,10.0,10.0,10.0,1606684488
10numara.,10.0,10.0,10.0,1606425288
Acıydı ve çok salcali.,10.0,9.0,7.0,1606425288
Çok iyi.,10.0,10.0,10.0,1606425288
Her zaman sipariş ediyoruz ama bu sefer az malzemeli ve lezzeti eksikdi biz de şaşırdık :))).,10.0,10.0,6.0,1606425288
Soğan olmasın dedim vardı acı biber turşusu yoktu kötüydü.,1.0,1.0,1.0,1606338888
Tantunileri güzel.,10.0,10.0,10.0,1606252488
Fazla iyi.,10.0,10.0,10.0,1606252488
Et istedim tavuk geldi can sağlığı dalgınlıktır ama puandan kaybettiniz dikkat edilmeli.,1.0,1.0,1.0,1606166088
Çok asirir geç geliyor.,1.0,1.0,1.0,1606079688
"Soğanlı istedim soğansız geldi, ve aşırı derecede yağlı geldi bu yüzden yiyeyemedim yenebilecek şekilde bir yağ değildi ve hiç baharat tat lezzet yoktu.",6.0,1.0,1.0,1605906888
Begenmedim hamur geldi.,1.0,1.0,1.0,1605820488
Soğuktu.,9.0,9.0,6.0,1605647688
Hep burdan söylüyorum ama son siparişlerde ekmek çok ıslak geliyor çok yağlı oluyor.,10.0,9.0,5.0,1605647688
"Yağ dolu resmen, çiğ tavuk eti, 5 kişi yedik kimse beğennd.",9.0,6.0,4.0,1605561288
"İşyerine tantuni siparişi verdim ve çok hızlı geldi. Tadı da çok güzeldi ve 10-10-10 vermeyi düşünüyordum. Sonra ilerleyen saatlerde evde ailemle yemek için bir daha sipariş verdim. Bu sefer hem yavaştı, hem buz gibi, hem de ekmek ıslaktı :(ayrıca somun ekmeği büyük sanmayın. Yarım ekmek boyutunda.",8.0,7.0,8.0,1605561288
Yağlı paketçi arkadas güleryüzlüydü ve hızlı geldi.,10.0,7.0,6.0,1605561288
Yani beğendim gayet güzel gönderim hız çok iyi ben saat 15:00 a ayarlamıştım saat 14:40 da geldi tadıda gayet güzel buradan yemek sipariş edilebilir beğendim.,10.0,10.0,10.0,1605561288
Teşekkür ederim.,10.0,10.0,10.0,1605388488
Güzel biz beğeniyoruz.,10.0,10.0,10.0,1605215688
Yardırmışsınız :).,10.0,10.0,9.0,1605215688
Tantuniler buz gibi su içinde geldi tadı bir değişikti.,1.0,1.0,1.0,1604956488
Güzeldi.,9.0,9.0,9.0,1604870088
Yemek değil yağ çorbası resmen bu kadar yağ yapılırmı ya yemeğe.,1.0,1.0,1.0,1604524488
Genel olarak lezzetliydi sadece fazla yağlıydı. Belirtilen saatten daha hızlı geldi.,10.0,9.0,7.0,1604438088
"13 dakikada geldi teşekkürler, lezzet olarak biraz eksik olabilir genel olarak güzeldi.",10.0,10.0,6.0,1604351688
Iyi.,10.0,10.0,10.0,1604351688
Biraz fazla yağlıydı onun dışında gayet lezzetli.,10.0,10.0,8.0,1604265288
Kötü.,1.0,1.0,1.0,1604265288
Efsane.,10.0,10.0,10.0,1604141142
Çok güzel.,10.0,10.0,9.0,1604141142
Yağın içinde yüzüyordu dürümler yiyemedik.,8.0,8.0,6.0,1604141142
Hiç begenmedim.,1.0,1.0,1.0,1604141142
Gelmesi uzun sürdü ayrıca kurye yabancı uyruklu firmanın önünde olmasına rağmen dev gibi tabelayı görmüyor vslezzet iyiydi hızlı gelse daha iyi olurdu galiba.,1.0,9.0,8.0,1604141142
1 saate geldi ayrıca yarim ekmek soyledigim halde dürüm geldi.,1.0,1.0,1.0,1604141142
Doyurucu.,8.0,10.0,10.0,1604141142
Tavuklar kuruydu.,9.0,8.0,8.0,1604141142
Teşekkürler.,8.0,8.0,8.0,1604141142
Daha önceden hazırlanan dürümü ısıtıp göndermişler bayat geldi normalde her zaman sipariş verdiğim yerdi artık tercih etmeyeceğim belki bunu görür de millete bayat göndermezsiniz.,5.0,1.0,1.0,1604141142
Post cihazi getir dedim getirmediler. 50 lira verdim para üstü çıkmadı. Fazla para vermis oldum. Paketin içinde limon turşu koyarlardi koymamişlar. Sevdiğim bir restoran ama bunlar sinirimi bozduğu için puanınızı düşünüyorum. Umarım dikkat edersinir sonrakilerde.,2.0,2.0,2.0,1604141142
Her şeyiyle mükemmeller mersinden geldim yarışır ustalarım sadece biraz daha tavuğu küçültmeliler.,10.0,10.0,10.0,1604141142
İyi.,6.0,7.0,7.0,1604141142
Güzel ama yanında turşusunu az koymuşlar.,9.0,8.0,9.0,1604141142
Gayet lezzetliydi ama iki tane kesmedi haberiniz olsun. Ellerinize sağlıkkk.,10.0,10.0,10.0,1604141142
Gece gece söylememize karşın gayet lezzetli özenli ve hızlıydı.,10.0,10.0,10.0,1604141142
Bayildim biraz soguktu ama lezzet örttü.,10.0,9.0,10.0,1604141142
Soğansız istemiştim.,8.0,7.0,1.0,1604141142
Birdaha söylemem 1)et tantuni bildiğin kavurma olmuş tantuniyle alakası yok ben mersinliyim aman aman birşey beklemiyorum ama kavurma dürüm bu. 2) on tane tantuni söyledim yanında peçete turşu limon yok tantuni limonsuz olmaz tursuyu geçtim hadi peçete bile yok.,9.0,4.0,5.0,1604141142
Malesef.,1.0,1.0,1.0,1604141142
Hızlı ve lezzetli.,10.0,10.0,10.0,1604141142
Orda yediğimiz gibi gelmedi be.,10.0,10.0,6.0,1604141142
Harikaydı çok beğendim baya güzeldi.,9.0,10.0,10.0,1604141142
Been begendim.,10.0,8.0,9.0,1604141142
Lavaş aşırı derecede kötüydü tantunide de lezzet sorunı var öncekiler gibi değiş memnun kalmadım.,10.0,8.0,1.0,1604141142
Tantuni iyi fakat acı sosu hala bir yerlerinde hissediyorum böyle bir acı sos olamaz çok fazla koymuşlar acı biber yine çok fazla gereksiz ortalamanın altında bence.,4.0,3.0,5.0,1604141142
Mükemmel.,9.0,8.0,10.0,1604141142
Turşu koymamissiniz hastam vardı zile bastiniz kusura bakmayın ama işinizi iyi yapmiyorsunuz.,1.0,1.0,1.0,1604141143
Etler birazda küçük olsa sanki daha iyi olurdu. Ama tavuk tantuni süperdi.,10.0,9.0,9.0,1601511397
Lezzetli ve hızlı.,10.0,10.0,10.0,1601511397
"Litrelik ayran sipariş ettik ve patlak geldi. Aradık hemen gönderiyoruz dediler, yaklaşık iki saat geçti gelen giden yok ve arıyoruz açılmıyor.",2.0,2.0,2.0,1601511397
