food_id,food_name,food_price,food_category,food_score
c2fc3f16-c4d2-42a4-857a-9c1808b86fdd,Yılbaşı Menüsü (Kanat),"100,00 TL",Yılbaşı Menüleri,5.0
f54caf3e-edde-40cb-85ca-7ae45dad6436,Yılbaşı Menüsü (Karışık Kanat),"85,00 TL",Yılbaşı Menüleri,5.0
27c19b74-0d93-46a8-a444-3f8c2725915f,Yoğurtlu Kebap,"40,00 TL",Kebaplar & Izgaralar,7.0
2bc2e174-9c8e-4022-8ffb-658f75d40377,Adana Kebap,"35,00 TL",Kebaplar & Izgaralar,9.0
3c470b69-43cb-402f-9593-6d5615fe8c2e,Urfa Kebap,"35,00 TL",Kebaplar & Izgaralar,7.0
4d5e276a-05f6-4ca1-97a4-b5e360bc38a6,Sarma Beyti Kebap,"40,00 TL",Kebaplar & Izgaralar,7.0
70a88efd-3f1e-4405-ac91-60d9be9ab1d5,Patlıcanlı Kebap,"40,00 TL",Kebaplar & Izgaralar,7.0
8a9c29d5-ac07-4cfd-919f-4bf45b6cbbb8,Domatesli Kebap,"40,00 TL",Kebaplar & Izgaralar,7.0
9fbe5821-4e7a-450e-9931-baa7d773f66d,Çöp Şiş,"40,00 TL",Kebaplar & Izgaralar,7.0
aeb53ce0-9ea1-4bcf-9ec3-81f55c1b3908,Ciğer Şiş,"40,00 TL",Kebaplar & Izgaralar,6.0
e2a7f51a-98af-48f6-bb6b-c8d13d6d1c60,Tavuk Kanat,"35,00 TL",Kebaplar & Izgaralar,5.0
f4f2510b-9443-47f8-b7e4-8a9b9dcb1a15,Karışık Kebap (2 Kişilik),"75,00 TL",Kebaplar & Izgaralar,7.0
fe99050d-3ac8-4cd8-92ba-00c25d93958a,Tavuk Şiş,"34,00 TL",Kebaplar & Izgaralar,5.0
41bb1d3f-851b-4c67-a18f-adf0f6be053f,Tavuk Şiş Dürüm,"17,00 TL",Dürümler,12.0
891ce4fd-ee76-4241-971d-d6fe0cf6374c,Adana Dürüm,"20,00 TL",Dürümler,14.0
9b5aba22-9f90-4f1d-8acd-97772b365d5e,Ciğer Şiş Dürüm,"20,00 TL",Dürümler,8.0
aced47e3-acaa-455c-b1a2-77cb4f3a77b5,Urfa Dürüm,"20,00 TL",Dürümler,7.0
ad4a29e3-c0c2-4074-aa4e-329115f67dc0,Çöp Şiş Dürüm,"20,00 TL",Dürümler,9.0
e6fcfb41-6c19-4af0-be0a-da85b284d04a,Fruko (1 L.),"10,00 TL",İçecekler,5.0
240f46ca-3fab-4c84-803b-794800cd27ac,Poşet,"0,25 TL",Poşet,5.0
