food_id,food_name,food_price,food_category,food_score
d30b87a3-2cb5-4978-ab00-f5b7f56c071a,Tam Mega Çiğ Köfte Dürüm Menü,"15,00 TL",Menüler,9.0
5211dca4-7273-49b8-9122-6db2eae48a9e,2'li Çiğ Köfte Dürüm Menü 1,"17,00 TL",Menüler,32.0
c8a3bb3e-c43c-4202-8714-54f2eaa0dc52,2'li Çiğ Köfte Dürüm Menü 2,"17,00 TL",Menüler,12.0
662e2203-9044-436c-bd29-165dc4e2e759,Karışık Menü,"18,00 TL",Menüler,5.0
9ffc13b7-91f6-448d-afb5-bb3211dacf2a,Dürüm Menü,"15,00 TL",Menüler,10.0
900219c1-a489-4e73-bb00-2e16c62c2ab1,Çiğ Köfte (300 gr.) Menü 1,"19,00 TL",Menüler,23.0
2b503f9a-4b82-45b2-af02-90e99e765fab,Çiğ Köfte (300 gr.) Menü 2,"21,00 TL",Menüler,7.0
638fe30a-11d5-41a8-bfbf-89b43e683a29,3'lü Çiğ Köfte Dürüm & Ayran Menü,"22,00 TL",Menüler,13.0
993094a7-f5a4-4f10-a48d-b34522d619df,4'lü Çiğ Köfte Dürüm Menü,"29,00 TL",Menüler,9.0
82ecd32e-6f5a-4ec5-9f9c-fff8910f76c5,3'lü Çiğ Köfte Dürüm Menü,"20,00 TL",Menüler,9.0
661f89b2-eb20-4e90-bad5-777e66c9cd7d,Algida Menüsü (Çiğ Köfte Dürüm (120 gr.)),"10,00 TL",Menüler,10.0
c02bb31f-f6ad-4850-834a-39fd377cf799,Ekonomik Arkadaş Menü,"33,00 TL",Öğrenci Menüleri,5.0
acc72afe-0b36-4866-8528-c7cbf89efe8b,Menü 1,"32,00 TL",Aile Menüleri,24.0
3db339fc-baff-4324-9c10-19c5cf80dc5a,Menü 4,"36,00 TL",Aile Menüleri,5.0
44d97f3f-c850-439b-8943-705484be84bf,Menü 5,"45,00 TL",Aile Menüleri,8.0
f9f19cd1-70fc-4476-ba49-c0c44eddac11,Menü 6,"43,00 TL",Aile Menüleri,5.0
64fa3fc8-a0f1-41d5-a60b-dd64e48ba833,Menü 8,"50,00 TL",Aile Menüleri,5.0
4f665a77-ee7f-4ae6-8efd-84c49f25fd22,Menü 9,"65,00 TL",Aile Menüleri,5.0
6b8c72d2-5415-4dbe-842e-869ad94f6ba4,Menü 7,"48,00 TL",Aile Menüleri,5.0
033F3DEB-510F-42AE-8C3E-4F1B3DC945F0,Çiğ Köfte (20 Sıkım),"23,00 TL",Çiğ Köfteler,9.0
1188021a-9a06-4d54-98d3-a63d1a57af8c,Çiğ Köfte (500 gr.),"28,00 TL",Çiğ Köfteler,9.0
1812FAB5-2AEA-41FA-B8B7-616BF477C612,Çiğ Köfte (30 Sıkım),"33,00 TL",Çiğ Köfteler,4.0
28f8cc8f-ba2c-4500-9c78-7af0b61a2b1f,Aile Boyu Çiğ Köfte (750 gr.),"38,00 TL",Çiğ Köfteler,4.0
e9b84d5b-0dd0-48c1-a512-0c3e4047b2e3,Çiğ Köfte (1 kg.),"55,00 TL",Çiğ Köfteler,4.0
cd25e0dd-e6df-4d87-8bd5-341e5bd14466,Limon (Adet),"2,00 TL",Yan Ürünler,5.0
e8e4407f-e571-4d12-a730-2dd2e53a0dd0,Lavaş (3 Adet),"2,00 TL",Yan Ürünler,5.0
8290ad32-03c9-49c1-9610-990ea7bc939d,Domates Tabağı,"5,00 TL",Yan Ürünler,5.0
f7bc581f-3c73-465d-aea8-82f714930071,Bardak Turşu,"4,00 TL",Yan Ürünler,5.0
b763589a-6664-4b75-80aa-b77601322df0,Maydanoz (Adet),"3,00 TL",Yan Ürünler,5.0
907c5aff-9c1c-413f-bb2f-f6c4ca1bbc04,Yeşillik,"6,00 TL",Yan Ürünler,5.0
069ae2ef-be71-465e-9f84-54d3aa37b2e9,Nohut Dürüm,"6,00 TL",Yan Ürünler,10.0
9d9d1a0d-b12f-43ae-8316-70d6271c5f9f,Haşlanmış Nohut,"10,00 TL",Yan Ürünler,5.0
e3e86c3b-ce14-464f-829a-ee3d77b81d1b,Künefe,"20,00 TL",Tatlılar,5.0
46a931cf-d268-411e-ad46-c7b61678cecc,Poşet,"0,25 TL",Poşet,5.0
