comment_text,comment_speed,comment_service,comment_taste,comment_time
Soğan istemediğimi soğana mi söylemeliyim :).,8.0,8.0,8.0,1606772758
İce tea diyorum coca cola geliyor dışarıdan diyorum buz gibi gönderiyorlar. Patatesler büzüşük soğuk.. Daha bişey demek istemiyorum.,1.0,1.0,1.0,1606599958
Çok güzelsiniz 10 senedir aynı lezzet bravo hocam.,10.0,10.0,10.0,1606513558
Lütfen yazdığımız notları okuyunuz içerik istediğim gibi gelmedi zorla yedim ketçap maya ness kullanmıyorum ben not yazmama rağmen ketçap maya ness turşu koyulmuştu lütfen bir daha olmasın notları okuyalım kolay gelsin.,10.0,8.0,8.0,1606254358
"Özellikle mayonez olmasin yazdim ama malesef vardi, bu hep oluyor. Dikkat etmenizi rica ediyorum.",10.0,5.0,5.0,1606167958
"Sosili patso güzeldi, patatesler güzel. Ayvalık tostu biraz soğumuştu, daha iyi olabilirdi. Genel olarak beğendimi söyleyebilirim.",8.0,10.0,8.0,1605303958
Herşeyi ile berbattı.,1.0,1.0,1.0,1605303958
Kuryeniz aşırı yavaş ve bilinçli bir servis değil pos kullanımına hakim değil ayrıca verdiğim sipariş yanlış geldi.,1.0,1.0,1.0,1604871958
Bi insan yemeği bu kadar kötü yapamaz patasler kuruydu taş gibiydi bi ketçap bile göndermemişler bi kola güzeldi allahtan onu siz yapmıyorsunuz.,5.0,1.0,1.0,1604180758
"Yediğim en güzel patsolardan biriydi, servisi aynı şekil süperdi elinize sağlık böyle devam.",9.0,10.0,10.0,1604143012
"O yağmurda yemeği sağ olsunlar soğumadan getirdiler hızlı bir şekilde, 10/10/10. Porsiyon da büyüktü.",10.0,10.0,10.0,1604143012
Sıcak ve lezzetliydi teşekkürler.,10.0,10.0,10.0,1604143012
Uçar oto olarak begendik cok hizli geldi.,10.0,7.0,7.0,1604143012
Yemek çok geç geldi.,1.0,1.0,1.0,1601513266
Bence lezzetliydi neden puan bu kadar düşük anlamadım.,10.0,10.0,10.0,1601513266
Sipariş verdiğim menüde kola olmasına rağmen gelmedi.,7.0,4.0,8.0,1601513266
"İçecekleri yanlış getirmişlerdi. Beklemeden dolayı biraz birbirine girmişti. Ama onun dışında sıcaklığı iyiydi, lezzetli iyiydi.",6.0,8.0,9.0,1601513266
Geç geldi ve tatsız.,1.0,1.0,1.0,1601513266
Kötü değil ama ekmek yiyosunuz biraz daha özen gösterin.,8.0,6.0,7.0,1601513266
Sosisler pismemis tadi tuzu yok cok gec geldi.,1.0,1.0,1.0,1601513266
Patsonun ekmegini tadı iyi degildi.,10.0,10.0,4.0,1601513266
Mayonez olmasın dememe rağmen sıkmanız.,8.0,1.0,4.0,1596253774
İyi.,9.0,9.0,9.0,1596253774
Tam bir fiyasko siparişim 1 saati geçik gelmedi ve haber de vermediler bir daha asla yemem misafirime rezil oldum.,1.0,1.0,1.0,1596253774
Sırf çalışanların emeği boşa gitmesin haklarına girmeyim diye 8 verdim. Abicim bu ne kadar patates doldurmaktır. Resmen sadece patates kızarması yedirdiniz.,8.0,8.0,8.0,1593624028
Bol malzemeli leziz.,10.0,10.0,10.0,1593624028
Ayvalik tostu siparis verdim dha iyilerini yedim birde ne adresi dogru okuyolar nede odeme seklini bida siparis vermem.,5.0,5.0,5.0,1593624029
Herşey iyi güzelde fakat patsonun yanında patates kızartmasını değiştirin bence ikiside patates zaten.,10.0,10.0,10.0,1593624029
Öncelikle sıcak geldi lezzetli burger ve kaşar sucuk tost söyledim. Şaşırdım yani onca sipariş verdim hep bi eksiklik vardı biri sıcak sa kötü iyiyse soguk geç geldi falan oldu filan oldu şeyler. Adamlar zamanında sıcak lezzetli yemekler yapıyorlar tavsiye ederim.,10.0,10.0,10.0,1593624029
Soğuk olması haricinde başarılı.,10.0,10.0,7.0,1593624029
Sosisler güzel değildi ama hız ve patso çok güzel.,8.0,8.0,7.0,1593624029
7 dakikada geldi hem sıcak hem lezzetli geldi.,10.0,10.0,10.0,1593624029
Soğumuştu maalesef.,10.0,10.0,5.0,1593624029
