comment_text,comment_speed,comment_service,comment_taste,comment_time
Hersey mukemmel.,10.0,10.0,10.0,1606772223
Beklediğimden çok geç geldi fakat geliğinde sıcaktı ve lezzetliydi geç gelmesi hariç herşey güzeldi.,6.0,8.0,10.0,1606772223
Ghjdh.,10.0,10.0,10.0,1606772223
Kuryeye helal olsun adam ucarakmi getirdi anlamadım çok hızlı geldi. Soslar unutulmamış lezet yerinde daha ne olsun saygılar kolay gelsin..,10.0,10.0,10.0,1606772223
Müthiş.,10.0,10.0,10.0,1606772223
Bu kadar hızlı beklemiyordum gerçekten. Sevmediğim bi tadı şans vermek için sipariş verdim ve ba yıl dım. Bu kadarını beklemiyordum gerçekten. Süperr pişman olmazsınız.,10.0,10.0,10.0,1606685823
Kj.,9.0,9.0,9.0,1606685823
Rezalet.,1.0,1.0,1.0,1606685823
Soslar unutmasa kafi :).,10.0,10.0,10.0,1606685823
Yine her zamanki gibi soğuktu sanırım patatesler sabahtan kalmış basattı yine şaşırtmadınız..,1.0,1.0,1.0,1606599423
Sipariş uzun sürede geldi ve buz gibiydi.,4.0,2.0,3.0,1606599423
 inanılmaz yavaş ve inanılmaz soğuk.,1.0,1.0,1.0,1606599423
Çok geç getiriyor.,2.0,4.0,5.0,1606599423
Patatesleriniz hariç herşey 10 numaraydı.,10.0,10.0,9.0,1606513023
Servisim çok hızlı ve sıcak geldi teşekkürler burger king.,10.0,10.0,10.0,1606513023
Sufleler çok iyiydi teşekkürler.,10.0,10.0,10.0,1606513023
Normal kola istiyoruz diyet kola geliyor.,6.0,1.0,8.0,1606513023
Vtdcc.,10.0,10.0,10.0,1606513023
Basarili.,10.0,10.0,10.0,1606426623
Menüde olan soğan halkası gelmedi. Herhangi bir bilgilendirme yapılmadı bu konuyla alakalıda.,8.0,1.0,8.0,1606426623
Evim ile restorantin arasinda ki mesafe 3 dakika ve 58 dakikada getirdiler buz gibiydi.,1.0,1.0,1.0,1606426623
Yemekler çok sıcaktı güler yüzlü hizmet 10/10/10.,10.0,10.0,10.0,1606340224
Patates kizartmasina çözüm bulun artik.,10.0,10.0,5.0,1606340224
Güzeldi.,10.0,10.0,10.0,1606340224
Hızlı geldi fakat ekstra peynirli sipariş vermeme rağmen konulmamıştı ayrıca pandemi döneminde içeceklerin yanında pipet gelmemesi ağır bir eksi.,9.0,2.0,5.0,1606253824
İyi.,9.0,9.0,9.0,1606253824
