comment_text,comment_speed,comment_service,comment_taste,comment_time
Herşeyiyle çok beğendim teşekkürler.,10.0,10.0,10.0,1606774139
Teşekkürler.,10.0,10.0,10.0,1606774139
Siparişimde ayran da olmasına rağmen ayran vermediler.,7.0,5.0,7.0,1606774139
Adana porsiyonlarınızın yanındaki patates kötüydü.,9.0,8.0,8.0,1606774139
Muhteşem.,10.0,10.0,10.0,1606774139
Ayranı getirmeyi unutmuşlar onun harici iyi.,8.0,8.0,8.0,1606774139
Künefesi gerçekten harika.,10.0,10.0,10.0,1606774139
Güzel.,8.0,8.0,8.0,1606687739
Böyle bir rezilik olamaz ne sosu var ne ketçapı ne mayonezi pide yok patatesi yok tam bir rezilik.,1.0,1.0,1.0,1606687739
Fena değil tercih edilebilir.,7.0,8.0,8.0,1606687739
"Özel karışık diye bitmeyen karışık yapmışsınız. Yiyorum ama bitmiyor tadı cok guzeldi, elinize sağlık.",10.0,10.0,10.0,1606687739
Abdullah beye çok teşekkürler.,10.0,10.0,8.0,1606687739
Çok kötü çok.,1.0,1.0,1.0,1606687739
Mırhas spesyal 1 kısılık karısık ıle 3 kısı doyar boylesı bı yer gormedım ıstda nokta. 60 lıra ya en az yarım kılo karısık et yedım ınonu mah lesıne kadar getırmelerı dr ayrıca tesekkur borcum sız yıgıtsınız kardesım tskler.,10.0,10.0,10.0,1606601339
Herşey iyi güzelde kuryede maske bişey yok.,8.0,8.0,9.0,1606601339
Abdullah kardeşim her zamanki gibi güler yüzlüydü.,10.0,10.0,10.0,1606601339
Güzel ve sıcaktı.,9.0,9.0,9.0,1606601339
Künefe hem çok güzel ve hala sicakti gerçekten çok beğendik..,10.0,10.0,10.0,1606601339
Emeklerinize sağlık.. Daha nice hayırlı satışlar dilerim.,10.0,10.0,10.0,1606601339
Fiyatına göre gercekten çok büyük lahmacunları çocukluğumdan beri var orası elinize sağlık hayırlı işleriniz olsun.,10.0,10.0,10.0,1606601339
Tmm.,10.0,10.0,10.0,1606601339
Kurye hızlı getirdi çok sağolsun servisi beğendim ama karışık kebab bilmiyorum bişey eksikti tadı tuzu yoktu özellikle adana.,10.0,9.0,7.0,1606514939
Eksik olmayın.,10.0,10.0,10.0,1606514939
Güzeldi.,10.0,10.0,10.0,1606514939
Cok beyeniyorum cok guzel.,10.0,10.0,10.0,1606514939
Yemek güzel ve lezzetliydi teşekkürler.,10.0,10.0,10.0,1606514939
Guzeldi ellernize saglik.,8.0,8.0,10.0,1606514939
"Herşey güzeldi, fakat 3 çeşit yemekte de belirtilenin bulgur pilavı olmasına ragmen 2 tane bulgur pilavı gelmesi, tırnak pidenin 1 tane gelmesi üzdü. Lezzetine diyecek yok ellerinize saglık.",9.0,8.0,9.0,1606428539
Bayagı iyiydi herşey.,10.0,10.0,10.0,1606428539
Çok güzeldi.,10.0,10.0,10.0,1606428539
İsmi murat olan kurye arkadaş başarılı. Güler yüzlü ve siparişi çabuk getirdi. Yemek lezzetli ve ikramlar boldu. Aldıkları her kuruş helaldir.,10.0,10.0,10.0,1606342140
Çigköftesi güzel değildi.,6.0,6.0,6.0,1606342140
Teşekkürler.,10.0,10.0,10.0,1606342140
Soğuktu.,9.0,10.0,7.0,1606342140
"Bağcılara 35 dk gelen sipariş, kesinlikle yemekten sonra ağzıma tat filan gelmedi, lahmacun effsaneee, dönerde full et var hiç yağ koymamışlar ellerinize sağlık.",10.0,10.0,10.0,1606342140
Fena değildi.,10.0,8.0,6.0,1606342140
Sicak geldi baya iyiydi tşk.,10.0,10.0,10.0,1606342140
Hersey cok güzel tesekkurler.,10.0,10.0,10.0,1606255740
Notu dikkate almışsınız sıcak geldi ve lezzetliydi teşekkürler.,10.0,10.0,10.0,1606255740
Süper.,10.0,10.0,10.0,1606255740
Gayet güzel.,10.0,10.0,10.0,1606255740
Adamlara helal olsun hiç bozmadılar bu zamana kadar aynı kalite devam.,10.0,10.0,10.0,1606255740
İyi ki varsınızerbil altunbaş.,10.0,10.0,10.0,1606169340
10/10.,10.0,10.0,10.0,1606169340
Teşekkürler lahmacun güzeldi.,9.0,9.0,9.0,1606169340
Yemek buz gibiydi.,9.0,7.0,3.0,1606169340
Lahmacunda üstünüze yok lütfen bozmayın.,10.0,10.0,10.0,1606169340
"Elinize sağlık her zamanki gibi yine çok iyiydi, ayrıca hızlı ve sıcak geldiği içinde teşekkür ederiz.",10.0,10.0,10.0,1606082940
Gerçekten kalite ve hizmet muazzam kusursuz teksiniz rakibiniz yok bnce elinize sağlık herşey on numaraydı.,10.0,10.0,10.0,1606082940
Lahmacun ilk siparisim gibi degildi.,5.0,7.0,5.0,1605996540
Tavuk siparis ettim yaninda gelen pilav cok azdi.,8.0,8.0,6.0,1605996540
Her zaman severek sipariş ettiğim yer ama bu kez çok geç ve soguk geldi tavuk şiş eti biraz gözden geçirilmeli çok derili.,1.0,8.0,1.0,1605910140
Cok lezzetli idi teşekkür ederim.,10.0,10.0,10.0,1605910140
Sıcak olmaması dışında her şey güzeldi. Teşekkürler.,10.0,10.0,10.0,1605910140
Harika tadı çok beğendim çiğ yada kan da yoktu.,10.0,10.0,10.0,1605910140
Gecenin bir yarısı o kadar uzak mesafeden o lahmacunları alev gibi getirmek bir de üstüne çok güzel yapmak mükemmel bir şey. Teşekkür ederim.,10.0,10.0,10.0,1605910140
"Bir saate yakın geldi, soğuktu ne yazık ki 30 tlye göre de yetersiz buldum.",10.0,8.0,4.0,1605823740
Ikincikez sipariş verdim ilk verdiğin siparite güzeldi ikinci verdiğim siparite güzeldi ellerinize sağlık tavsiye ederim.,9.0,9.0,9.0,1605823740
Hijyen problemi vardı gerekli bilgiyi müşteri hizmetlerine söyledim.,6.0,1.0,1.0,1605823740
Teşekkürler.,10.0,10.0,10.0,1605823740
Güzel.,10.0,10.0,10.0,1605823740
Çok gecikmeli geldi onun dışında lezzet iyiydi.,5.0,7.0,8.0,1605650940
Yemekler bir harika.,10.0,10.0,10.0,1605478140
Herşey mükemmeldi.,10.0,10.0,10.0,1605478140
Hilmi bunu sevmedi.,1.0,1.0,1.0,1605391740
Guzel.,8.0,8.0,8.0,1605305340
Güzel.,9.0,9.0,9.0,1605305340
Harika lezzet ve çok hızlı.,10.0,10.0,10.0,1605218940
Berbat.,1.0,1.0,1.0,1605218940
Bütün kusurlara rağmen.,10.0,10.0,10.0,1605218940
Tskler.,7.0,7.0,7.0,1605218940
Çok beğendim.,8.0,8.0,8.0,1605046140
Eyi.,10.0,10.0,10.0,1605046140
"Kebap efsaneydi, künefe de öyle. Hızlı, sıcak, lezzetli.",10.0,10.0,10.0,1604959740
Müşteri memnuyeti odaklı çalışan bir işletme.,10.0,10.0,10.0,1604959740
Çok geç geldi ve sıcak değildi lahmacunlarınız bu sefer.,3.0,6.0,7.0,1604959740
Asdsadada.,10.0,10.0,10.0,1604959740
Servisi hızlandırmak gerekir.,10.0,10.0,10.0,1604959740
Hızınıza ve gülen yüzünüze teşekkürler.,10.0,10.0,10.0,1604959740
Adana dürüm güzeldi.,9.0,9.0,9.0,1604873340
"Mükemmel, teşekkürler.",10.0,10.0,10.0,1604873340
Iyi günler caner güler yüzlü ve kibardi teşekkür ederim güzel ekibin için mirhas.,10.0,10.0,9.0,1604873340
Kıymalı pidesi harıkaydı künefede guzel.,9.0,9.0,9.0,1604786940
Hızlı geldi baya kurye arkadaşa teşekkürler.,10.0,10.0,9.0,1604786940
İnegöl köfte yerine adana gelmiş.,7.0,1.0,7.0,1604786940
Her zamanki kalite.,10.0,10.0,10.0,1604786940
Güzel.,7.0,8.0,8.0,1604786940
"Kasap köfte siparişi verdim. Köftelerin arka tarafı ayın karanlık yüzü gibiydi, ufak bi yanık olsa önemsemem ama resmen simsiyahtı. Restoranın yerinde olsam bu köfteleri müşteriye sunan ustayı tebrik ederdim. Bir daha da sipariş vereceğimi zannetmiyorum. Verilen parayı haketmeyen bir yemekti.",7.0,9.0,1.0,1604786940
Ayranimi neden koymadiniz :).,7.0,2.0,9.0,1604700540
Siparişimi hızlı getiren yunus kardeşime öncelikle teşekkür ederim güleryğzlğ insanklarla çalışmaya devam mirhas.,10.0,10.0,10.0,1604700540
Lezzet süper servis iyi ilgi 10/10.,10.0,10.0,10.0,1604700541
Bildiğim bir yer fakat soğuk servis memnun etmedi :/.,6.0,6.0,5.0,1604614141
Pişiren ustaya özellikle bu not ellerine sağlık müthiş pişirmiş ve tekrar sipariş veriyorum.,9.0,9.0,9.0,1604614141
Kurye kardeşimizin güzel konuşmaları ve yemeğin sıcaklığı enfesti.,10.0,10.0,10.0,1604614141
Son siparisimden sonra kararsiz kalmistim ama bu sefer iyiydi.,7.0,8.0,8.0,1604614141
Gecenin 5 inde servis getirdiler ve sıcaktı yemek ilgililer güler yüzlü hizmet 100 er puan az kalır yanlarına.,10.0,10.0,10.0,1604527741
Teşekkürler.,10.0,10.0,10.0,1604527741
Mirhas kalitesi.,10.0,10.0,10.0,1604527741
Gayet başarılı 8.,10.0,10.0,10.0,1604527741
Döner soğuk geldi.,7.0,7.0,7.0,1604441341
Mükkkkoooooo bbbaaaaaaa.,10.0,10.0,10.0,1604441341
Çorbası çok güzel ama kuzu şiş için aynısını söylemeyeceğim belki de adanalı olup oradakine alıştığım içindir.,10.0,10.0,10.0,1604441341
