food_id,food_name,food_price,food_category,food_score
e553e99a-e61c-4d87-99e9-937ad8eb4121,Antep Usulü Lahmacun,"15,00 TL",Taş Fırında Lahmacunlar,25.0
eda48a24-03e7-4a1c-bad3-2dcd581d3365,Klasik Lahmacun,"14,00 TL",Taş Fırında Lahmacunlar,25.0
18d2cefd-4472-4df1-8cfc-002051212fa4,Kıymalı Pide (Kapalı),"30,00 TL",Taş Fırında Trabazon Usulü Pideler,11.0
34e45332-cb28-4da9-8d57-124923d4715d,Kavurmalı Pide (Kapalı),"32,00 TL",Taş Fırında Trabazon Usulü Pideler,11.0
78e36d5d-29f4-4bb7-b7ba-b16809edea32,Kavurmalı Peynirli Pide,"35,00 TL",Taş Fırında Trabazon Usulü Pideler,11.0
97d4fb36-4dba-4b4b-ae69-565df84168f3,Kuşbaşılı Pide,"35,00 TL",Taş Fırında Trabazon Usulü Pideler,11.0
ccd37db7-8167-4d38-b808-aef9fbbd18c7,Kuşbaşılı Kaşarlı Pide,"42,00 TL",Taş Fırında Trabazon Usulü Pideler,11.0
12b07de7-c109-41c4-b10f-2e8f2ceb32d0,Peynirli Pide,"27,00 TL",Taş Fırında Trabazon Usulü Pideler,11.0
ce4e5409-6d8c-47a2-9cd9-67cacae343fd,Pastırmalı Pide,"41,00 TL",Taş Fırında Trabazon Usulü Pideler,11.0
b59a329d-15f8-4292-bef9-9ee38e57fd6f,Pastırmalı Kaşarlı Pide,"45,00 TL",Taş Fırında Trabazon Usulü Pideler,11.0
de43eae1-b697-4524-9359-94a71aff9355,Sucuklu Peynirli Pide,"34,00 TL",Taş Fırında Trabazon Usulü Pideler,11.0
986B4160-D290-4AB4-AAF0-BAABB0659137,Katmer (2 Kişilik),"45,00 TL",Tatlılar,5.0
87EE2833-2A01-4A4C-A6F3-9A84E07985EA,Muska Katmer (4 Kişilik),"55,00 TL",Tatlılar,5.0
F6A9EC36-39DD-4AB6-B115-4191873A5C32,Burma Katmer (6 Kişilik),"70,00 TL",Tatlılar,5.0
a765db2d-d75c-4787-937e-173f1cf05891,Poşet,"0,25 TL",Poşet,5.0
