comment_text,comment_speed,comment_service,comment_taste,comment_time
İyi.,8.0,8.0,8.0,1606775225
Tek kelimeyle mükemmel.,9.0,9.0,9.0,1606688825
"Türkiyede yediğim en lezettli burger. Fakat et, daha az pişmiş olması gerekiyordu. Avrupadaki gibü ekmek variasyonu getirmek da artık bundan sonra size yakışır.",9.0,10.0,8.0,1606688825
Güzel tavsiye ederim.,8.0,8.0,8.0,1606688825
Maalesef en sonki siparişi beğenemedim.,5.0,5.0,2.0,1606602425
Muazzam.,10.0,10.0,10.0,1606602425
Köftesi iyiymiş vala sutlacta guzeldi.,10.0,10.0,10.0,1606602425
Guzeldi.,10.0,10.0,10.0,1606602425
10 numara.,10.0,10.0,10.0,1606516025
Harika.,10.0,10.0,10.0,1606516025
Harika herseyi cok lezzetli pisman olmazsınız.,9.0,9.0,9.0,1606429625
"Çok yakın olmanıza rağmen bir saat sürdü, buz gibi yemek geldi, gönderme gecikecekse eğer yemeyi geç pişirin. Yazık o paraya... İnsanlara değer verin lütfen. Değerlendirme umrunuzda değil ki.",1.0,1.0,1.0,1606429625
Hamburger çok çok lezzetli fakat mag tam hir hayal kırıklığı:).,10.0,10.0,9.0,1606429625
Harika.,10.0,10.0,10.0,1606429625
Başarılı.,10.0,10.0,10.0,1606429625
Hamburgeriniz beni şaşırttı. Gerçekten lezzetli ve doyurucuydu. Ellerinize sağlık.,9.0,9.0,9.0,1606429625
Fena değildi.,8.0,6.0,6.0,1606429625
Çok iyi.,10.0,10.0,10.0,1606343225
Teşekkür ederiz bu güzel lezzetler için.,10.0,10.0,10.0,1606343225
Harikaydı.,10.0,10.0,10.0,1606343225
1. 15 sipariş verdim 1. 50 de geldi extra eklettıgım hersey eklenmiş fiyat bagcılara göre size farklı gelebilir ama emın olun lezzeti cok guzel oreolu magnolya söyledim bıraz sıvı kıvamda ama onunda tadı cok guzeldı bu markanın bodrum da şubesi var ilk tatil de keşefetmiştim yine pişman olmazsınız.,10.0,10.0,10.0,1606256825
Siparişim tam da istediğim gibi sıcak geldi. Çok lezzetliydi. Elinize emeğinize sağlık.,6.0,9.0,9.0,1606256825
