comment_text,comment_speed,comment_service,comment_taste,comment_time
Zekeriya bey e verdigi hizmet icin cok tesekkur ederim basarilarinizin devamini dilerim.,10.0,10.0,10.0,1606775252
Uzun zamandır bu kadar taze sıcak ve lezzetli pizza yememiştim. Pizzamı getiren onur beye çok teşekkür ediyorum! Şu an bir sipariş daha veriyorum. Umarım onur bey tekrar hızlıca getirir. Hekimimyanimda.,10.0,10.0,10.0,1606775252
"Kurye sanırım zekeriya bey çok kibardı, oldukça hızlı olan bir sipariş fakat lezzet açısından daha güzelleştirilebilir. Teşekkür ederim.",10.0,9.0,5.0,1606775252
Siparisimdeki notu dikkate alan kurye zekeriya beye çok teşekkür ediyorum memnun kaldık.,10.0,10.0,8.0,1606775252
Rezalet pizza yamulmuşdu geldinde.,1.0,1.0,1.0,1606602452
Pizza gayet hızlı ve sıcak gelmişti. Aşağıda beklettiğim halde güler yüzünü eksiltmeyen zekeriya beye de çok teşekkür ediyorum.,10.0,10.0,10.0,1606602452
İyi.,9.0,9.0,9.0,1606602452
Beşiktaş.,10.0,10.0,10.0,1606602452
Çok iyiydi bir kötü yanı vardı o da 6 dilimdi.,10.0,10.0,10.0,1606516052
1 saat sonra geldi soğumuş ve kötüydü.,1.0,1.0,1.0,1606516052
Servis cok hizliydi tabi haliyle sicak geldi pizzasina diyecek yok muthisti guvenle siparis verebilirsiniz.,10.0,10.0,10.0,1606516052
Hızlı geldi orta sıcaklıktaydı pizza ama porsiyonlu sucuk ekmekte çok sarımsak tadı geliyor.,8.0,8.0,6.0,1606429652
"Kaliteli ürün, teşekkürler.",10.0,10.0,10.0,1606343252
Ben bayıldım cidden.,10.0,10.0,10.0,1606343252
Gayet güzel.,8.0,8.0,8.0,1606170452
Tşk ederim.,10.0,10.0,10.0,1606084052
Kurye zekeriya notumu dikkate alarak beni mutlu etti çok teşekkür ederim yalnız nefis kenarın içindeki peynir oranı azalmış bu üzdü.,10.0,10.0,10.0,1606084052
Siparisimizi ozenle getiren sevgili onur u ozledik. Ögretmenler gunune ozel bir de kampanya yapsaydiniz keske.,10.0,10.0,10.0,1606084052
Çok hızlı geldi fakat kenarları çok kuruydu malzemesi çok çok azdı daha iyi olabilirdi.,10.0,7.0,4.0,1606084052
İyiydi.,8.0,9.0,10.0,1605997652
Zekeriya beye çok teşşekkür ederim.,10.0,10.0,10.0,1605911252
Hızınız on numara ama pizzanız berbat resmen salçalı ekmek yedik.,9.0,1.0,1.0,1605911252
Çok geç geldi 1 saatten fazla sürdü gelmesi ama lezzet ve servise düşük vermem geç geldiği için değil gerçekten çok kötüydü hamuru ve midemi rahatsız etti ayrıca 25dk sonra teslim edildi yapıldı sipariş muhtemelen sipariş süresi aşmasın diye bir oyun.,1.0,5.0,1.0,1605911252
