food_id,food_name,food_price,food_category,food_score
215c98a5-dd4d-434c-a8f8-10bc175b9624,No.10 Menü,"25,00 TL",Menüler,10.0
e3ad8dd9-a337-446d-8742-064f959e0836,Alsancak Tost,"17,00 TL",Tostlar,7.0
0e3ab8c7-bf3e-4a43-9871-a7534a5ac4f4,Ayvalık Tost,"10,00 TL",Tostlar,12.0
86bdebd3-3ef9-4130-a6c8-b38a5faebcd9,Kare Tost,"9,00 TL",Tostlar,7.0
cecea748-2dec-491b-b787-df682da692e7,Izgara Köfte,"28,00 TL",Köfteler,5.0
a030e3ca-5633-481f-9afc-be620ffe218f,Akçaabat Köfte,"30,00 TL",Köfteler,5.0
3c6d3ca0-f1b4-46e1-a991-cb381e22fb16,Tavuklu Mantarlı Makarna,"22,00 TL",Makarnalar,5.0
51c13d7a-6865-470a-b75d-f65774e73725,Penne Arrabbiata,"20,00 TL",Makarnalar,5.0
f27a1ee0-1509-4697-9293-7b1688003bdb,Köri Soslu Penne,"20,00 TL",Makarnalar,5.0
93dcd30d-282b-4cd4-90d1-8974810c0c8f,Kemiksiz Çıtır,"14,99 TL",Yan Ürünler,5.0
476143B5-D28D-4DE2-A9F4-0AA1B043B2F6,Patates Kızartması,"10,00 TL",Yan Ürünler,5.0
237298fb-bfb2-4ec3-9d70-278345445107,Melodi Twıster,"9,99 TL",Yan Ürünler,5.0
34597dfd-ad5c-4eb9-b634-2603ae417fb8,Poşet,"0,25 TL",Poşet,5.0
