comment_text,comment_speed,comment_service,comment_taste,comment_time
Tesekkurler.,9.0,9.0,9.0,1606412330
Mütiş.,10.0,10.0,10.0,1606412330
Muhteşem lezzet muhteşem servis 10 numara 5 yıldız kesinlikle.,10.0,10.0,10.0,1606325930
10 numara.,10.0,10.0,10.0,1605980330
Teşekkürler.,10.0,10.0,10.0,1605893930
10 numara 5 yıldız.,10.0,10.0,10.0,1605807530
1. 5 saatte yemek yollanmaz ama.,1.0,1.0,1.0,1605548330
"Her zaman ki gibi harika, elinize sağlık.",10.0,10.0,10.0,1605289130
Elinize sağlık.,10.0,10.0,10.0,1605289130
Çorba daha iyi olabilirdi.,8.0,10.0,8.0,1605029930
Orta.,4.0,4.0,4.0,1604943530
Bu sefer üzdü.,7.0,5.0,1.0,1604770730
Paket güzel kaplar güzel hızlı da pide de güzeldi beğendim büyükşehirlerde pideler güzel olmaz genelde ama izmire göre güzel pidesi yenir.,10.0,10.0,10.0,1604165930
Herşey çok güzeldi ama biz normal lahmacun söyledik acılı geldi.,10.0,10.0,10.0,1604041784
Tsk ederim.,10.0,10.0,10.0,1604041784
Yanlış sipariş gelmiş.,10.0,10.0,7.0,1604041784
"Tavuk şiş çok kötüydü. Tatsız, lezzetsiz, baharatsız. Yağda kızartıp göndermişler sanki.",8.0,8.0,1.0,1604041784
Uygun fiyat süper lezzet. Teşekkürler...,10.0,10.0,10.0,1604041784
Çok iyiydi.,10.0,10.0,10.0,1604041784
Kurye çok hızlıydı.,10.0,10.0,8.0,1604041784
Teşekkürler.,9.0,9.0,9.0,1604041784
Çok hızlı geldi çokta lezzetliydi ellerinize sağlık.,10.0,10.0,10.0,1604041784
Lezzet zayıf.,10.0,10.0,6.0,1604041784
Son derece basarili bir isletme tavsiye ederim.,10.0,10.0,10.0,1604041784
Güzel.,10.0,10.0,10.0,1601412038
Her zaman lezzetli hızlı ve tercih edilebilir bir yer.,10.0,10.0,10.0,1601412038
Elinize sağlık.,10.0,8.0,8.0,1601412038
Yemekler lezzetli ve sicak geliyor. Corbalar da harika. Fakat uzunca bir süre ezogelin siparis etmemistik. Son siparişte fazlaca yağlı ve baharatlıydi. Lütfen lezzetini bozmayın. Elinize sağlık teşekkürler.,10.0,10.0,9.0,1601412038
Güzel.,10.0,10.0,10.0,1598782293
Çorba aşırı baharatlıydı pideler de 5 dakikalık yürüme mesafesinden gelmesine rağmen soğuktu ve bayattı bir an acaba arda kalanları mı gönderdiler diye düşündüm.,8.0,10.0,1.0,1598782293
Notu dikkate aldınız teşekkür.,10.0,10.0,10.0,1598782293
Güzeldi.,9.0,9.0,9.0,1598782293
"Abi herşey güzel, sadece kim bakıyosa yemek sepeti siparişlerine notları okumayı öğrensin.",10.0,7.0,9.0,1598782293
Elinize sağlık biraz daha kimyonu az olursa kuşbaşılı pide daha iyi olacak.,10.0,9.0,7.0,1598782293
Güzel.,10.0,10.0,10.0,1596152547
Güzel.,10.0,10.0,10.0,1596152547
Kelle paça çorbası çok güzeldi herkese tavsiye ederim fakat sirke sarımsakda gönderseniz daha iyi olur.,10.0,9.0,10.0,1596152547
Gayet lezzetliydi ve cok hızlı geldi. Yanındaki yeşillikler yeterliydi. Lahmacun cok sıcak ve kıtırdı. Getiren arkadas da güler yüzlüydü beğendim.,10.0,10.0,10.0,1596152547
Lezzetli.,9.0,9.0,9.0,1596152547
İyidi.,10.0,10.0,10.0,1596152547
Joker söyledim. İlk defa bir restorant joker siparişime düzgün işçilik ile lezzetli bir yemek servisi yapmış. Çok teşekkürler.. Bol kazançlar..,10.0,10.0,10.0,1596152547
Notlari dikatli okun yeter.,1.0,1.0,1.0,1596152547
Yeşillik konmuş güzeldi ama keşke meze olsaydı daha iyi olurdu. Paketleme çok iyiydi. İsot lahmacunun tadını bastırmış ama yine de iyiydi.,10.0,8.0,9.0,1593522801
Neredeyse bir saatte geldi. Hız maalesef kötü. Lezzet güzeldi biraz daha az tuzlu yapılabilir belki. Elinize sağlık.,1.0,10.0,8.0,1593522801
Herşey çok güzel ellerine sağlık vazgeçilmez lezzet resmen.,10.0,10.0,10.0,1593522801
Yeşillik ve salata biraz bol gelseydi keşke tavulçk şiş ve lahmacun çok lezzetli..,9.0,8.0,9.0,1593522801
Soğan lahmacunun olmazsa olmazıdır not olarak da istememe rağmen yollamadınız daha size sipariş vermem.,1.0,1.0,1.0,1593522801
Efsane.,10.0,10.0,10.0,1590893055
Güzel di fakat pilavı neden aleminyum folyada. Geliyo onu anlamıyorum. Onun haricinde iyiydi.,7.0,7.0,8.0,1590893055
