comment_text,comment_speed,comment_service,comment_taste,comment_time
Her zaman ki gibi şahane.,10.0,10.0,10.0,1606671715
Gayet iyiydi.,10.0,9.0,10.0,1606671715
Kumpir lezzeti malesef bana hitap etmesi belki de bu seferki böyleydi... Teşekkürler basarilar.,9.0,9.0,7.0,1606498915
"Çok lezzetliydi, teşekkürler.",10.0,10.0,10.0,1606412515
Herşeymi süper olur.,10.0,10.0,10.0,1606326115
Sipariş notlarını okumuyorlar.,10.0,1.0,10.0,1606239715
Cok iyiydi.,10.0,10.0,10.0,1606066915
Lezzetli.,10.0,10.0,10.0,1605980515
Çok güzeldi ellerinize sağlık.,10.0,10.0,10.0,1605894115
"Kumpir lezzetli ve şahaneydi tavsiye ederim, güleryüzlü ömer kuryeniz çok hızlı getirdi çok teşekkür ederim.",10.0,10.0,10.0,1605894115
Söğüş güzeldi elinize sağlık.,10.0,10.0,10.0,1605894115
Mükemmel lezzet mükemmel servis.,10.0,10.0,10.0,1605721315
Mükemmelito.,10.0,10.0,10.0,1605634915
Harika sandviç.,10.0,10.0,10.0,1605634915
Karışık sandviç efsane daha iyisi yok.,10.0,10.0,10.0,1605634915
Patatesler bi tik daha iyi olabilirdi gerisi basarili.,10.0,10.0,10.0,1605548515
Güzel..,8.0,8.0,8.0,1605548515
Teşekkür ederiz.,10.0,10.0,10.0,1605548515
Bazen iyi bazen kötü geliyor sipariş bunun için pek tercih etmiyorum burayı tüketiciyi bilinçlendirmek adına yapıyorum bu yorumu iyi günler.,5.0,5.0,5.0,1605548515
Daha büyük ekmek seçeneği olsa iyi olur.,10.0,10.0,9.0,1605462115
"Patatesi birazdaha bol koyabilirsiniz, güzel ve hızlı hergün kumrucu aykut bizde, şaşmaz.",10.0,10.0,10.0,1605375715
Kumpir mükemmeldi.,10.0,10.0,10.0,1605375715
Söğüş her zaman efsane.,10.0,10.0,10.0,1605289315
İyi.,8.0,8.0,8.0,1605289315
Rhersey çok guzel ellerinize saglik.,10.0,10.0,10.0,1605202915
Teşekkürler.,10.0,10.0,10.0,1605116515
Miss.,10.0,10.0,10.0,1605030115
"Hergün 1 veya 2 kere sipariş veriyorum hep, patates hep çok pişmiş sert geliyor lütfen birazdaha dikkat edilirse sevinirm.",10.0,10.0,8.0,1604943715
Güzel lezzetli.,10.0,10.0,10.0,1604857315
Süperdi yine gecenin 2 sinde söyledim her zamanki gibi geldi.,10.0,10.0,10.0,1604857315
"Yengen çok kötüydü. Peynirin tadı, sosis tadı güzel değildi.",8.0,7.0,2.0,1604857316
Soğuk kumru yemek istiyen deneye bilir adrese gelmeden kaç yere uğradı veya hazırlandıktan sonra ne kadar bekledi bilmiyorum. Buz gibi kumru missss.,1.0,3.0,1.0,1604770916
"Balçovadan söyledik gayet iyiydi, teşekkürler.",10.0,10.0,10.0,1604770916
On numara hız lezzet hizmet.,10.0,10.0,10.0,1604770916
Güzeldi beğendim.,10.0,10.0,10.0,1604684516
Bu alemde kralsın aykut abiii.,10.0,10.0,10.0,1604684516
Lezzetli :).,10.0,10.0,10.0,1604684516
1 saatte getiricekseniz 25-30 dk teslimat yazmayın bir de dibinizde oturuyorum.,1.0,5.0,6.0,1604684516
Servis olarak kaşık çıkmadı ama olsun geri kalan her şey güzeldi teşekkürler.,10.0,7.0,10.0,1604598116
Güzel mekan joker ile iki rus salatalı ayvalık totst ve iki sucuk kaşar yumurtalı sandiviç söyledik hepsi güzeldi hızlı geldi. Doyurucuydu. Sadece rus salatalı tost biraz garip vr orjinal bir şey deneyebilirsiniz seveni kadar sevmeyeni olabilecek bir ürün ben beğendim şahsen. Güzel mekan.,10.0,10.0,10.0,1604598116
İyi.,9.0,9.0,9.0,1604425316
Malzemelerin biraz daha bol koyulmasını tercih ederiz.,10.0,10.0,8.0,1604425316
Acayip iyiydi herkese tavsiye ederim.,10.0,9.0,10.0,1604338916
Şahane aykut usta mükemmel.,10.0,10.0,10.0,1604338916
Kumrunun içindeki sucuğu beğenmedim. Baska bir kaliteli sucuk tercih edebilirsiniz. Porsiyon çok iyi genel olarak başarılı.,10.0,10.0,9.0,1604252516
Her zamanki gibi muhtesem ustama selamlar acı tıne :).,10.0,10.0,10.0,1604252516
İçinde rus salatasını arada bul hiç olmadı...,9.0,7.0,5.0,1604252516
Cheseburger güzel tavuk ekmek de güzel ama sade geldi soslu felan olsa daha lezzetli olurdu. Yinede güzel iyi çalışmalar.,10.0,10.0,10.0,1604252516
Teşekkürler.,10.0,10.0,10.0,1604041970
Joker siparişi verdiğim için mi bilmiyorum ama içecek yanlış ve küçük geldi. Eğer jokerle bir ilgisi yoktuysa aranıp bilgilendirilebilirdi. Pek memnun kalmadım maalesef.,8.0,6.0,6.0,1604041970
Hep en iyi her zaman en iyi saglam restoran.,10.0,10.0,10.0,1604041970
Söğüşü desen ayrı güzel kumrusu desen ayrı güzel. Ayvalık söyledim gecenin bilmem kaçında tostta patateslerde 10 numaraydı...,10.0,10.0,10.0,1604041970
İyi.,10.0,10.0,10.0,1604041970
Söğüş söylemeyi düşünen hiç tereddüt etmemeli. Lavaşına zor sığacak dolulukta son derece lezzetli bir söğüş yapıyorlar.,10.0,10.0,10.0,1604041970
Hızlıydı teşekkürler.,10.0,10.0,10.0,1604041970
Kumpiri güzel yapıyorlar.,9.0,9.0,9.0,1604041970
Aşırı hızlı geldi ama kumpir için servis yoktu ne tuz ne kaşık vardı.,10.0,8.0,10.0,1604041970
Bu lezzet efsane bu adamlar efsane. Bütün ürünleriniz çok lezzetli başka yerlerde yiyince aynı lezzeti alamıyorum ve sizde vazgeçemiyoruz.,10.0,10.0,10.0,1604041970
Paketçiye can kurban.,10.0,10.0,10.0,1604041971
Yarım ekmek ızgara tavuk inanılmaz lezzetli ve doyurucu.,10.0,10.0,10.0,1604041971
Teşekkürler.,10.0,10.0,10.0,1604041971
Çok iyiydi gene fahrettin altay a 10 dakikada geldi sıcacikti.,10.0,10.0,10.0,1604041971
"10, 10, 10.",10.0,10.0,10.0,1604041971
Bu adamlar efsane yaaa mükemmel bi lezzet:).,10.0,10.0,10.0,1604041971
Hersey harikaydı elinize saglik hayırli isler.,10.0,10.0,10.0,1604041971
"Öncelikle kumpirin yanına plastik kaşık koymamışsınız koyarsanız çok daha iyi olur, kumpire gelince lezzetli ve porsiyon olarak iyiydi fakat üstüne eklettiğimiz mezeler fazla tuzluydu.",8.0,9.0,8.0,1604041971
Mükemmel kumpirde üstlerine tanımam.,10.0,10.0,10.0,1604041971
Notları okuyun.,6.0,4.0,7.0,1604041971
İyi.,10.0,10.0,10.0,1604041971
Kumpir çook ama çook kötü.,1.0,1.0,1.0,1604041971
"Kurya kim ise cok tesekkur ederim, notlarim dikkate alinip o sekilde birakildi evime.",7.0,10.0,10.0,1604041971
Sadece bir adet tost 50 dakikada geldi. Ve buz gibiydi. Siparişleri biriktirip mi teslim ediyorlar amlamadım. Bir daha sipariş vermem.,1.0,3.0,4.0,1604041971
Kuryeleri hep çok nazik. Siparişler hep hızlı geliyor. Tek problem malzeme dengesi bir türlü tutmuyor her seferinde malzemenin bir kısmını sıyırıp atmak zorunda kalıyorum.,10.0,10.0,8.0,1604041971
