food_id,food_name,food_price,food_category,food_score
a5afae8c-2f44-4d32-8660-3f021356e091,Talaş Böreği (Adet),"10,00 TL",Börekler,5.0
13827edd-4f0a-4196-9324-316b0de6000b,Su Böreği (1 kg.),"50,00 TL",Börekler,5.0
8ff6e347-64bb-4a2c-8f5f-2196431bef92,Patatesli El Açma Böreği (1 kg.),"50,00 TL",Börekler,5.0
c04e8d34-1129-4cd0-a509-774bb942c790,Peynirli El Açma Böreği (1 kg.),"50,00 TL",Börekler,5.0
98c1f64d-e5da-49aa-997b-a02e1c3d1650,Kıymalı El Açma Böreği (1 kg.),"50,00 TL",Börekler,5.0
2c903434-065d-4334-bece-fb9ed7b25d09,Girit Böreği (1 kg.),"50,00 TL",Börekler,7.0
DD485D17-6303-418C-B2FC-AFCC8BE04050,El Açma Börek,"14,00 TL",Börekler,5.0
F9315895-E5D8-41E4-A2D3-60DE75B7C609,Girit Böreği,"14,00 TL",Börekler,7.0
F32EEE3B-55AF-4EC0-831D-46CA579BD80A,Su Böreği,"14,00 TL",Börekler,5.0
911dad90-0dd6-4ecb-9401-5c2b241a9fcc,Beyaz İnci,"19,00 TL",Adet Pastalar,5.0
6625425C-301E-418C-A53C-67F374F4B24B,Malaga,"18,00 TL",Adet Pastalar,5.0
956C6E52-B3A3-4AB7-90CD-AFDFC87715A0,Ananaslı Bademli Pasta,"19,00 TL",Adet Pastalar,11.0
fd9a13e8-1d35-421f-a077-fece595bb585,Pavlova,"18,00 TL",Adet Pastalar,5.0
942a303f-d6d5-40d1-a6a6-f4e4d4cf05c5,Çikolatalı Pasta (Adet),"18,00 TL",Adet Pastalar,9.0
2471ea79-2dd4-4e54-bf6f-6f291724d135,Çilekli Pasta (Adet),"18,00 TL",Adet Pastalar,7.0
b563286a-3b01-46f4-9e7a-494856f17863,Çikolata Krokanlı Pasta (Adet),"18,00 TL",Adet Pastalar,10.0
4b8518a7-16f9-49a7-8b0a-90e34f0e3671,Cevizli Karamelli Sticks Pasta,"18,00 TL",Adet Pastalar,7.0
b561a982-c6f4-4f0a-9073-a6f0baf3244e,Kestaneli Sticks Pasta,"18,00 TL",Adet Pastalar,7.0
2bc03036-031f-4fac-a637-7375eb8ee699,Red Velvet Sticks Pasta,"18,00 TL",Adet Pastalar,9.0
93182cb7-b0f1-4ab0-98c0-a6cc761b35cd,Mozaik Pasta,"13,00 TL",Adet Pastalar,7.0
2f7d65a1-1309-41a8-9df9-4ae68ccfe90b,Vişneli Cheesecake,"17,00 TL",Adet Pastalar,7.0
716b4f8f-f7e9-410b-aafc-c855b4489df3,Limonlu Cheesecake,"17,00 TL",Adet Pastalar,5.0
423402e6-23c8-40bd-af15-eacce7ada8c7,Frambuazlı Cheesecake,"17,00 TL",Adet Pastalar,5.0
3b0afc8f-e100-4efd-8623-b0dbc1c76cf6,İspanyol Cheesecake,"20,00 TL",Adet Pastalar,4.0
02AF833F-C0FE-4359-97FF-37F5CD14D7DA,Beyaz Çikolatalı Brownie,"16,00 TL",Spesiyal Tatlılar,7.0
F926CE41-96CF-4C4E-8C13-95C3B1D6FA4C,Torpil,"10,00 TL",Spesiyal Tatlılar,5.0
9C6BB791-2654-4554-97D3-66BA882A1B2F,Mini Ekler,"2,50 TL",Spesiyal Tatlılar,12.0
041B858A-CC22-4B4C-9E1C-6BC76310BE8E,Tartolet,"12,50 TL",Spesiyal Tatlılar,5.0
e05687e9-83f4-42bc-ae57-6f29d6d48c3d,Adisebaba,"14,00 TL",Spesiyal Tatlılar,5.0
4348c626-a59f-48d1-95d3-d43b9276c40a,Antep Fıstıklı Makaron (Adet),"6,50 TL",Spesiyal Tatlılar,8.0
a37bcac6-173e-4fab-998b-6df41a439366,Böğürtlenli Makaron (Adet),"6,50 TL",Spesiyal Tatlılar,8.0
2720efc4-f952-4132-a057-aa8eaf9bb1c1,Bomba,"5,50 TL",Spesiyal Tatlılar,10.0
1232da1e-0a15-473b-bf17-701a77467947,Brownie,"10,50 TL",Spesiyal Tatlılar,5.0
f5c84c9f-f780-425d-aec7-643bfc3ca7e5,Çikolatalı Makaron (Adet),"6,50 TL",Spesiyal Tatlılar,10.0
14b0b36b-0735-410e-ab68-8913a3e376f0,Çilekli Makaron (Adet),"6,50 TL",Spesiyal Tatlılar,8.0
37eba473-99c6-429c-91ba-040983fe06a6,Islak Kek,"10,50 TL",Spesiyal Tatlılar,5.0
fefe29f4-1c37-4f4d-9c37-e5c6df2babca,İtalyan Karamelli Makaron (Adet),"6,50 TL",Spesiyal Tatlılar,8.0
