comment_text,comment_speed,comment_service,comment_taste,comment_time
Pizzaları efsane güzel çok seviyoruz emeği geçenlere teşekkürler.,10.0,10.0,10.0,1606674953
Fena.,10.0,10.0,10.0,1606674953
"Yaş nedeni ile dışarı çıkamıyorum, sağ olsun pizza locale imdada yetişti. Teşekkür ederim.",10.0,10.0,10.0,1606588553
"Soslar, servis güzeldi fakat pizzalar salçalı ekmek gibiydi.",9.0,9.0,5.0,1606588553
Miss.,10.0,10.0,10.0,1606588553
Pizza çok hafif yanmış onun harici her zamanki lezzetinde çok güzel. Ellerinize sağlık.,9.0,9.0,8.0,1606502153
Mikkkemmmeell.,10.0,10.0,10.0,1606502153
Zamanında geldi ve lezzetliydi.. Sadece 30tl ücret fazla.. Şu an sizden sipariş vermek istememe rağmen başka bir yemek siparişi vermek zorunda kalıyorum..,9.0,9.0,9.0,1606502153
Çatal bıçak gönderilmesi gerektiğini düşünüyorum.,10.0,7.0,9.0,1606502153
Sen de artık sıradan pizzacılar gibisin...,4.0,2.0,3.0,1606502153
Son derece hizli ve kaliteli servisiniz icin tesekkur ederim. Teslimati yapan arkadasimizin kibarligi icin de ayrica tesekkur ederim. Kaliteden odun vermeden calismaya devam etmenizi temenni ederim. Menunuz ilk olusturuldugunda bacon pizzaniz favori pizzamdi. Menunuzde tekrardan gormek dilegiyle.,10.0,10.0,10.0,1606415753
Acılı-sucuklu pizzaları çok yağlı oluyor. Onun haricinde güzelllll.,10.0,10.0,9.0,1606415753
Sanırım pandemi nedeniyle sipariş sayısının artmasından kaynaklı olarak servis özeninde ciddi bir düşüş var. Fırından yeni çıkmış gibi değil buz gibi geliyor pizza. Üst üste tekrarlanınca yazma gereği duydum. Çünkü en beğendiğim pizza markası bu. Pizzaları eskisi gibi sıcak bekliyoruz.,6.0,3.0,6.0,1606415753
4 peynirli pizza gerçekten kötüydü. Bu ürün için tekrar düşünmek gerekir.,8.0,8.0,1.0,1606329353
Bol malzemeli olması değil lezzetli olması önemli pizzada. Bence o konuda başarılı.,10.0,9.0,10.0,1606329353
Gayet başarılı.,9.0,9.0,9.0,1606329353
Narbelde oturmama rağmen çok soğuk geldi buz gibiydi ben restoranda sıcak servis edildiği için sipariş etmiştim birdahakine lütfen dikkat ediniz lezzeti her zaman ki gibi güzeldi.,1.0,10.0,5.0,1606156553
Efsane.,10.0,10.0,10.0,1606156553
"Pizzaların kenarları yanmıştı, kuru ve sert geldi.",10.0,8.0,6.0,1606156553
Fiyatlara bakıldığında lezzet olarak büyük beklenti içine giriyorsunuz ama normal diğer pizzacılardan fazla bir fark yok ayrıyetten pizzaları çok ince doyum olmuyor.,8.0,9.0,7.0,1606070153
Ege tire sucuk diyorsunuz ama sucuklarınız kasap sucuk berbattt.,8.0,8.0,2.0,1605983753
Hayatımda yediğim en kötü pizzaydı.,1.0,1.0,1.0,1605983753
"Hayatımda yediğim en güzel pizzaydı, bundan sonra hep buradan söyleyeceğim. Daha önce pizza yemiyormuşum gerçekten.",10.0,10.0,10.0,1605897353
Hızlı ve lezzetli. Pizzada tek tercihim.,10.0,10.0,10.0,1605810953
Yanlış siparş vememize rağmen doğrusu için çok yardımcı oldular. Lezzeti bir harika ve oldukça hızlılar.,10.0,10.0,10.0,1605810953
16 dakikada geldi sanırım siparişi verdikten sonra. Fakat her zamanki süper tadi yoktu. Güzeldi ama yine de.,10.0,10.0,8.0,1605810953
İnanılmaz hızlıydı ve her zamanki gibi lezzetliydi.,10.0,10.0,10.0,1605551753
Füme etli pizzaları hala güzel ama 4 peynirli pizza da eski lezzetini bulamadık ne yazık ki.,10.0,10.0,8.0,1605551753
Soğuk ve kenarları yanmıştı.,5.0,5.0,5.0,1605551753
"45 dakikada ve soğuk geldi:( ikidir böyle oluyor, güvendiğimiz dağlara kar yağdı resmen.",5.0,6.0,3.0,1605465353
"Yıllardır sipariş veriyorum ilk kez pizzanın malzemeleri çok az geldi. Sadece pizzanın orta bölümünde malzeme vardı, kenarlar bomboştu. Hız ve servis başarılı. Pizzalar tam kesilmediği için servise 10 yerine 9 verdim.",10.0,9.0,6.0,1605292554
Her zamanki gibi.,10.0,10.0,10.0,1605206154
Biber marmelatinizi büyük boy siselerde satsaniz ya :(.,10.0,10.0,10.0,1605119754
Malzemesi azdı. Joker olduğundan mı bilemedim.,7.0,9.0,7.0,1605033354
Not kısmını okusaydınız keşke. Kurye kapının önünde motorun üzerinden inmemiş beni arıyor. Ayagına kadar gittim aldım. Ne anlamı kaldı ki yemeksepetinden sipariş vermenin?,8.0,5.0,8.0,1605033354
Başka yerden sipariş veremez oldum. Lezzetiyle hızıyla siparişlerde emeği geçenler sayesinde harika.,10.0,10.0,10.0,1604946954
Good.,10.0,10.0,10.0,1604946954
"70 tl ye bu pizzayo yediğime inanamıyorum 2 kişiydik, doyamadık bile.",10.0,6.0,5.0,1604946954
"Yavaş geldi, pizza geldiğinde soğuktu.",5.0,8.0,5.0,1604860554
Üzgünüm kuruydu ve hic beklemezdım.,8.0,8.0,4.0,1604860554
Güzel ama fiyatlar tuzlu...,9.0,8.0,9.0,1604774154
Sıcak degıldı ama tadı gayet güzeldi.,9.0,9.0,9.0,1604687754
"Çok başarılı, klasik bir pizza.",10.0,8.0,8.0,1604687754
Gerçek pizza budur.,10.0,10.0,10.0,1604687754
Mük.,10.0,10.0,10.0,1604687754
Süper.,10.0,10.0,10.0,1604601354
Bu kadar övülüp bu kadar lezzetsiz pizza yapan bir işletmeye rastlamadım doğrusu birlikte yediğimiz 3 kişide aynı fikirde resmen lahmacun hamuruna yapılmış lezzetsiz çamur gibi bir pizza geldi.,9.0,7.0,6.0,1604601354
Şarküteri pizza 10 numara mukemmel gercekten.,10.0,10.0,10.0,1604514954
Kusursuz.,10.0,10.0,10.0,1604428554
Mis.,10.0,10.0,10.0,1604428554
Hepsi çok güzel ama kabaklı pizzanın hastasıyız :).,10.0,10.0,10.0,1604428554
Herzamanki gibi enfesti.,10.0,10.0,10.0,1604255754
Notları dikkate alan ve asla bozmayan bi yer :) siz daha iyisini yapana kadar en iyisi bu! 3.,10.0,10.0,10.0,1604255754
Büyük boy pizza kutuları bozulmuş geliyor ayrıca soslar çok az koca pizzaya bi ton para veriyoruz at içine arkadaş 3-5 tane ne olur yani localsin ya sen pizza pizza mısın?,3.0,7.0,10.0,1604169354
En unutmayacağım siparişim..,10.0,10.0,10.0,1604169354
