comment_text,comment_speed,comment_service,comment_taste,comment_time
"Patates kutusunu açmadan doldurdukları için patates mega boy kadar gelmemişti. Lezzetliydi, sıcak sayılırdı. Domatessiz ve ketçaplı olmasına dikkat edilmişti, teşekkürler.",10.0,10.0,9.0,1606675188
Soğuk geldi siparişimiz beğenmedik.,6.0,6.0,6.0,1606675188
"25 dk da hızlı teslimat süpersiniz, teşekkürler.",10.0,10.0,10.0,1606675188
Tesekkurler.,10.0,10.0,10.0,1606675188
Guzeldi.,10.0,10.0,10.0,1606588788
"Herzamanki gibi hızlıca geldi, teşekkürler..",10.0,10.0,10.0,1606588788
Boyle rezil bir ube daha görmedim. Lakaitlik ust seviyede.,1.0,1.0,1.0,1606502388
1. 5 saatte geldi.,1.0,1.0,1.0,1606502388
Ef sa ne.,10.0,10.0,10.0,1606502388
İçecek eksik geldi lütfen daha dikkatli olun.,6.0,7.0,9.0,1606415988
Hızlı sıcak geldi güzeldi.,10.0,10.0,10.0,1606415988
"Simdiye kadar popeyesten yediğim en kötü yemekti. Dünden kalma patatesler, buz gibi tavuklar ve elindeki adresi bile okuyamayan bir kurye. Guzelyali popeyesten bir daha kesinlikle sipariş vermem.",4.0,1.0,1.0,1606415988
Hızları eskiye göre daha iyi.,8.0,8.0,8.0,1606415988
Siparişim hem eksik hemde kötü geldi ve durumu bildirmeme rahmen getirmediler aynı zamanda oyaladılar puanı sonuna kadar hak ediyolar.,1.0,1.0,1.0,1606329588
Ürün içindekinden hariç ücretli de aldığım ranch sos eksik çıktı bu durum beni üzdü açıkcası ama lezzet her zamanki gibi güzeldi.,7.0,7.0,10.0,1606329588
Siparişimden farklı bı menü göndermişler!,6.0,1.0,3.0,1606243188
"Hızlı, eksiksiz ve sıcak süpersiniz..",10.0,10.0,10.0,1606243188
Patateslerin soğuk olması hariç her şey muhteşemdi.,10.0,7.0,10.0,1606243188
Patates soğuk ve bayat geldi.,5.0,5.0,3.0,1606243188
Hızlıydı.,10.0,10.0,7.0,1606243188
Bayat 1gun önceden kalma soğuk patatesler çay sıcaklığında bir kola lezzetsiz soğuk ürünler çok kötü. Sadece getiren arkadaş çok kibardı onun dışında rezalet.,3.0,3.0,1.0,1606156788
"Hiz iyi guzel, ama servis iyi degildi, 1 lt cola ustume fiskirdi kaldi oyle, paketin alti delinmisti aldik yedik lezzet iyiydi.",8.0,3.0,7.0,1606070388
Soslarım gelmedi patatesler soguktu hızda kotuydu.,5.0,5.0,5.0,1606070388
Kurye teslim edildi gösterip 30 dk sonra geliyor ve buz gibiydi yemeklerin hepsi.,1.0,4.0,5.0,1605983988
Harika.,10.0,10.0,10.0,1605897588
Her şey çok güzeldi çok hızlı geldi teşekkürler:).,10.0,10.0,10.0,1605897589
Sipariş gelmemesine ragman geldi diye gösterip 20 dk sonra geldi.,1.0,5.0,6.0,1605897589
Hizlisiniz...,10.0,10.0,10.0,1605811189
Çok şey yazabilirim ama cidden uğraşmak bile istemiyorum tam anlamıyla rezillik asla tavsiye etmem.,1.0,1.0,1.0,1605811189
112 personeli olduğum için yazdığım notu dikkate aldıkları için şube çalışanlarına teşekkür ederim. Özellikle arayarak iş yerinde olup olmadığımı sorup ona göre göndermeleri ince ve hoş bir davranıştı.,10.0,10.0,10.0,1605724789
"Menü eksik geldi, aradık ama ulaşamadık bir türlü. Geç geldi ve buna bağlı olarak soğuktu. Tadı da, eski tadından eser yoktu.",5.0,5.0,2.0,1605638389
Lezzetli ama buz gibiydi çok sevdiğim bi firma ama yakıştıramadım.,6.0,10.0,5.0,1605638389
Guzeldi.,8.0,8.0,8.0,1605551989
2 hafta önce mükemmeldiniz herşey çok güzel gidiyordu puanlar yorumlar herşey çok güzeldi. İşinizi iyi yapıyordunuz ama şuan bi salmışsınız işinizi lütfen eski halinize dönün lezzet çok güzel servis çok güzel belki ekstra bir kurye ile hızı da çözersiniz herşey istediğiniz gibi olacaktır.,8.0,10.0,10.0,1605551989
"Patates ve tavuk parçaları buz gibi geldi. 100 metre bile değil şubenin evime uzaklığı. Beğenerek sipariş veriyordum ama sondu, kolay gelsin size.",1.0,1.0,1.0,1605551989
Hayatimda yedihim en kötü tavuk hem eksik ürün gondermisler hem soguktu bir daha popes asla yemiyecegim.,1.0,1.0,1.0,1605465589
Sos ve içeçek yoktu okun dışında herşey iyiydi.,9.0,1.0,10.0,1605465589
Eksik ve soğuk gönderildi daha sonra eksik telafi edildi fakat hız 0.,1.0,3.0,4.0,1605465589
Acılı kanat siparişi yerine başka birşey geldi.,5.0,5.0,5.0,1605379189
İki sos gelmedi ve mendil yoktu.,5.0,5.0,6.0,1605379189
Tesekkur.,8.0,8.0,8.0,1605379189
